Accession no.	Fold increase	Array value Control	Array value TSA	Name	Abbreviation
NM_000735.2	317	15	4,798	Glycoprotein hormones alpha polypeptide	CGA
NM_013453.1	114	22	2,508	Sperm protein associated with nucleus X	SPANAX1
M25915.1	85	9	768	Clusterin (complement lysis inhibitor SP-4040-sulfated glycoprotein 2)	CLU
BC004490.1	72	11	790	v-Fos FBJ murine osteosarcoma viral oncogene homolog	FOS
AF193421.1	60	18	1,079	Activity-regulated cytoskeleton-associated protein	ARC
NM_002305.2	53	52	2,778	Lectin galactoside-binding soluble protein 1 (galectin 1)	LGALS1
NM_006183.2	32	59	1,902	Neurotensin	NTS
NM_005794.1	29	124	3,651	Dehydrogenase/reductase (SDR family) member 2	DHRS2
NM_015675.1	29	224	6,412	Growth arrest and DNA-damage-inducible protein beta	GADD45B
BE271470	22	17	367	H2B histone family member A	H2BFA
NM_022661.1	21	104	2,157	SPANX family member C	SPANXC
NM_031272.1	18	15	266	Testis-expressed sequence 14	TEX14
NM_001477.1	18	42	766	G antigen 7B	GAGE7B
AA451996	16	1.287	20,934	H2A histone family member O	H2AFO
NM_005345.3	15	40	604	70-kDa heat shock protein 1A	HSPA1A
N36408	14	16	225	FOS-like antigen 2	FOSL2
NM_021123.1	14	49	666	G antigen 5	GAGE5
NM_014330.2	14	90	1,263	Protein phosphatase 1 regulatory (inhibitor) subunit 15A	PPP1R15A
BC001003.2	13	31	401	Synovial sarcoma X breakpoint 1	SSX1
NM_001473.1	13	56	729	G antigen 3	GAGE3
NM_001472.1	13	41	517	G antigen 2	GAGE2
NM_001476.1	11	97	1,051	G antigen 6	GAGE6
AL021977	11	42	457	v-Maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF
NM_005985.1	11	42	478	Snail homolog 1 (Drosophila)	SNAI1
AF133207.1	9	77	664	Protein kinase H11	H11
NM_002426.1	9	58	521	Matrix metalloproteinase 12 (macrophage elastase)	MMP12
NM_000700.1	9	90	781	Annexin A1	ANXA1
NM_001674.1	8	679	5,367	Activating transcription factor 3	ATF3
NM_014178.1	7	67	465	Syntaxin binding protein 6 (amisyn)	STXBP6
