ProbesetID	Fold Change	Gene Symbol
1427026_at	-375.82	Myh4
1427868_x_at	-324.67	Myh1
1417464_at	-300.83	Tnnc2
1450118_a_at	-261.96	Tnnt3
1433923_at	-230.95	Krt77
1417653_at	-229.18	Pvalb
1422651_at	-227.02	Adipoq
1427520_a_at	-223	Myh1
1419312_at	-218.04	Atp2a1
1427445_a_at	-217.89	Ttn
1452651_a_at	-216.69	Myl1
1427446_s_at	-215.16	Ttn
1455736_at	-200.78	Mybpc2
1417867_at	-197.77	Cfd
1449434_at	-196.01	Car3
1417614_at	-191.48	Ckm
1418155_at	-178.78	Myot
1448602_at	-166.36	Pygm
1418095_at	-160.98	Smpx
1428722_at	-160.83	Ckmt2
1435355_at	-151	Neb
1460256_at	-147	Car3
1457435_x_at	-144.78	Myom2
1429565_s_at	-133.24	Lce1m
1417889_at	-129.59	Apobec2
1448371_at	-129.23	Mylpf
1416889_at	-117.31	Tnni2
1426144_x_at	-113.16	Trdn
1455645_at	-101.46	8030451F13Rik
1427735_a_at	-100.34	Acta1
1427306_at	-95.82	Ryr1
1416752_at	-95.36	Ldb3
1415994_at	-95.07	Cyp2e1
1420693_at	-91.31	Myom1
1424737_at	-90.93	Thrsp
1448327_at	-86.91	Actn2
1418677_at	-83.31	Actn3
1428899_at	-76.55	Tmem182
1438936_s_at	-75.96	Ang
1449500_at	-75.11	Serpinb7
1427312_at	-74.54	Cmya5
1448792_a_at	-74.5	Cyp2f2
1426143_at	-72.26	Trdn
1417951_at	-70.41	Eno3
1451203_at	-69.86	Mb
1426142_a_at	-62.88	Trdn
1422644_at	-61.6	LOC100045042 /// Sh3bgr
1449356_at	-61.1	Asb5
1449015_at	-59.22	Retnla
1436453_at	-57.57	BB144871
1418373_at	-56.62	Pgam2
1435813_at	-55.63	Mypn
1449218_at	-54.63	Cox8b
1460202_at	-53.22	Myoz1
1450917_at	-53.14	Myom2
1433783_at	-52.09	Ldb3
1444494_at	-49.97	Kbtbd10
1452345_at	-49.8	Lmod2
1433532_a_at	-49.18	Mbp
1435370_a_at	-48.47	Ces3
1452879_at	-47.86	Synpo2
1449398_at	-46.63	Rpl3l
1417273_at	-46.56	Pdk4
1456508_at	-46.5	A030001H23Rik
1447870_x_at	-46.34	1110002E22Rik
1449969_at	-46.09	Tmod4
1423477_at	-44.86	Zic1
1419056_at	-44.74	Rtn2
1460318_at	-44.08	Csrp3
1452260_at	-43.88	Cidec
1416468_at	-41.04	Aldh1a1
1417626_at	-40.91	Pde4dip
1417607_at	-40.34	Cox6a2
1418709_at	-39.46	Cox7a1
1439658_at	-38.02	Lmod3
1421253_at	-37.61	Nrap
1438937_x_at	-36.14	Ang
1441667_s_at	-34.87	Smyd1
1423145_a_at	-34.75	Tcap
1449178_at	-34.15	Pdlim3
1438609_x_at	-34.11	Tnni2
1436332_at	-33.69	Hspb6
1436867_at	-33.07	Srl
1420442_at	-32.14	Cacna1s
1434893_at	-31.82	Atp1a2
1426731_at	-31.52	Des
1447657_s_at	-30.98	Synpo2l
1450798_at	-30.76	Tnxb
1416023_at	-29.76	Fabp3
1438467_at	-28.75	Mgl2
1438175_x_at	-28.3	Myom2
1448842_at	-27	Cdo1
1429223_a_at	-26.95	Hfe2
1420582_at	-26.86	Cd209e
1416455_a_at	-26.78	Cryab
1418769_at	-26.08	Myoz2
1418595_at	-25.89	S3-12
1429463_at	-25.59	Prkaa2
1451372_a_at	-25.58	Art1
1459030_at	-25.22	Bbox1
1421092_at	-25.01	Serpina12
1456228_x_at	-24.46	Mbp
1419618_at	-23.88	Bbox1
1417765_a_at	-23.64	Amy1
1419739_at	-23.18	Tpm2
1434449_at	-23.09	Aqp4
1421374_a_at	-22.9	Fxyd1
1418601_at	-22.63	Aldh1a7
1427867_at	-22.58	---
1443997_at	-22.06	Gprin2
1443906_at	-21.84	Cd55
1418314_a_at	-21.79	A2bp1
1422153_a_at	-21.74	Asb11
1426172_a_at	-21.73	Cd209a
1425275_at	-21.37	Asph
1416225_at	-21.31	Adh1
1423238_at	-21.16	Itgb1bp2
1434008_at	-21.16	Scn4b
1449383_at	-20.93	Adssl1
1427371_at	-20.85	Abca8a
1434766_at	-19.99	---
1427465_at	-19.64	Atp1a2
1419646_a_at	-19.5	Mbp
1449081_at	-19.5	Ces3
1419145_at	-19.04	Smtnl1
1419440_at	-18.81	Trim54
1443783_x_at	-18.75	H2-Aa
1453059_at	-17.76	2310046A06Rik
1417025_at	-17.57	H2-Eb1
1424177_at	-17.48	Tmem38a
1426183_a_at	-17.18	Cd209d
1418062_at	-17.02	Eef1a2
1436201_x_at	-16.87	Mbp
1419150_at	-16.19	Myf6
1434927_at	-15.86	Hspb7
1417979_at	-15.56	Tnmd
1418697_at	-15.28	Inmt
