Gene ID	Annotation	Symbol	Mean fold change	P value	q value
Hs.127149	Eukaryotic translation initiation factor 3	EIF3S3	20.94243	0.00075	0.00016
Hs.44532	Ubiquitin D	UBD	10.51672	1.00E-04	0.00016
Hs.152536	cDNA FLJ42752 fis,	FLJ42752 fis,	9.35974	1.00E-04	0.00016
Hs.24583	Hypothetical protein DKFZp434C0328	DKFZp434C0328	6.48223	1.00E-04	0.00016
Hs.507	Psoriasis susceptibility 1 candidate 1	PSORS1C1	5.90734	1.00E-04	0.00016
Hs.90436	Sperm-associated antigen 7	SPAG	5.34906	1.00E-04	0.00016
Hs.3459	Similar to ubiquitin binding protein	UBPH	5.12615	1.00E-04	0.00016
Hs.111779	Secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5.10055	1.00E-04	0.00016
Hs.3136	Protein kinase, AMP-activated, g1 noncatalytic subunit	PRKAG1	4.89119	1.00E-04	0.00016
Hs.111244	DNA damage-inducible transcript 4	DDIT4	4.81752	1.00E-04	0.00016
Hs.30340	Nedd4 family interacting protein 2/NDFIP2	NDFIP2	4.66017	1.00E-04	0.00016
Hs.107720	Fusion [involved in t(12;16) in malignant liposarcoma]	FUS	4.45447	0.00075	0.00016
Hs.108966	Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	PIP5K2A	4.44702	1.00E-04	0.00016
Hs.695	Cystatin B (stefin B)	CSTB	4.28968	1.00E-04	0.00016
Hs.110837	Tubulin, h,5	TUBB5	4.18071	1.00E-04	0.00016
Hs.93379	Eukaryotic translation initiation factor 4B	EIF4B	4.12488	1.00E-04	0.00016
Hs.97643	Testis-specific protein TSP-NY	TSP-NY	3.9669	1.00E-04	0.00016
Hs.2159	Aggrecan 1	AGC1	3.90286	0.00075	0.00016
Hs.147710	cDNA DKFZp667N055	DKFZp667N055	3.88204	1.00E-04	0.00016
Hs.10842	RAN, member RAS oncogene family	RAN	3.76479	1.00E-04	0.00016
