Gene symbol	Gene description	Fold change	P
ANGPT1	Angiopoietin 1, transcript variant 1	1.05	0.93
ANGPT2	Angiopoietin 2	-1.14	0.65
BMP2	Bone morphogenetic protein 2	-1.42	< .001
BMPER	BMP-binding endothelial regulator precursor protein	1.02	0.75
BMPRIA	Bone morphogenetic protein receptor, type IA	1.46	< .001
CD34	CD34 antigen	1.06	0.6
CDH5	VE-cadherin (vascular endothelium)	-1.08	0.56
CLDN5	Claudin 5	-1.08	0.37
EDG1-7	Endothelial differentiation G-protein-coupled receptors 1-7	-1.3-1.5	.008-.9
EFNA1-5	Ephrin-A1, A2, A3, A4, A5	-1.7-1.1	< .001-.9
EFNB1-3	Ephrin-B1, B2, B3	-1.3-1.5	.002-.1
ENG	Endoglin (Osler-Rendu-Weber syndrome 1)	1.3	0.001
EPHB4	Ephrin receptor B4	1.52	< .001
FLT1	Vascular endothelial growth factor receptor-1 (VEGFR1/Flt)	1.4	< .001
FZD4	Frizzled homolog 4(Drosophila)	-1.25	0.012
GJA4	Gap junction protein alpha 4 (connexin 37)	-1.46	< .001
HEY1	Hairy/enhancer-of-split related with YRPW motif 1	-1.03	0.74
HEY2	Hairy/enhancer-of-split related with YRPW motif 2	-1.01	0.9
JAG2	Jagged 2, transcript variant 1	-1.9	< .001
KDR	Vascular endothelial growth factor receptor-2 (VEGFR2/KDR/Flk-1)	-2.61	< .001
NOTCH1	Homolog ofDrosophilaNotch (TAN1)	1.09	0.39
NOTCH2	Homolog ofDrosophilaNotch	1.14	0.044
NOTCH3	Homolog ofDrosophilaNotch	-1.32	0.002
NOTCH4	Homolog ofDrosophilaNotch (INT3)	-1.45	< .001
NRP1	Neuropilin 1	-1.44	0.029
NUMB	Numb homolog(Drosophila)	-1.07	0.36
PECAM1	Platelet/endothelial cell adhesion molecule (CD31)	1.11	0.22
PROM1	Prominin 1	1.13	0.16
SEMA3C	Semaphorin 3C	1.1	0.16
SIAH1	Seven in absentia homolog 1(Drosophila)	-1.15	0.065
TIE	Tyrosine kinase with immunoglobulin and EGF homology domains	-1	0.96
