Symbol	Fold	Gene description
ACTG2	18.8	Actin, ? 2, smooth muscle
PCP4	11.1	Purkinje cell protein 4
MYH11	10.1	Myosin, heavy polypeptide 11, smooth muscle
MSMB	9.94	Microseminoprotein, ?
MYLK	6.12	Myosin, light polypeptide kinase
TPM2	5.7	Tropomyosin 2, ?
DHRS7	5.09	Dehydrogenase/reductase, SDR family
RPS11	4.81	Ribosomal protein S11
CALR	4.56	Calreticulin
ANXA3	4.39	Annexin A3
MEIS2	4.24	Meis1, myeloid ecotropic viral integration site
CNN1	4.17	Calponin 1, basic, smooth muscle
TAGLN	4.14	Transgelin
EGR1	4.12	Early growth response 1
CSRP1	4.11	Cysteine and glycine-rich protein 1
DMN	4.09	Desmuslin
ABAT	3.97	4-Aminobutyrate aminotransferase
TAOK3	3.92	TAO kinase 3
CUTL2	3.86	Cut-like 2 (Drosophila)
CYR61	3.84	Cysteine-rich, angiogenic inducer 61
ChGn	3.7	Chondroitin ?1,4 N-acetylgalactosaminyltransferase
SORD	3.68	Sorbitol dehydrogenase
ALDH1A3	3.64	Aldehyde dehydrogenase 1 family, member A3
PART1	3.62	Prostate androgen–regulated transcript
PTPRN2	3.58	Protein tyrosine phosphatase, receptor type
GSTT1	3.57	Glutathione S-transferase theta 1
ACTA2	3.54	Actin, ? 2, smooth muscle, aorta
GMPR	3.49	Guanosine monophosphate reductase
ZFP36	3.45	Zinc finger protein 36
ASAHL	3.41	N-acylsphingosine amidohydrolase
ACPP	3.39	Acid phosphatase
GHR	3.36	Growth hormone receptor
EPHX2	3.27	Epoxide hyrdrolase 2, cytoplasmic
ABCC4	3.23	ATP-binding cassette, subfamily C member 4
DHRS7	3.23	Dehydrogenase/reductase (SDR family) member 7
RPL37A	2.96	Ribosomal protein L37a
DPP4	2.93	Dipeptidylpeptidase 4 (CD26)
SFRP1	2.91	Secreted frizzled-related protein 1
MATN2	2.91	Matrillin 2
LAMP2	2.89	Lysosomal-associated membrane protein 2
PDE4B	2.85	Phosphodiesterase 4B
KLK3	2.85	Kallikrein 3, (prostate-specific antigen)
RDH11	2.85	Retinol dehydrogenase 11
RPL27	2.76	Ribosomal protein L27
PAFAH1B	2.75	Platelet-activating factor acetylhydrolase, isoform lb
CYP39A1	2.75	Cytochrome P450, family 39, subfamily A, polypetide 1
DMXL1	2.73	Dmx-like 1
HGD	2.71	Homogentisate 1,2-dioxygenase
C1orf24	2.71	Chromosome 1 open reading frame 24
KLK2	2.69	Kallikrein 2, prostatic
CPE	2.67	Carboxypeptidase E
FLJ14146	2.66	Hypothetical protein FLJ14146
TSPAN1	2.62	Tetraspan 1
GOLPH2	2.6	Golgi phosphoprotein 2
KIF5C	2.59	Kinesin family member 5C
TIPARP	2.59	TCDD-inducible poly(ADP-ribose) polymerase
PDZRN3	2.57	PDZ domain containing RING finger 3
PSCD2	2.55	Pleckstrin homology, Sec 7 and coiled-coil domains 2
CTBS	2.55	Chitobiase
SARG	2.54	Specifically androgen-regulated protein
ALDH6A	2.54	Aldehyde dehydrogenase 6 family, member A1
TRPM8	2.5	Transient receptor potential cation channel
LMOD1	2.49	Leimodin 1 (smooth muscle)
RPL27A	2.49	Ribosomal protein L27a
TMSNB	2.48	Thymosin, ?
MT1F	2.47	Metallothionein 1F
GRP58	2.43	Glucose-regulated protein, 58 kDa
RAB3B	2.42	RAB3B, member RAS oncogene family
KRT18	2.41	Keratin 18
SPOCK	2.41	Sparc/osteonectin, cwcv and kazal-like domains
HERPUD	2.37	Homocysteine, endoplasmic reticulum stress-inducible
STAG2	2.34	Stromal antigen 2
ANKRD1	2.34	Ankyrin repeat domain 15
IQGAP2	2.33	IQ motif containing GTPase activating protein 2
PLN	2.32	Phospholamban
SCP2	2.32	Sterol carrier protein 2
CIRBP	2.31	Cold inducible RNA binding protein
TNS	2.3	Tensin
EIF5A	2.28	Eukaryotic translation initiation factor 5A
ALDH3A2	2.27	Aldehyde dehydrogenase 3 family, member A2
C6orf29	2.25	Chromosome 6 open reading frame 2
TMEM30B	2.25	Transmembrane protein 30B
ARGBP2	2.23	Arg/Abl-interacting protein
QDPR	2.23	Quinoid dihydropteridine reductase
PTGDS	2.23	Prostaglandin D2 synthase 21kDa
KLF6	2.2	Kruppel-like factor 6
