Gene symbol	Gene Title	Function	% CAP detection	% MSC detection	% NHDF detection
CITED2	Cbp/p300-interacting transactivator	Heart development (GO 0007507)	100	100	100
DVL1	Dishevelled, dsh homolog 1 (Drosophila)	Heart development (GO 0007507)	100	100	100
DVL3	Dishevelled, dsh homolog 3 (Drosophila)	Heart development (GO 0007507)	100	100	100
ECE2	Endothelin converting enzyme 2	Heart development (GO 0007507)	100	67	100
ERBB2	v-erb-b2 Erythroblastic leukemia viral oncogene homolog 2	Heart development (GO 0007507)	100	100	100
FBN1	Fibrillin 1	Heart development (GO 0007507)	100	100	100
GATA4	GATA-binding protein 4	Heart development (GO 0007507)	100	0	0
GJA1	Gap junction protein, alpha 1, 43 kDa (connexin 43)	Heart development (GO 0007507)	100	100	100
MKKS	McKusick–Kaufman syndrome	Heart development (GO 0007507)	100	67	100
NCOA6	Nuclear receptor co-activator 6	Heart development (GO 0007507)	100	100	100
PDLIM5	PDZ and LIM domain 5	Heart development (GO 0007507)	100	100	100
PLCE1	Phospholipase C, epsilon 1	Heart development (GO 0007507)	33	100	100
PTEN	Phosphatase and tensin homolog	Heart development (GO 0007507)	100	100	100
SHOX2	Short stature homeobox 2	Heart development (GO 0007507)	0	0	100
SRI	Sorcin	Heart development (GO 0007507)	100	100	100
TBX5	T-box 5	Heart development (GO 0007507)	67	0	100
TCF25	Transcription factor 25 (basic helix–loop–helix)	Heart development (GO 0007507)	100	100	100
TGFB2	Transforming growth factor, beta 2	Heart development (GO 0007507)	100	33	33
AEBP1	AE-binding protein 1	Muscle development (GO 0007517)	100	33	100
BVES	Blood vessel epicardial substance	Muscle development (GO 0007517)	100	100	100
CAPN3	Calpain 3 (p94)	Muscle development (GO 0007517)	100	0	100
COL6A3	Collagen, type VI, alpha 3	Muscle development (GO 0007517)	100	100	100
CSRP2	Cysteine and glycine-rich protein 2	Muscle development (GO 0007517)	100	100	100
DMD	Dystrophin	Muscle development (GO 0007517)	100	100	67
EGR3	Early growth response 3	Muscle development (GO 0007517)	100	100	33
EMD	Emerin (Emery-Dreifuss muscular dystrophy)	Muscle development (GO 0007517)	100	100	100
EVC	Ellis van Creveld syndrome	Muscle development (GO 0007517)	100	33	100
FCMD	Fukuyama type congenital muscular dystrophy (fukutin)	Muscle development (GO 0007517)	100	100	100
FGF2	Fibroblast growth factor 2 (basic)	Muscle development (GO 0007517)	100	100	100
FHL1	Four and a half LIM domains 1	Muscle development (GO 0007517)	100	100	100
FHL3	Four and a half LIM domains 3	Muscle development (GO 0007517)	100	33	67
GATA6	GATA-binding protein 6	Muscle development (GO 0007517)	100	100	33
HBEGF	Heparin-binding EGF-like growth factor	Muscle development (GO 0007517)	100	67	33
ITGA11	Integrin, alpha 11	Muscle development (GO 0007517)	100	100	100
ITGA7	Integrin, alpha 7	Muscle development (GO 0007517)	0	100	67
LAMA2	Laminin, alpha 2 (merosin, congenital muscular dystrophy)	Muscle development (GO 0007517)	100	0	100
MAPK12	Mitogen-activated protein kinase 12	Muscle development (GO 0007517)	100	67	33
MBNL1	Muscleblind-like (Drosophila)	Muscle development (GO 0007517)	100	100	100
MEF2A	MADS box transcription enhancer factor 2, polypeptide A	Muscle development (GO 0007517)	100	67	100
MEF2B	MADS box transcription enhancer factor 2, polypeptide B	Muscle development (GO 0007517)	100	67	33
MEF2C	MADS box transcription enhancer factor 2, polypeptide C	Muscle development (GO 0007517)	100	33	33
MEF2D	MADS box transcription enhancer factor 2, polypeptide D	Muscle development (GO 0007517)	100	0	33
MKX	Mohawk homeobox	Muscle development (GO 0007517)	0	0	100
MRAS	Muscle RAS oncogene homolog	Muscle development (GO 0007517)	100	67	33
MTM1	Myotubularin 1	Muscle development (GO 0007517)	100	67	33
MTSS1	Metastasis suppressor 1	Muscle development (GO 0007517)	100	100	100
MUSK	Muscle, skeletal, receptor tyrosine kinase	Muscle development (GO 0007517)	0	0	100
OAZ1	Ornithine decarboxylase antizyme	Muscle development (GO 0007517)	100	100	100
SGCB	Sarcoglycan, beta	Muscle development (GO 0007517)	100	100	100
SGCD	Sarcoglycan, delta	Muscle development (GO 0007517)	33	67	100
SGCE	Sarcoglycan, epsilon	Muscle development (GO 0007517)	100	100	100
SIX1	Sine oculis homeobox homolog 1 (Drosophila)	Muscle development (GO 0007517)	33	100	67
SMTN	Smoothelin	Muscle development (GO 0007517)	100	33	67
SPEG	SPEG complex locus	Muscle development (GO 0007517)	100	33	67
SRI	Sorcin	Muscle development (GO 0007517)	100	100	100
TAGLN	Transgelin	Muscle development (GO 0007517)	100	100	100
TAGLN2	Transgelin 2	Muscle development (GO 0007517)	100	100	100
TAGLN3	Transgelin 3	Muscle development (GO 0007517)	100	0	0
TCF12	Transcription factor 12	Muscle development (GO 0007517)	100	100	100
TEAD4	TEA domain family member 4	Muscle development (GO 0007517)	100	33	33
TK1	Thymidine kinase 1, soluble	Muscle development (GO 0007517)	100	67	33
TTN	Titin	Muscle development (GO 0007517)	100	0	100
UTRN	Utrophin (homologous to dystrophin)	Muscle development (GO 0007517)	100	100	67
VAMP5	Vesicle-associated membrane protein 5 (myobrevin)	Muscle development (GO 0007517)	100	100	100
