Grp1 Mean	Grp1 SEM	Grp2 Mean	Grp2 SEM	Ratio	Direction	p-value	Gene Identifier	Other ID	Gene Name	UG Cluster	LocusLink	Gene ID
4.048677	0.063431	12.895133	0.018923	460.31	Up	1.88E-08	S79910	214639_s_at	Homeobox A1	Hs.67397	3198	HOXA1
4.059343	0.107958	11.875333	0.103654	225.34	Up	8.05E-07	BF593636	228642_at	Homeobox A2	Hs.445239	3199	HOXA2
4.24799	0.151853	11.7687	0.082878	183.64	Up	1.67E-06	CA448125	1557051_s_at	Homeobox A2	Hs.445239	3199	HOXA2
4.226513	0.073223	10.756	0.052377	92.38	Up	2.17E-07	N21390	225639_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
5.223613	0.029665	11.6453	0.037001	85.73	Up	1.78E-08	AB014486	204362_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
4.38523	0.092118	10.653967	0.091543	77.1	Up	1.10E-06	AC_003999	216899_s_at	-	-	-	-
3.291377	0.02945	9.3479	0.043061	66.56	Up	3.30E-08	BF223214	244867_at	Transcribed locus	Hs.265194	-	-
4.14735	0.084625	9.886847	0.261961	53.43	Up	3.13E-05	AK026415	213385_at	Chimerin (chimaerin) 2	Hs.151880	1124	CHN2
4.529343	0.123196	10.234467	0.074472	52.17	Up	2.42E-06	NM_005328	206432_at	Hyaluronan synthase 2	Hs.571528	3037	HAS2
3.7035	0.167021	9.364213	0.032511	50.59	Up	4.87E-06	CA448125	1557050_at	Homeobox A2	Hs.445239	3199	HOXA2
4.61681	0.107545	10.143833	0.041723	46.11	Up	1.14E-06	AI374739	230372_at	Transcribed locus	Hs.159226	-	-
4.210127	0.065904	9.666517	0.100909	43.91	Up	1.42E-06	AB014486	204361_s_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
7.567327	0.064744	12.9815	0.258692	42.64	Up	3.47E-05	NM_000783	206424_at	Cytochrome P450, family 26, subfamily A, polypeptide 1	Hs.150595	1592	CYP26A1
5.686663	0.04632	10.716267	0.233855	32.66	Up	2.98E-05	NM_003240	206012_at	Pyrroline-5-carboxylate reductase family, member 2	Hs.520187	29920	PYCR2
6.762933	0.089558	10.987333	0.032953	18.69	Up	1.56E-06	NM_016651	219179_at	Dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	Hs.48950	51339	DACT1
3.8764	0.11511	7.96768	0.297177	17.05	Up	0.000212243	BG261252	226420_at	Ecotropic viral integration site 1	Hs.554762	2122	EVI1
5.658457	0.118012	9.649217	0.06826	15.9	Up	8.11E-06	BF673779	230137_at	Transmembrane protein 155	Hs.27524	132332	TMEM155
6.410633	0.183795	10.301467	0.111687	14.83	Up	5.49E-05	AA912476	229073_at	Hypothetical protein LOC145786	Hs.599998	145786	LOC145786
3.72485	0.095817	7.290723	0.182368	11.84	Up	6.54E-05	U73304	213436_at	cannabinoid receptor 1 (brain)	-	1268	-
4.025233	0.125311	7.582367	0.013793	11.77	Up	9.39E-06	AI796169	209602_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
7.876377	0.046898	11.354067	0.068435	11.14	Up	1.94E-06	AI796169	209604_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
5.722127	0.074812	9.00756	0.065724	9.75	Up	5.03E-06	NM_007197	219764_at	Frizzled homolog 10 (Drosophila)	Hs.31664	11211	FZD10
4.52639	0.169268	7.78644	0.430816	9.58	Up	0.002142335	NM_000965	205080_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.010433	0.066682	7.176847	0.180165	8.98	Up	7.93E-05	BE675324	242598_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
5.669877	0.095388	8.71117	0.212201	8.23	Up	0.0001977	NM_021822	204205_at	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	Hs.441124	200316	APOBEC3F
4.773953	0.082587	7.772277	0.351079	7.99	Up	0.001143574	NM_016152	208530_s_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.891843	0.047822	7.88931	0.192287	7.99	Up	0.000111304	L29126	211419_s_at	chimerin (chimaerin) 2	-	1124	-
