LocusLink ID	Gene symbol	Description	Mean fold change (tumor/cyst)
7178	TPT1	Tumor protein translationally controlled 1	19.8
1495	CTNNA	Catenin ес1	14.8
7103	TSPAN8	Tetraspanin 8	14.7
302	ANXA2	Annexin A2	10.1
4072	TACSTD1	Tumor-associated calcium signal transducer 1	8.7
29997	GLTSCR2	Glioma tumor suppressor candidate region gene 2	7.8
55749	CCAR1	Cell division cycle and apoptosis regulator 1	7.8
10276	NET1	Neuroepithelioma transforming gene 1	6.7
113201	H63	Breast cancer expressed gene transcript variant 2	6.2
2065	ERBB3	V-erb-B2 erythroblast 3	5.4
