Gene	Description	Associated process	Normal/E7wt (fold)	E7 E26G/E7wt (fold)
AATF	Apoptosis antagonizing transcription factor	Apoptosis regulation	0.56	0.65
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Regulation of cell motility and migration	1.7	2.49
ATG16L2	ATG16 autophagy-related 16-like 2 (Saccharomyces cerevisiae)	Unknown	0.62	0.51
BRI3BP	BRI3-binding protein	Proapoptotic activity	0.49	0.48
BST2	Bone marrow stromal cell antigen 2	Cell proliferation, cell–cell signaling, humoral immune response	2.51	2.18
BTBD6	BTB (POZ) domain containing 6	Unknown	0.56	0.59
C14orf130	Chromosome 14 open reading frame 130	Putative E3 ubiquitin-protein ligase	0.44	0.42
CAMP	Cathelicidin antimicrobial peptide	Effector molecule of the innate host defense system	2.18	3.37
CCHCR1	Coiled-coil alpha-helical rod protein 1	Regulation of keratinocyte proliferation	0.34	0.34
CCNA2	Cyclin A2	Regulation of S-phase entry	0.4	0.49
CCNB2	Cyclin B2	Regulation of cell cycle progression	0.46	0.53
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Cyclin-dependent protein kinase inhibitor activity	0.41	0.32
CENPF	Centromere protein F, 350/400 ka (mitosin)	Chromosome segregation during mitosis	0.41	0.45
CENTG3	Centaurin, gamma 3	Regulation of GTPase activity	0.6	0.61
DDX39	DEAD (Asp–Glu–Ala–Asp) box polypeptide 39	RNA helicase	0.37	0.33
ENOSF1	Enolase superfamily member 1	Regulation of thymidylate synthase	0.38	0.37
FAF1	Fas (TNFRSF6)-associated factor 1	Initiation of apoptosis	0.54	0.5
FAM50A	Family with sequence similarity 50, member A	Unknown	0.43	0.48
FAM96B	Family with sequence similarity 96, member B	Ras-related GTPases	0.53	0.65
FUS	Fusion (involved in t(12;16) in malignant liposarcoma)	Involved in the splicing of pre-mRNA and the export of fully processed mRNA to the cytoplasm	0.26	0.31
IFI44	Interferon-induced protein 44	Component of the interferon alpha/beta pathway	4.84	2.62
IFI44L	Interferon-induced protein 44-like	Unknown	3.68	2.45
IL6R	Interleukin 6 receptor	Subunit of the receptor complex for IL6	0.35	0.44
INSR	Insulin receptor	Component of the insulin signaling pathway	0.58	0.44
JMJD1C	Jumonji domain containing 1C	Histone demethylase, chromatin modification	0.24	0.28
LBR	Lamin B receptor	May mediate interaction between chromatin and lamin B	0.53	0.49
LRRC37A2	Leucine-rich repeat-containing 37, member A2	Unknown	0.66	0.6
MRPL53	Mitochondrial ribosomal protein L53	A protein of mammalian mitochondrial ribosome 39S subunit	0.54	0.63
NP	Nucleoside phosphorylase	Purine catabolism	0.6	0.53
POLD1	Polymerase (DNA directed), delta 1, catalytic subunit 125 kDa	DNA replication	0.53	0.62
PON2	Paraoxonase 2	Cellular antioxidant, defense responses to pathogenic bacteria	1.99	1.57
PPIL5	Peptidylprolyl isomerase (cyclophilin)-like 5	Negative regulator of TNFRSF9-mediated signaling cascade	0.55	0.64
RGL2	Ral guanine nucleotide dissociation stimulator-like 2	Potential effector for Ras and the Ras analog Rap1b	0.53	0.53
SCCPDH	Saccharopine dehydrogenase (putative)	Unknown	0.54	0.56
SERPINF1	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium-derived factor), member 1	Serine proteinase inhibitor	1.76	1.67
SLC25A19	Solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	Transports deoxynucleotides into mitochondria	0.64	0.61
TACC3	Transforming, acidic coiled-coil-containing protein 3	Cell growth and differentiation	0.34	0.35
TCF19	Transcription factor 19 (SC1)	Cell proliferation, regulation of transcription	0.33	0.36
TK1	Thymidine kinase 1, soluble	Nucleotide metabolism	0.38	0.46
UBE2C	Ubiquitin-conjugating enzyme E2C	E2 ubiquitin-conjugating enzyme family member	0.26	0.38
ZWINT	ZW10 interactor antisense	Involved in kinetochore function	0.18	0.17
