Gene symbol	Fold change	Gene title	UniGene	Function
MYO10	49	Myosin X	Hs.481720	Cytoskeleton
FSCN1	33	Fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	Hs.118400	Cytoskeleton
PDLIM1	17	PDZ and LIM domain 1 (elfin)	Hs.368525	Cytoskeleton
TPM2	13	Tropomyosin 2 (beta)	Hs.300772	Cytoskeleton
ELMO1	10	Engulfment and cell motility 1 (ced-12 homolog, C. elegans)	Hs.302578	Cytoskeleton
CDH6	15	Cadherin 6, type 2, K-cadherin (fetal kidney)	Hs.171054	Cell adhesion molecules
NEDD9	10	Neural precursor cell expressed, developmentally downregulated 9	Hs.37982	Cell adhesion molecules
ITGA3	10	Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	Hs.265829	Cell adhesion molecules
SPP1	10	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	Hs.313	Cell adhesion molecules
CDH13	5	Cadherin 13, H-cadherin (heart)	Hs.436040	Cell adhesion molecules
SPOCK	44	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	Hs.124611	ECM proteins
MMP3	33	Matrix metallopeptidase 3 (stromelysin 1, progelatinase)	Hs.375129	ECM proteins
TFPI2	25	Tissue factor pathway inhibitor 2	Hs.438231	ECM proteins
CTGF	18	Connective tissue growth factor	Hs.410037	ECM proteins
MMP2	18	Matrix metallopeptidase 2 (gelatinase A, 72 kDa gelatinase, 72 kDa type IV collagenase)	Hs.513617	ECM proteins
