Entrez GeneID	Symbol	Description	Fold Differential Expression 2 h	16 h	40 h	Functinal Group
12227	Btg2	B-cell translocation gene 2, anti-proliferative	7.8		2	Apoptosis
60599	Trp53inp1	transformation related protein 53 inducible nuclear protein 1	4		1.6	Apoptosis
12633	Cflar	CASP8 and FADD-like apoptosis regulator		-3.1	-3.7	Apoptosis
15370	Nr4a1	nuclear receptor subfamily 4, group A, member 1			2.2	Apoptosis
20393	Sgk	serum/glucocorticoid regulated kinase	2.2		1.5	Apoptosis
171543	Bmf	Bcl2 modifying factor			2.1	Apoptosis
12226	Btg1	B-cell translocation gene 1, anti-proliferative	1.8		1.3	Apoptosis
11799	Birc5	baculoviral IAP repeat-containing 5			1.6	Apoptosis
110213	Tegt	testis enhanced gene transcript		-1.6	-1.5	Apoptosis
12048	Bcl2l1	Bcl2-like 1	1.5			Apoptosis
17110	Lzp-s	P lysozyme structural	1.5		1.1	Apoptosis
107869	Cth	cystathionase (cystathionine gamma-lyase)		-3.9		Biosynthesis
110639	Prps2	phosphoribosyl pyrophosphate synthetase 2	4.1	1.7	3	Biosynthesis
235293	Sc5d	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)	-1.7	-3.4	-2.2	Biosynthesis
14718	Got1	glutamate oxaloacetate transaminase 1, soluble	3.4	1.8	2	Biosynthesis
13121	Cyp51	cytochrome P450, family 51		-3.3		Biosynthesis
110391	Qdpr	quininoid dihydropteridine reductase		-2.2	-1.4	Biosynthesis
15360	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2		2.1		Biosynthesis
234724	Tat	tyrosine aminotransferase	2.3		1.2	Biosynthesis
11656	Alas2	aminolevulinic acid synthase 2, erythroid	-2.2	-1.6	-1.9	Biosynthesis
18103	Nme2	expressed in non-metastatic cells 2, protein		1.6	2	Biosynthesis
69219	Ddah1	dimethylarginine dimethylaminohydrolase 1		-1.7		Biosynthesis
67307	3110049J23Rik	RIKEN cDNA 3110049J23 gene		-1.8	-1.9	Biosynthesis
18263	Odc1	ornithine decarboxylase, structural 1		1.7	1.8	Biosynthesis
14854	Gss	glutathione synthetase			1.6	Biosynthesis
27973	Vkorc1	vitamin K epoxide reductase complex, subunit 1		-1.5	-1.5	Biosynthesis
11984	Atp6v0c	ATPase, H+ transporting, V0 subunit C		1.5		Biosynthesis
18478	Pah	phenylalanine hydroxylase		-5.6	-1.8	Catabolism
246277	Csad	cysteine sulfinic acid decarboxylase	-2.6	-2	-1.9	Catabolism
11992	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase	-1.6	-2.6	-1.4	Catabolism
212503	Paox	polyamine oxidase		-1.9		Catabolism
12583	Cdo1	cysteine dioxygenase 1, cytosolic	1.3	-1.7		Catabolism
14085	Fah	fumarylacetoacetate hydrolase		-2.1		Catabolism
13850	Ephx2	epoxide hydrolase 2, cytoplasmic	-1.5	1.3	-1.6	Catabolism
20229	Sat1	spermidine/spermine N1-acetyl transferase 1	1.9		1.7	Catabolism
26443	Psma6	proteasome (prosome, macropain) subunit, alpha type 6			1.6	Catabolism
19173	Psmb5	proteasome (prosome, macropain) subunit, beta type 5			1.6	Catabolism
15233	Hgd	homogentisate 1, 2-dioxygenase		-1.5		Catabolism
66473	Ctrb1	chymotrypsinogen B1	6.4		9.6	Catabolism
56031	Ppie	peptidylprolyl isomerase E (cyclophilin E)	8.5	2.1	2.2	Catabolism
114228	Trygn16	trypsinogen 16	4.8		7.7	Catabolism
107568	Wwp1	WW domain containing E3 ubiquitin protein ligase 1	4.8		7	Catabolism
71665	Fuca1	fucosidase, alpha-L- 1, tissue			5.2	Catabolism
70790	4432411E13Rik	RIKEN cDNA 4432411E13 gene	5.8		4.1	Catabolism
14870	Gstp1	glutathione S-transferase, pi 1	-6.2			Catabolism
14859	Gsta3	glutathione S-transferase, alpha 3		-5.8	-2	Catabolism
76971	2810007J24Rik	RIKEN cDNA 2810007J24 gene	-1.8	-2.9	-5.6	Catabolism
