Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
AF068182	B-cell linker	Blnk	-1.6 ± 0.4	N.C.	-1.8 ± 0.4	N.C.	27
BE686052	immunoglobulin heavy chain 5 (delta-like heavy chain)	Igh-5	-2.8 ± 0.5	N.C.	N.C.	-2.3 ± 0.5	21
M99371	Fc receptor, IgE, low affinity II, alpha polypeptide	Fcer2a	-1.9 ± 0.4	N.C.	-17.0 ± 0.5	N.C.	31
AK008551	immunoglobulin lambda chain, variable 1 /// RIKEN cDNA 2010309G21 gene /// hypothetical protein LOC207685 /// similar to Ig lambda-3 chain C region - mouse /// similar to Ig lambda-2 chain	Igl-V1 /// 2010309G21Rik /// LOC207685 /// LOC386520 /// LOC547243	N.C.	N.C.	-2.8 ± 0.5	N.C.	343
AK008551	RIKEN cDNA 2010309G21 gene /// hypothetical protein LOC207685 /// similar to Ig lambda-2 chain	2010309G21Rik /// LOC207685 /// LOC547243	N.C.	N.C.	-2.8 ± 0.5	N.C.	344
AK008551	RIKEN cDNA 2010309G21 gene /// hypothetical protein LOC207685 /// similar to Ig lambda-3 chain C region - mouse	2010309G21Rik /// LOC207685 /// LOC386520	-2.1 ± 0.4	N.C.	N.C.	-1.8 ± 0.5	345
AI451642	B-cell scaffold protein with ankyrin repeats 1	Bank1	-2.1 ± 0.4	N.C.	-3.1 ± 0.4	N.C.	305
BI697337	basic, immunoglobulin-like variable motif containing	Bivm	-2.4 ± 0.4	N.C.	N.C.	N.C.	908
BB271145	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	Sema4f	-2.3 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	631
BB114323	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	Sema4a	-1.5 ± 0.4	N.C.	N.C.	N.C.	570
AV376345	similar to Ig lambda-3 chain C region - mouse	LOC386520	N.C.	N.C.	-2.7 ± 0.5	N.C.	472
Z93948	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	Sema3e	N.C.	N.C.	N.C.	-1.6 ± 0.4	1948
NM_010096	early B-cell factor 3	Ebf3	N.C.	-2.1 ± 0.4	N.C.	N.C.	1170
X67702	secretoglobin, family 1A, member 1 (uteroglobin)	Scgb1a1	N.C.	-2.1 ± 0.4	N.C.	N.C.	1147
AW259474	immunoglobulin mu binding protein 2	Ighmbp2	N.C.	-2.5 ± 0.4	N.C.	N.C.	1128
S69212	Immunoglobulin heavy chain (gamma polypeptide)	Ighg	N.C.	N.C.	-2.0 ± 0.6	N.C.	1941
NM_030691	immunoglobulin superfamily, member 6	Igsf6	N.C.	N.C.	-2.3 ± 0.4	N.C.	1905
NM_009153	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Sema3b	N.C.	N.C.	N.C.	-1.6 ± 0.4	1764
NM_009514	pre-B lymphocyte gene 3	Vpreb3	-2.1 ± 0.3	N.C.	N.C.	N.C.	1769
NM_010501	interferon-induced protein with tetratricopeptide repeats 3	Ifit3	-1.7 ± 0.4	N.C.	N.C.	N.C.	1792
NM_011087	paired-Ig-like receptor A1	Pira1	-1.5 ± 0.4	N.C.	N.C.	N.C.	1798
NM_011093	paired-Ig-like receptor A1 /// paired-Ig-like receptor A2 /// paired-Ig-like receptor A3 /// paired-Ig-like receptor A4 /// paired-Ig-like receptor A6 /// paired-Ig-like receptor B	Pira1 /// Pira2 /// Pira3 /// Pira4 /// Pira6 /// Pirb	-1.6 ± 0.4	N.C.	N.C.	N.C.	1799
AV256403	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	Sema4d	N.C.	N.C.	-1.6 ± 0.3	N.C.	1379
BC024930	histocompatibility 28	H28	-3.5 ± 0.6	N.C.	-2.2 ± 0.4	-2.0 ± 0.5	1584
BF163263	Fc receptor-like 1	Fcrl1	N.C.	N.C.	-3.0 ± 0.4	N.C.	1645
M94350	immunoglobulin lambda chain, variable 1	Igl-V1	N.C.	N.C.	-2.2 ± 0.5	-3.4 ± 0.5	1726
BG966217	Immunoglobulin lambda chain, mAb 667	Igk-V8	N.C.	N.C.	-1.5 ± 0.5	N.C.	1673
AF466769	immunoglobulin heavy chain 4 (serum IgG1)	Igh-4	N.C.	N.C.	N.C.	-5.0 ± 0.8	1203
AK007826	immunoglobulin heavy chain (J558 family)	Igh-VJ558	N.C.	N.C.	N.C.	-1.8 ± 0.4	1259
