Gene symbol	Gene name	Mean  ± SD	Probes†	Function
ACTA1	actin, ?1, skeletal muscle	3.8 ± 0.3	1	Myofibroblast-related factors
ACTA2	actin, ?2, smooth muscle, aorta	4.9 ± 0.6	1	Myofibroblast-related factors
ACTG2	gactin, ?2, smooth muscle, enteric	3.2 ± 0.3	1	Myofibroblast-related factors
CDH2	cadherin 2, type 1, N-cadherin	4.9 ± 0.4	1	Myofibroblast-related factors
CDH6	cadherin 6, type 2, K-cadherin	7.5 ± 1.0	1	Myofibroblast-related factors
KIAA0992	pallidin	3.2 ± 0.3	1	Myofibroblast-related factors
LTBP2	latent transforming growth factor ? binding protein 2	4.0 ± 0.5	1	Myofibroblast-related factors
MICAL2	microtubule associated monoxygenase	2.9 ± 0.3	1	Myofibroblast-related factors
MS4A1	membrane-spanning 4-domains, subfamily A	5.3 ± 1.1	1	Myofibroblast-related factors
MYO10	myosin X	2.5–2.6 ± 0.2–0.5	2	Myofibroblast-related factors
PLOD2	procallagen-lysine, 2-oxoglutarate 5-dioxygenase 2	2.6–3.3 ± 0.1–0.5	2	Myofibroblast-related factors
TNC	tenascin C (hexabrachion)	4.6–6.8 ± 0.1–1.4	8	Myofibroblast-related factors
TNS	tensin	3.3 ± 0.6	1	Myofibroblast-related factors
TPM1	tropomyosin 1 (?)	2.8–4.9 ± 0.1–0.5	3	Myofibroblast-related factors
TSPAN13	tetraspanin 13	7.6 ± 1.7	1	Myofibroblast-related factors
TSPAN2	tetraspanin 2	3.8 ± 1.4	1	Myofibroblast-related factors
ADAM12	a disintegrin and metalloproteinase domain 12	3.4–6.3 ± 0.5–1.4	6	Extracelluar matrix remodeling factors
ADAM19	a disintegrin and metalloproteinase domain 19	4.0–4.4 ± 0.3–0.9	2	Extracelluar matrix remodeling factors
COL11A1	collagen, type XI, ?1	2.6 ± 0.3	1	Extracelluar matrix remodeling factors
COL5A1	collagen, type V, ?1	2.4 ± 0.0	1	Extracelluar matrix remodeling factors
ELN	elastin	2.4 ± 0.1	1	Extracelluar matrix remodeling factors
F2RL1	coagulation factor II (thrombin) receptor-like 1, PAR-2	2.7–2.9 ± 0.2–0.6	2	Extracelluar matrix remodeling factors
FN1	fibronectin 1	2.9 ± 0.6	1	Extracelluar matrix remodeling factors
MAPK11	mitogen-activated protein kinase 11	2.3 ± 0.3	1	Extracelluar matrix remodeling factors
MGP	matrix Gla protein	3.3 ± 0.1	1	Extracelluar matrix remodeling factors
MMP1	matrix metalloproteinase 1 (interstitial collagenase)	5.0 ± 1.6	1	Extracelluar matrix remodeling factors
MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)	3.6 ± 0.2	1	Extracelluar matrix remodeling factors
PRSS11	protease, serine, 11 (IGF binding)	2.4 ± 0.1	1	Extracelluar matrix remodeling factors
SERPINE1	serine (or cysteine) proteinase inhibitor, PAI-I	4.2 ± 0.5	1	Extracelluar matrix remodeling factors
SERPINE2	serine (or cysteine) proteinase inhibitor	4.1 ± 1.6	1	Extracelluar matrix remodeling factors
SH3MD1	SH3 multipe domains 1, Fish/Tk5	2.7 ± 0.1	1	Extracelluar matrix remodeling factors
TIMP3	tissue inhibitor of metalloproteinase 3	3.6–8.8 ± 0.3–0.4	2	Extracelluar matrix remodeling factors
AREG	amphiregulin (schwannoma-derived growth factor)	3.2 ± 0.5	1	Growth factors
CLU	clusterin	2.3 ± 0.3	1	Growth factors
CTGF	connective tissue growth factor	3.1 ± 0.1	1	Growth factors
GREB1	gene regulated by estrogen in breast cancer protein	2.7 ± 0.0	1	Growth factors
IL-11	interleukin 11	3.4 ± 1.3	1	Growth factors
INHBA	inhibin, ?A (activin A, activin AB ? polypeptide)	7.5 ± 1.9	1	Growth factors
PDGFC	platelet-derived growth factor C	2.2 ± 0.3	1	Growth factors
PDGFD	platelet-derived growth factor D	3.4 ± 0.2	1	Growth factors
TGFBR1	transforming growth factor ? receptor I	2.9–3.5 ± 0.3–0.6	2	Growth factors
