LocusLink	Name
52	Acid phosphatase 1, soluble
55	Acid phosphatase, prostate
141	ADP-ribosylarginine hydrolase
143	Poly (ADP-ribose) polymerase family, member 4
212	Aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)
328	APEX nuclease (multifunctional DNA repair enzyme) 1
329	Baculoviral IAP repeat-containing 2
397	Rho GDP dissociation inhibitor (GDI) beta
483	ATPase, Na+/K+ transporting, beta 3 polypeptide
659	Bone morphogenetic protein receptor, type II (serine/threonine kinase)
783	Calcium channel, voltage-dependent, beta 2 subunit
858	Caveolin 2
919	CD3Z antigen, zeta polypeptide (TiT3 complex)
941	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)
954	Ectonucleoside triphosphate diphosphohydrolase 2
1022	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)
1141	Cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)
1296	Collagen, type VIII, alpha 2
1375
1454	Casein kinase 1, epsilon
1511	Cathepsin G
1537	Cytochrome c-1
1652	D-dopachrome tautomerase
1690	Coagulation factor C homolog, cochlin (Limulus polyphemus)
1857	Dishevelled, dsh homolog 3 (Drosophila)
1894	Epithelial cell transforming sequence 2 oncogene
2099	Estrogen receptor 1
2247	Fibroblast growth factor 2 (basic)
2254	Fibroblast growth factor 9 (glia-activating factor)
2308	Forkhead box O1A (rhabdomyosarcoma)
2330	Flavin containing monooxygenase 5
2744	Glutaminase
2902	Glutamate receptor, ionotropic, N-methyl D-aspartate 1
2952	Glutathione S-transferase theta 1
3087	Hematopoietically expressed homeobox
3159	High mobility group AT-hook 1
3201	Homeo box A4
3202	Homeo box A5
3223
3270	Histidine rich calcium binding protein
3356	5-hydroxytryptamine (serotonin) receptor 2A
3382	Islet cell autoantigen 1, 69kDa
3630	Insulin
3779	Potassium large conductance calcium-activated channel, subfamily M, beta member 1
3782	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
3812	Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
3956	Lectin, galactoside-binding, soluble, 1 (galectin 1)
4091	SMAD, mothers against DPP homolog 6 (Drosophila)
4122	Mannosidase, alpha, class 2A, member 2
4154
4323	Matrix metalloproteinase 14 (membrane-inserted)
4625	Myosin, heavy polypeptide 7, cardiac muscle, beta
4711	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
