Accession	UnigeneID	Symbol	Name	Regulation
AA649195	Hs.125262	AAAS	Aladin	Up-Regulated
U48734	Hs.182485	ACTN4	Actinin, alpha 4	Up-Regulated
AF024714	Hs.105115	AIM2	Absent in melanoma 2	Up-Regulated
L38490	Hs.183153	ARF4L	ADP-ribosylation factor 4-like	Up-Regulated
AA968888	Hs.268763	BCRP1	Breakpoint cluster region protein, uterine leiomyoma, 1; barrier to autointegration factor	Up-Regulated
BF854119	Hs.74034	CAV1	Caveolin 1, caveolae protein, 22 kD	Up-Regulated
AI581728	Hs.180370	CFL1	Cofilin 1 (non-muscle)	Up-Regulated
X66417	Hs.54415	CSN10	Casein, kappa	Up-Regulated
N20321	Hs.30928	D19S1177E	DNA segment on chromosome 19 (unique) 1177 expressed sequence	Up-Regulated
AA565113	Hs.169488	DRPLA	Dentatorubral-pallidoluysian atrophy (atrophin)	Up-Regulated
R61395	Hs.26880	ECEL1	Endothelin converting enzyme-like 1	Up-Regulated
Z21507	Hs.223241	EEF1D	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Up-Regulated
U29344	Hs.83190	FASN	Fatty acid synthase	Up-Regulated
X03674	Hs.80206	G6PD	Glucose-6-phosphate dehydrogenase	Up-Regulated
AA434038	Hs.5566	GJB2	Gap junction protein, beta 2, 26 kD (connexin 26)	Up-Regulated
AA378716	Hs.10114	GROS1	Growth suppressor 1	Up-Regulated
AI194023	Hs.53066	HSPBP1	hsp70-interacting protein	Up-Regulated
N20480	Hs.279842	HSPC157	HSPC157 protein	Up-Regulated
X57351	Hs.174195	IFITM2	Interferon induced transmembrane protein 2 (1-8D)	Up-Regulated
U20982	Hs.1516	IGFBP4	Insulin-like growth factor-binding protein 4	Up-Regulated
J05272	Hs.850	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1	Up-Regulated
H01020	Hs.184786	KIAA0829	TBP-interacting protein	Up-Regulated
AF025534	Hs.77062	LILRB5	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	Up-Regulated
AI335895	Hs.84344	LOC51024	CG135 protein	Up-Regulated
AW959826	Hs.279652	LOC51073	CGI-28 protein	Up-Regulated
AA714315	Hs.9857	LOC51181	Carbonyl reductase	Up-Regulated
AI079512	Hs.98289	LOC51231	VRK3 for vaccinia related kinase 3	Up-Regulated
AI301908	Hs.302028	LOC64180	Putative metallopeptidase (family M19)	Up-Regulated
AA434024	Hs.93199	LSS	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	Up-Regulated
Z49254	Hs.3254	MRPL23	Mitochondrial ribosomal protein L23	Up-Regulated
N47307	Hs.74823	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1 (7.5 kD, MWFE)	Up-Regulated
AI088622	Hs.173611	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2 (49 kD) (NADH-coenzyme Q reductase)	Up-Regulated
AI149755	Hs.9731	NFKBIB	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	Up-Regulated
AI085648	Hs.14317	NOLA3	Nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)	Up-Regulated
X17094	Hs.59242	PACE	Paired basic amino acid cleaving enzyme (furin, membrane associated receptor protein)	Up-Regulated
H51493	Hs.27744	RAB3A	RAB3A, member RAS oncogene family	Up-Regulated
W68606	Hs.11170	RBM14	RNA binding motif protein 14	Up-Regulated
AA430643	Hs.14231	SEPW1	Selenoprotein W, 1	Up-Regulated
L11669	Hs.157145	TETRAN	Tetracycline transporter-like protein	Up-Regulated
AI190293	Hs.228059	TIF1B	KRAB-associated protein 1	Up-Regulated
T64892	Hs.23410	TIMM13B	Translocase of inner mitochondrial membrane 13 (yeast) homolog B	Up-Regulated
AF038009	Hs.17279	TPST1	Tyrosylprotein sulfotransferase 1	Up-Regulated
AA706491	Hs.272897	TUBA3	Tubulin, alpha, brain-specific	Up-Regulated
AA029534				Up-Regulated
AA132519				Up-Regulated
AA166749				Up-Regulated
AA427796				Up-Regulated
AA431679				Up-Regulated
AA452382				Up-Regulated
AA481272				Up-Regulated
AA491856				Up-Regulated
11570398				Up-Regulated
AA815361				Up-Regulated
AA825327				Up-Regulated
AA864739				Up-Regulated
AI051964				Up-Regulated
AI243627				Up-Regulated
AI283613				Up-Regulated
AW771072				Up-Regulated
C01696				Up-Regulated
D38548				Up-Regulated
D45731				Up-Regulated
D78947				Up-Regulated
N35468				Up-Regulated
N38882				Up-Regulated
N67938				Up-Regulated
W58027				Up-Regulated
W79821				Up-Regulated
