SHORT_NAME	DESCRIPTION	AverageRatio3-12h	AverageRatio3-24h	AverageRatio3-48h
ABLIM1	actin binding LIM protein 1	0.66	0.61	0.55
ACAS2	acetyl-Coenzyme A synthetase 2 (ADP forming)	0.39	0.46	0.43
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	0.35	0.34	0.38
ALDOA	aldolase A, fructose-bisphosphate	0.29	0.33	0.36
ALDOA	aldolase A, fructose-bisphosphate	0.60	0.59	0.40
ALDOC	aldolase C, fructose-bisphosphate	0.54	0.55	0.55
ANG	angiogenin, ribonuclease, RNase A family, 5	0.48	0.61	0.54
AREG	amphiregulin (schwannoma-derived growth factor)	0.68	0.51	0.53
ARHF	ras homolog gene family, member F (in filopodia)	0.54	0.59	0.64
ASS	argininosuccinate synthetase	0.39	0.36	0.32
ASS	argininosuccinate synthetase	0.56	0.54	0.37
BCKDK	branched chain alpha-ketoacid dehydrogenase kinase	0.48	0.53	0.68
BENE	BENE protein	0.25	0.28	0.26
BENE	BENE protein	0.59	0.56	0.43
BIRC3	baculoviral IAP repeat-containing 3	0.64	0.60	0.53
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	0.26	0.30	0.35
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	0.27	0.37	0.41
C20orf18	chromosome 20 open reading frame 18	0.47	0.60	0.61
C22orf4	chromosome 22 open reading frame 4	0.51	0.53	0.53
CAPG	capping protein (actin filament), gelsolin-like	0.64	0.68	0.67
CDX2	caudal type homeo box transcription factor 2	0.59	0.42	0.49
CFTR	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)	0.34	0.39	0.35
CLDN4	claudin 4	0.18	0.18	0.18
CLIC1	chloride intracellular channel 1	0.54	0.44	0.56
CLK3	CDC-like kinase 3	0.60	0.65	0.53
COPE	coatomer protein complex, subunit epsilon	0.55	0.48	0.57
CRYL1	crystallin, lambda 1	0.50	0.45	0.45
CSRP1	cysteine and glycine-rich protein 1	0.59	0.48	0.55
CTSD	cathepsin D (lysosomal aspartyl protease)	0.33	0.31	0.33
CUGBP1	CUG triplet repeat, RNA binding protein 1	0.20	0.30	0.29
CXCL5	chemokine (C-X-C motif) ligand 5	0.46	0.35	0.45
CYB5	cytochrome b-5	0.61	0.53	0.39
CYB5	cytochrome b-5	0.69	0.55	0.43
CYFIP2	cytoplasmic FMR1 interacting protein 2	0.63	0.53	0.50
CYP2J2	cytochrome P450, subfamily IIJ (arachidonic acid epoxygenase) polypeptide 2	0.58	0.58	0.38
CYP51	cytochrome P450, 51 (lanosterol 14-alpha-demethylase)	0.44	0.52	0.51
DHCR7	7-dehydrocholesterol reductase	0.27	0.34	0.35
DKFZP434C131	DKFZP434C131 protein	0.38	0.37	0.40
DKFZP434P106	DKFZP434P106 protein	0.61	0.60	0.57
DKFZp762L0311	hypothetical protein DKFZp762L0311	0.51	0.62	0.46
DNAJB5	DnaJ (Hsp40) homolog, subfamily B, member 5	0.33	0.46	0.54
DNM2	dynamin 2	0.57	0.49	0.45
DNPEP	aspartyl aminopeptidase	0.60	0.52	0.57
DUSP5	dual specificity phosphatase 5	0.44	0.51	0.41
DUSP5	dual specificity phosphatase 5	0.69	0.72	0.54
E2IG5	hypothetical protein, estradiol-induced	0.48	0.50	0.38
EFNA1	ephrin-A1	0.39	0.26	0.34
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.67	0.70	0.56
EGLN1	egl nine homolog 1 (C. elegans)	0.44	0.54	0.61
EGLN3	egl nine homolog 3 (C. elegans)	0.32	0.44	0.48
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	0.12	0.13	0.19
EMP1	epithelial membrane protein 1	0.62	0.58	0.46
EPLIN	epithelial protein lost in neoplasm beta	0.47	0.40	0.46
ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	0.61	0.68	0.56
FAAH	fatty acid amide hydrolase	0.60	0.54	0.61
FBP2	fructose-1,6-bisphosphatase 2	0.56	0.65	0.49
FDFT1	farnesyl-diphosphate farnesyltransferase 1	0.36	0.51	0.58
FLJ10101	hypothetical protein FLJ10101	0.55	0.55	0.60
FLJ10241	hypothetical protein FLJ10241	0.60	0.61	0.62
FLJ11155	hypothetical protein FLJ11155	0.60	0.72	0.54
FLJ11200	hypothetical protein FLJ11200	0.46	0.52	0.52
FLJ20234	hypothetical protein FLJ20234	0.51	0.44	0.30
FLJ20273	RNA-binding protein	0.54	0.69	0.54
