Affymetrix probe set ID	Gene title	symbol	P-value	Fold change 6 h	12 h
209165_at	Apoptosis antogonizing transcription factor	AATF	0.0083	2.05	2.65
215483_at	A kinase anchor protein 9	AKAP9	0.0309	0.84	0.74
210025_s_at	Caspase recruitment domain family, member 10	CARD10	0.0193	1.38	1.81
200675_at	CD81 antigen	CD81	0.0211	1.41	2.62
202500_at	DnaJ (Hsp40) homolog, subfamily B, member 2	DNAJB2	0.0075	1.67	2.8
208708_x_at	NA	NA	NA	NA	NA
208290_s_at	Eukariotic translation initiation factor 5	EIF5	0.0496	1.55	2.09
NA	NA	NA	0.0178	2.41	3.99
203706_s_at	Frizzled homolog 7 (Drosophila)	FZD7	0.0051	1.33	2.01
209304_x_at	Growth arrest and DNA-damage-inducible, ?	GADD45B	0.0416	2	3.05
209769_s_at	Peanut-like 1(Drosophila)	GP1BB	0.0435	1.48	2.23
201162_at	Insulin-like growth factor-binding protein 7	IGFBP7	0.0498	1.07	2.529
210582_s_at	LIM domain kinase 2	LIMK2	0.0245	1.22	1.84
212566_at	Microtubule-associated protein 4	MAP4	0.0325	1.34	1.66
224621_at	Mitogen-activated protein kinase 1	MAPK1	0.0309	1.43	1.74
200797_s_at	qw03a03.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:1989964 3 mRNA sequence	MCL1	0.0364	1.44	1.68
200788_s_at	Phosphoprotein enriched in astrocytes 15	PEA15	0.0186	1.58	2.23
204286_s_at	Phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1 or NOXA)	NOXA	0.0308	1.79	3.18
1555520_at	Patched homolog (Drosophila)	PTCH	0.0451	0.8	0.64
212217_at	Ran GTPase activating protein 1	RANGAP1	0.0108	1.57	2.76
217264_s_at		SCNN1A	0.0382	1.47	1.78
222986_s_at	Scotin	SCOTIN	0.0237	1.43	1.97
201195_s_at	Solute carrier family 7, member 5	SLC7A5	0.0136	1.66	3.27
204292_x_at	Serine/threonine kinase 11, Peutz-Jeghers syndrome	STK11	0.0175	1.65	1.98
200931_s_at	Vinculin	VCL	0.0301	1.56	1.96
210512_s_at	Vascular endothelial growth factor	VEGF	0.0246	2.01	3.45
200670_at	X-box-binding protein 1	XBP1	0.0268	1.54	2.36
201901_s_at	YY1 transcription factor	YY1	0.047	1.75	2.45
