Unigene	Gene name	Description	Map	Avg tumor/avg mucosa	P	Avg tumor/avg Mucosa0	P	Avg tumor/avg Mucosa1	P	Avg Mucosa1/avg Mucosa0	P
Hs.512765	AXIN1	Axin1	16p13.3	1.2776	0.0286	1.5919	0.0005	1.0248	0.7954	1.5534	0.0055
Hs.79241	BCL2	B-cell CLL/lymphoma 2	18q21.33	0.384	0.007	0.882	0.7758	0.215	0.0001	4.1102	9.1e?06
Hs.1578	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	17q25	1.564	5.3e?06	1.3295	0.0087	1.8398	4.0e?07	0.7226	0.0006
Hs.306278	CD44	CD44 antigen	11p13	2.251	2.6e?06	2.581	4.2e?05	1.963	0.0019	1.3148	0.0025
Hs.194657	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	16q22.1	0.6888	0.0368	0.9521	0.8159	0.4972	0.0018	1.9148	1.4e?05
Hs.194657	CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	16q22.1	0.689	0.0368	0.952	0.8159	0.497	0.0018	3.7037	1.4e?05
Hs.370771	CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	6p21.2	0.8207	0.0293	0.8521	0.1817	0.793	0.0226	1.0746	0.5113
Hs.238990	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	12p13.1-p12	1.965	0.0001	3.031	1.0e?07	1.275	0.056	2.3776	1.5e?05
Hs.410086	CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3p21	0.9305	0.7134	1.6182	0.0605	0.668	0.0382	2.4223	0.0005
Hs.410086	CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3p21	1.249	0.0624	1.618	0.0605	1.349	0.0364	0.6845	0.0005
Hs.410086	CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3p21	0.93	0.7134	1.156	0.3366	0.668	0.0382	0.8571	0.2728
Hs.82407	CXCL16	Chemokine (C-X-C motif) ligand 16	17p13	0.6459	0.0211	0.3991	4.4e?05	1.0451	0.8056	0.3819	1.2e?06
Hs.172648	DLX4	Distal-less homeobox 4	17q21.33	0.6803	0.0034	0.4754	1.4e?06	0.9739	0.7792	0.4882	2.4e?06
Hs.1602	DPYD	Dihydropyrimidine dehydrogenase	1p22	0.5916	0.0037	0.6374	0.0594	0.549	0.0117	1.161	0.2624
Hs.77432	EGFR	Epidermal growth factor receptor	7p12	0.725	0.0002	0.719	0.0032	0.731	0.0035	0.9841	0.8315
Hs.446352	ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homologue 2	17q11.2-q12	0.8516	0.0783	0.7097	0.0015	1.0194	0.8329	0.6962	0.0022
Hs.169744	G22P1	Thyroid autoantigen (Ku70)	22q13.2-q13.31	1.7222	0.0014	2.997	<1.0e?07	0.99	0.9176	3.0266	<1.0e?07
Hs.234896	GMNN	Geminin, DNA replication inhibitor	6p22.1	1.8135	0.0023	2.983	1.8e?06	1.1022	0.4607	2.7063	7.5e?05
Hs.132625	HSF1	Heat shock transcription factor 1	8q24.3	1.026	0.7873	0.9583	0.7322	1.099	0.4205	0.872	0.166
Hs.76473	IGF2R	Insulin-like growth factor 2 receptor	6q26	0.77	0.0628	0.9485	0.761	0.6253	0.0058	1.5169	0.0018
Hs.155995	KIAA0643	KIAA0643 protein	16p13.3	0.9152	0.5006	0.8938	0.5417	0.9366	0.7154	0.9543	0.4934
Hs.4276	KIAA1701	KIAA1701 protein	Xq23	1.4955	0.1145	1.5551	0.2377	1.4494	0.2366	1.0729	0.7143
Hs.447488	KRAS2	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homologue	12p12.1	0.726	0.011	1.346	0.0949	0.598	0.0001	1.4721	0.0168
Hs.447488	KRAS2	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homologue	12p12.1	1.237	0.1136	0.88	0.4033	1.137	0.4129	1.1838	0.2708
Hs.445201	L1CAM	L1 cell adhesion molecule	Xq28	1.2097	0.2724	1.1995	0.4985	1.2123	0.251	0.9895	0.9618
Hs.102267	LOX	Lysyl oxidase	5q23.2	1.7402	0.0807	1.6922	0.284	1.762	0.0918	0.9604	0.9362
Hs.110741	MADH2	MAD, mothers against decapentaplegic homologue 2 (Drosophila)	18q21.1	1.013	0.8992	1.118	0.395	0.917	0.3806	1.2199	0.1393
Hs.75862	MADH4	MAD, mothers against decapentaplegic homologue 4 (Drosophila)	18q21.1	0.37	0.0052	0.636	0.4052	0.298	0.0026	2.1352	0.0116
Hs.90598	MICA	MHC class I polypeptide-related sequence A	6p21.3	0.8712	0.322	0.5717	0.0002	1.326	0.0004	0.4311	2.1e?05
Hs.80976	MKI67	Antigen identified by monoclonal antibody Ki-67	10q25-qter	1.193	0.0152	1.204	0.0622	1.184	0.0534	1.0165	0.8293
Hs.433618	MLH1	MutL homologue 1, colon cancer, nonpolyposis type 2 (Escherichia coli)	3p21.3	0.5979	<1.e?07	0.6221	2.2e?06	0.575	<1.0e?07	1.0819	0.3187
Hs.83169	MMP1	Matrix metalloproteinase 1 (interstitial collagenase)	11q22.3	5.581	<1.0e?07	4.465	2.9e?06	6.975	<1.0e?07	0.6401	0.0791
Hs.440394	MSH2	MutS homologue 2, colon cancer, nonpolyposis type 1 (E. coli)	2p22-p21	1.9975	0.0005	3.4692	<1.0e?07	1.1503	0.3526	3.016	2.0e?07
Hs.445052	MSH6	MutS homologue 6 (E. coli)	2p16	1.3444	0.0003	1.4605	6.9e?05	1.2378	0.0211	1.1799	0.1342
Hs.202453	MYC	V-myc myelocytomatosis viral oncogene homologue (avian)	8q24.12-q24.13	2.1106	5.1e?05	2.7464	3.5e?05	1.622	0.0234	1.6933	7.1e?05
Hs.78996	PCNA	Proliferating cell nuclear antigen	20pter-p12	2.359	4.8e?05	3.948	1.0e?07	1.409	0.0757	2.8016	<1.0e?07
Hs.77274	PLAU	Plasminogen activator, urokinase	10q24	3.709	<1.0e?07	3.628	7.0e?07	3.793	1.4e?06	0.9566	0.7533
Hs.253309	PTEN	Phosphatase and tensin homologue	10q23.3	1.063	0.4609	1.2148	0.0671	0.9296	0.3552	1.3068	0.0206
Hs.2090	PTGER2	Prostaglandin E receptor 2 (subtype EP2), 53 kDa	14q22	0.6534	0.0714	0.534	0.0429	0.7695	0.3591	0.694	0.0488
Hs.196384	PTGS2	Prostaglandin-endoperoxide synthase 2 (cyclooxygenase 2)	1q25.2-q25.3	17.7462	<1.0e?07	21.3564	3.8e?05	15.8795	1.2e?06	1.3449	0.5563
Hs.43666	PTP4A3	Protein tyrosine phosphatase type IVA, member 3	8q24.3	0.708	0.1186	0.58	0.0665	0.845	0.5313	0.6863	0.0047
Hs.413812	RAC1	Ras-related C3 botulinum toxin substrate 1	7p22	1.2145	0.019	1.3604	0.0047	1.085	0.3604	1.2538	0.0195
Hs.170019	RUNX3	Runt-related transcription factor 3	1p36	1.131	0.3436	1.0621	0.7031	1.2028	0.255	0.883	0.4244
Hs.75716	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B, member 2	18q21.3	1.29	0.1839	1.372	0.2314	1.212	0.4452	1.1325	0.3334
Hs.7306	SFRP1	Secreted frizzled-related protein 1	8p12-p11.1	0.4622	0.0028	0.2516	1.3e?05	0.8485	0.4188	0.2965	0.0001
Hs.48029	SNAI1	Snail homologue 1 (Drosophila)	20q13.1-q13.2	3.7073	5.7e?05	5.5632	0.0002	2.5728	0.0003	2.1623	0.0736
Hs.360174	SNAI2	Snail homologue 2 (Drosophila)	8q11	1.3311	0.0733	1.6363	0.0135	1.0833	0.6657	1.5104	0.0248
Hs.1103	TGFB1	Transforming growth factor, ?1	19q13.2	0.997	0.985	0.744	0.1668	1.336	0.1633	0.5564	1.9e?06
Hs.421496	TGFBI	Transforming growth factor, ?-induced, 68 kDa	5q31	4.3595	<1.0e?07	3.915	<1.0e?07	4.8562	<1.0e?07	0.8062	0.1108
Hs.28005	TGFBR1	Transforming growth factor, ? receptor I	9q22	2.055	5.8e?05	3.399	<1.0e?07	1.243	0.1093	2.7341	<1.0e?07
Hs.82028	TGFBR2	Transforming growth factor, ? receptor II (70/80 kDa)	3p22	1.5105	0.0008	1.9947	9.0e?07	1.1421	0.2092	1.7465	0.0003
Hs.408312	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	17p13.1	0.9618	0.6734	0.8766	0.2863	1.0558	0.6512	0.8302	0.0104
Hs.87491	TYMS	Thymidylate synthetase	18p11.32	0.4944	6.9e?06	0.3385	<1.0e?07	0.7225	6.0e?05	0.4686	0.0002
Hs.73793	VEGF	Vascular endothelial growth factor	6p12	2.5261	<1.0e?07	2.6247	1.0e?07	2.432	3.0e?07	1.0793	0.3109
Hs.248164	WNT1	Wingless-type MMTV integration site family, member 1	12q13	0.4706	0.0017	0.2373	1.0e?07	0.9314	0.5552	0.2547	1.2e?05
Hs.257082	XRCC5	X-ray repair cross-complementing group 5 (Ku80)	2q35	1.598	0.0023	2.619	<1.0e?07	0.975	0.7981	2.6854	<1.0e?07
Hs.155040	ZNF217	Zinc finger protein 217	20q13.2	2.3257	0.006	5.2158	3.7e?06	1.0373	0.8801	5.0282	5.5e?06
Hs.251664	NA	CDNA clone MGC:52263 IMAGE:4123447, complete cds	NA	1.1372	0.2195	1.0049	0.9714	1.2871	0.0659	0.7807	0.0033
