Gene Symbol	Gene Description	Average FC to Cells in SR Medium	Unigene ID
SP5	Sp5 transcription factor	5.6	Hs.368802
HOXA1	homeobox A1	5.3	Hs.67397
NR2F1	nuclear receptor subfamily 2, group F, member 1	4.6	Hs.361748
RGS5	regulator of G-protein signaling 5	4.5	Hs.24950
MFAP5	microfibrillar-associated protein 5	4.5	Hs.300946
COL12A1	collagen, type XII, alpha 1	4.4	Hs.101302
—	full-length cDNA clone CS0DI014YH21	4.3	Hs.23871
COMP	cartilage oligomeric matrix protein	4.3	Hs.1584
KIAA0882	KIAA0882 protein	4.3	Hs.411317
SERPINE1	serine (or cysteine) proteinase inhibitor, clade E, member 1	4.1	Hs.414795
PARVA	parvin, alpha	4.1	Hs.44077
URB	steroid-sensitive gene 1	4.1	Hs.356289
FLJ21069	hypothetical protein FLJ21069	4.1	Hs.341806
SLC22A3	solute carrier family 22 (extraneuronal monoamine transporter), member 3	4	Hs.242721
—	CDNA FLJ38181 fis, clone FCBBF1000125	3.9	Hs.143134
MGC10946	—	3.8	Hs.130692
PAG	phosphoprotein associated with glycosphingolipid-enriched microdomains	3.8	Hs.266175
LOC285458	hypothetical gene supported by AK096952	3.7	Hs.381187
NPPB	natriuretic peptide precursor B	3.7	Hs.219140
GLIPR1	GLI pathogenesis-related 1 (glioma)	3.7	Hs.511765
HRB2	HIV-1 rev binding protein 2	3.7	Hs.269857
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	3.6	Hs.192822
—	CDNA FLJ44429 fis, clone UTERU2015653	3.6	Hs.86538
TBX5	T-box 5	3.5	Hs.381715
NODAL	nodal homologue (mouse)	3.5	Hs.370414
APOA1	apolipoprotein A-I	3.5	Hs.93194
INSM1	insulinoma-associated 1	3.5	Hs.89584
C9orf13	chromosome 9 open-reading frame 13	3.5	Hs.385887
GATA6	GATA-binding protein 6	3.4	Hs.50924
ALDH1A1	aldehyde dehydrogenase 1 family, member A1	3.4	Hs.76392
SYTL2	synaptotagmin-like 2	3.4	Hs.390463
BHLHB2	basic helix-loop-helix domain–containing, class B, 2	3.3	Hs.171825
SDCCAG33	serologically defined colon cancer antigen 33	3.3	Hs.284217
ALCAM	activated leukocyte cell adhesion molecule	3.3	Hs.10247
ARHGAP24	Rho GTPase-activating protein 24	3.2	Hs.442801
—	—	3.2	Hs.124776
MBD2	methyl-CpG-binding domain protein 2	3.2	Hs.25674
IGFBP3	insulin-like growth factor–binding protein 3	3.1	Hs.450230
FBLN2	fibulin 2	3.1	Hs.198862
TBX3	T-box 3 (ulnar mammary syndrome)	3	Hs.129895
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	3	Hs.443657
—	hypothetical gene supported by BX647608	2.9	Hs.411391
SEMA3C	sema domain, immunoglobulin domain	2.9	Hs.171921
EPHA2	EPH receptor A2	2.8	Hs.171596
B1	parathyroid hormone–responsive B1 gene	2.8	Hs.79340
PCDH10	protocadherin 10	2.8	Hs.146858
FER1L3	fer-1-like 3, myoferlin (C. elegans)	2.7	Hs.362731
P4HA3	procollagen-proline, 2-oxoglutarate 4-dioxygenase	2.7	Hs.440644
ADAMTS5	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif	2.7	Hs.58324
DKFZP564O0823	DKFZP564O0823 protein	2.7	Hs.105460
KIAA1245	hypothetical protein MGC8902	2.7	Hs.445556
EBF	early B-cell factor	2.6	Hs.120785
GREM2	gremlin 2 homologue, cysteine knot superfamily (Xenopus laevis)	2.6	Hs.207407
AHNAK	AHNAK nucleoprotein (desmoyokin)	2.6	Hs.378738
FN1	fibronectin 1	2.6	Hs.418138
TSLP	thymic stromal lymphopoietin	2.5	Hs.389874
COL4A1	collagen, type IV, alpha 1	2.5	Hs.437173
ACTA1	actin, alpha 1, skeletal muscle	2.5	Hs.1288
RUNX2	runt-related transcription factor 2	2.5	Hs.122116
FAM46A	family with sequence similarity 46, member A	2.5	Hs.10784
SIX1	Sine oculis homeobox homologue 1 (Drosophila)	2.5	Hs.54416
LOC339535	hypothetical protein LOC339535	2.4	Hs.532047
RGC32	response gene to complement 32	2.4	Hs.76640
FOXD1	forkhead box D1	2.3	Hs.96028
SIAH2	seven in absentia homologue 2 (Drosophila)	2.3	Hs.20191
ODZ2	Odz, odd Oz/ten-m homologue 2 (Drosophila)	2.3	Hs.173560
LTBP3	latent transforming growth factor beta–binding protein 3	2.3	Hs.289019
NAV3	neuron navigator 3	2.3	Hs.306322
—	CDNA FLJ43100 fis, clone CTONG2003100	2.3	Hs.440492
SEMG1	semenogelin I	2.3	Hs.1968
WASPIP	Wiskott-Aldrich syndrome protein-interacting protein	2.3	Hs.401414
AMOTL1	angiomotin-like 1	2.3	Hs.292781
NRP1	neuropilin 1	2.2	Hs.173548
NEXN	nexilin (F actin–binding protein)	2.2	Hs.22370
DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	2.2	Hs.99120
ZNF25	zinc finger protein 25 (KOX 19)	2.2	Hs.5856
TMEPAI	transmembrane, prostate androgen–induced RNA	2.2	Hs.83883
DACH1	dachshund homologue 1 (Drosophila)	2.2	Hs.63931
THSD2	thrombospondin, type I, domain-containing 2	2.2	Hs.135254
LMO7	LIM domain 7	2.2	Hs.5978
MAP4	microtubule-associated protein 4	2.2	Hs.31095
—	CDNA: FLJ23131 fis, clone LNG08502	2.1	Hs.301296
CDC42EP3	CDC42 effector protein (Rho GTPase–binding) 3	2.1	Hs.352554
MFAP3L	Microfibrillar-associated protein 3-like	2.1	Hs.178121
PDE4DIP	phosphodiesterase 4D–interacting protein (myomegalin)	2.1	Hs.502577
FBLN5	fibulin 5	2.1	Hs.11494
FLJ23091	putative NFkB-activating protein 373	2.1	Hs.297792
LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)	2.1	Hs.445120
HDLBP	high-density lipoprotein–binding protein (vigilin)	2	Hs.427152
CER1	cerberus 1 homologue, cysteine knot superfamily (Xenopus laevis)	2	Hs.248204
BDNF	brain-derived neurotrophic factor	2	Hs.439027
