Gene	Description	Fold-change	Score (d)	Function
TC519817	extensin-like protein	3.5	1.879	Extracellular matrix
Fbln2	fibulin-2	2.9	1.834	Extracellular matrix
Gp2	glycoprotein 2	7.8	1.712	Extracellular matrix
Evl	enabled vasodilator stimulated phosphoprotein	0.5	-1.927	Cytoskeleton
XM_238549	similar to cytoskeleton protein 49	0.4	-1.889	Cytoskeleton
Dcamkl1	double cortin and calcium/calmodulin-dependent protein kinase-like 1	0.3	-1.88	Cytoskeleton
Ckap4	cytoskeleton-associated protein 4	0.3	-1.86	Cytoskeleton
Ril	reversion induced LIM gene	0.6	-1.855	Cytoskeleton
Gjb1	gap junction membrane chanel protein beta 1	3.6	2.069	Cellular junction
Cdh1	cadherin 1	2.9	1.982	Cellular junction
TC539966	protocadherin beta 9	7.5	1.806	Cellular junction
Pdch18	protocadherin beta 18	2.4	1.792	Cellular junction
Cyp4f4	cytochrome P450 family 4, subfamily f, polypeptide 4	2.6	1,874	Metabolism of arachidonic acid
Cyp4f2	cytochrome P450 family 4, subfamily f, polypeptide 2	2	1.782	Metabolism of arachidonic acid
D28966	prostacyclin receptor	0.5	-1.99	Metabolism of arachidonic acid
