Cy3/cy5	Accession No.	Gene
>10.00	AA477929	FLJ10767
8.75	M21389	KRT5
8.20	AI027554	DKFZP586J1624
6.20	L32976	MAP3K11
6.04	X04325	GJB1
5.58	D16431	HDGF
5.37	Z29630	SYK
4.90	U35113	MTA1
4.85	AB000520	APS
4.62	U04241	AES
4.19	AF016903	Agrin precursor
4.13	D26512	MMP14
4.08	U23803	HNRPAO
3.98	L05628	ABCC1
3.95	AI356637	ESTs
3.90	AA430643	SEPW1
3.79	M77640	L1CAM
3.71	M55153	TGM2
3.64	AA234962	PKP3
3.57	M16462	DIA1
3.52	AI149705	FLJ21929
3.48	AI081175	IFITM1
3.36	U07550	HSPE1
3.32	X63564	POLR2A
3.22	J03075	PRKCSH
3.18	JO4046	CALM3
3.18	U41745	PDAP1
3.17	M73554	PRAD1
3.17	AI040181	ESTs
3.17	M15796	PCNA
3.05	AF037261	SCAM
2.99	AA434038	GJB2
2.98	Z31696	DXS1357E
2.98	D88153	HYA22
2.95	AI096393	CPSF4
2.93	AA459728	GLTSCR2
2.85	J03853	ADRA2C
2.80	X66503	ADSS
2.79	AI149639	FIBROSIN
2.76	X03212	KRT7
2.74	R73352	LOC51210
2.73	Z18950	S100A4
2.73	M33518	D6S51E
2.71	X04654	SNRP70
2.71	J03191	PFN1
2.70	AA479010	E1B-AP5
2.67	U42376	LY6E
2.66	AA993406	EVA1
2.61	D30758	ACAP1
2.61	X85237	SF3A1
2.59	M16279	MIC2
2.59	X69550	ARHGDIA
2.58	AI312094	ESTs
2.57	AA493324	ESTs
2.53	M13452	LMNA
2.50	M77235	SCN5A
2.50	AF035299	DOK1
2.45	BF971926	LMNA
2.43	AF072836	HMG20B
2.42	L05096	Ribosomal protein
2.42	X04366	CAPN1
2.41	M23419	EIF5A
2.40	AA195512	HSEC61
2.38	M58028	UBE1
2.35	AA291909	LOC51608
2.33	AB014583	KIAA0683
2.31	D83782	SCAP
2.31	J04101	ETS1
2.31	X07868	IGF2
2.30	AI189382	FBI1
2.30	AA812940	AF17
2.25	U48734	ACTN4
2.23	U53347	SLC1A5
2.22	Y09022	NOT56L
2.18	R13691	PCDH9
2.17	AA608804	D6S51E
2.16	AA634326	ESTs
2.15	M60922	FLOT2
2.15	U66914	HDAC3
2.15	R99311	ESTs
2.11	AF028824	C19ORF3
2.08	D38251	POLR2E
2.05	U18920	ATP6N1A
2.03	AA770408	IMPDH2
