Function	Gene name	Accession#	Ratio day 0	Ratio day 1	Ratio day 5	P value day 0	P value day 1	P value day 5	Expression
Detoxification	Nqo1	NM_017000	0,153161338	0,09509419	0,9313329	0,833712475	0,927082425	0,000223519	increased
Detoxification	Gsta4	XM_217195	-0,275666227	-0,314801025	0,413131618	0,253015701	0,120614239	0,006374434	increased
Detoxification	Gstp2	NM_138974	0,382499361	0,418277366	1,459294326	0,30465786	0,189513652	2,28E-07	increased
Antioxidant/reducing Potential	Gclc	NM_012815	0,050889982	0,064489288	0,553224444	0,935159305	0,921933889	0,000668569	increased
Antioxidant/reducing Potential	Txnrd1	NM_031614	0,043006071	0,068186563	0,416963683	0,920763898	0,85987218	0,000404461	increased
Antioxidant/reducing Potential	Prdx6	NM_053576	-0,529339334	-0,578113241	-0,680873497	0,084587704	0,038158555	0,003140611	decreased
Antioxidant/reducing Potential	Taldo1	NM_031811	0,009418008	0,032634451	-0,237774271	0,986167462	0,947870016	0,026954523	decreased
Antioxidant/reducing Potential	Me1	NM_012600	-0,000528861	0,013155505	0,269261838	0,998825398	0,98787689	0,021535996	increased
TGF beta signalling pathway	Bambi	NM_139082	-0,039617538	-0,026338592	-0,864880442	0,977785277	0,990188964	0,00336128	decreased
TGF beta signalling pathway	Smad4	NM_019275	-0,203348936	-0,40795009	-0,373068895	0,356782837	0,006017924	0,003289649	decreased
TGF beta signalling pathway	Map3k1	NM_053887	-0,299368715	-0,358856734	-0,690663403	0,55056724	0,382654757	0,004166232	decreased
TGF beta signalling pathway	Tgfb1	NM_021578	-0,126020083	-0,168731098	-0,366913617	0,684930689	0,490885028	0,004166232	decreased
TGF beta signalling pathway	Madh7 (smad7)	NM_030858	-0,264074403	-0,230874139	-0,588447764	0,720614387	0,784042896	0,049193592	decreased
Oxidative stress	Epas1	NM_023090	-0,270174359	-0,478814403	-1,093139357	0,688153639	0,259648489	0,000173015	decreased
Oxidative stress	Frd1	XM_574642	0,131200174	0,166324378	0,387371459	0,560092481	0,355116774	0,000497262	increased
Oxidative stress	Mt3	NM_053968	0,415104171	0,340566391	1,552629091	0,456685437	0,588382185	4,64E-06	increased
Oxidative stress	Gpx1	NM_030826	0,118639332	0,007736138	0,307368335	0,5834878	0,991968688	0,002399689	increased
Electron transport activity	Nqo1	NM_017000	0,153161338	0,09509419	0,9313329	0,833712475	0,927082425	0,000223519	increased
Electron transport activity	Cyb561	XM_221030	-0,028644328	-0,034319208	-0,617267222	0,977340962	0,978641469	0,003179802	decreased
Electron transport activity	Cxcl10	NM_139089	0,113398034	0,222659258	1,175083864	0,855674156	0,616446381	1,06E-06	increased
Electron transport activity	Phgdh	NM_031620	0,019449285	0,127790463	0,21275382	0,963270227	0,538281599	0,044674848	increased
Electron transport activity	Akr1b4	NM_012498	0,211752133	0,205849841	0,441397541	0,661683708	0,680952818	0,037660927	increased
