Symbol	Name	hESC Median Intensity	ESC/EB
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	89	195.9
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	89	195.9
FZD5	frizzled homolog 5 (Drosophila)	272	5.9
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
BMPR1A	bone morphogenetic protein receptor, type IA	196	2.7
FGFR4	fibroblast growth factor receptor 4	922	2.5
FGFR4	fibroblast growth factor receptor 4	922	2.5
FGFR4	fibroblast growth factor receptor 4	922	2.5
FGFR4	fibroblast growth factor receptor 4	922	2.5
FGFR4	fibroblast growth factor receptor 4	922	2.5
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	124	2
ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	126	1.9
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	124	2
ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	126	1.9
FZD9	frizzled homolog 9 (Drosophila)	180	1.6
ACVR2B	activin A receptor, type IIB	414	1.6
ACVR2B	activin A receptor, type IIB	414	1.6
ACVR2B	activin A receptor, type IIB	414	1.6
FLT4	fms-related tyrosine kinase 4	259	1.3
FLT4	fms-related tyrosine kinase 4	259	1.3
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352	1.2
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352	1.2
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352	1.2
NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	352	1.2
