UniGene ID	Gene Name	Description	SAM Score(d)	Function
Hs.194726	BAG4	BCL2-associated athanogene 4	-6.33	anti-apoptosis
Hs.256126	BIRC7	Baculoviral IAP repeat-containing 7 (livin)	-5.59	anti-apoptosis
Hs.102402	MXD4	MAX dimerization protein 4	-5.59	negative regulation of cell proliferation
Hs.412311	APITD1	Apoptosis-inducing, TAF9-like domain 1	-5.23	arole in a cell death pathway
Hs.107153	ING2	Inhibitor of growth family, member 2	-5.07	P53-dependent apoptotic pathways
Hs.643130	PAWR	PRKC, apoptosis, WT1, regulator	-4.99	apoptosis
Hs.379186	PDCD6	Programmed cell death 6	-4.79	Induction of apoptosis
Hs.271955	TNFAIP8	Tumor necrosis factor, alpha-induced protein 8	-4.46	anti-apoptosis
Hs.469658	BCL2L11	BCL2-like 11 (apoptosis facilitator)	-4.08	apoptosis
