GenBank	Gene name	-Fold change (mean ± S.D.) 8 h	24 h	72 h	qa %	U95	Function
NM_014059	Response gene to complement 32 (RGC 32)	–4.90 ± 0.13	–8.14 ± 0.38	–5.47 ± 0.08	0.6	N/Ab	Cell cycle and apoptosis
NM_000043	Fas	–1.54 ± 0.14	–1.96 ± 0.27	–2.50 ± 0.21	0.6	?	Cell cycle and apoptosis
NM_005564	Lipocalin 2 (LCN2)	–1.04 ± 0.13	–1.59 ± 0.23	–3.05 ± 0.21	0.6	N/A	Oncogene and tumor suppressors
NM_002089	GRO-?	–1.68 ± 0.20	–3.92 ± 0.10	–3.35 ± 0.25	0.6	?	Oncogene and tumor suppressors
NM_002090	GRO-?	–1.69 ± 0.19	–3.32 ± 0.16	–2.54 ± 0.36	2.2	?	Oncogene and tumor suppressors
NM_007177	TU3A	–1.64 ± 0.10	–3.35 ± 0.17	–5.97 ± 0.25	0.6	N/A	Oncogene and tumor suppressors
NM_001001567	Phosphodiesterase 9A	–1.69 ± 0.21	–4.14 ± 0.33	–6.82 ± 0.94	0.6	?	Enzymes
NM_001116	Adenylate cyclase 9	–1.47 ± 0.12	–3.01 ± 0.42	–3.60 ± 0.07	0.6	?	Enzymes
NM_000295	Serine proteinase inhibitor, clade A, member 1	–1.46 ± 0.26	–1.68 ± 0.23	–3.62 ± 0.33	3.3	N/A	Enzymes
NM_004591	Small inducible cytokine subfamily A (Cys-Cys), 20 (SCYA20)	–2.09 ± 0.39	–23.64 ± 0.31	–14.59 ± 0.77	0.6	N/A	Signal transducers, growth factors, and receptors
NM_002993	Small inducible cytokine subfamily B (Cys-X-Cys), 6 (SCYB6)	–1.53 ± 0.24	–2.88 ± 0.12	–2.82 ± 0.15	1.2	N/A	Signal transducers, growth factors, and receptors
NM_000627	Latent transforming growth factor ?-binding protein 1	–1.41 ± 0.22	–5.36 ± 0.20	–6.27 ± 0.38	0.6	N/A	Signal transducers, growth factors, and receptors
NM_001999	Fibrillin 2	1.03 ± 0.09	–1.44 ± 0.09	–2.53 ± 0.07	0.6	?	Signal transducers, growth factors, and receptors
NM_001955	Endothelin 1	–2.79 ± 0.41	–6.39 ± 0.21	–.28 ± 0.20	4	N/A	Signal transducers, growth factors, and receptors
NM_003317	Thyroid transcription factor 1	–1.28 ± 0.12	–2.10 ± 0.15	–2.64 ± 0.14	2.6	?	Transcription factors
NM_004235	Kruppel-like factor 4 (gut)	–1.29 ± 0.11	–1.87 ± 0.15	–2.08 ± 0.15	4	N/A	Transcription factors
NM_002371	Mal, T-cell differentiation protein	–1.25 ± 0.05	–2.68 ± 0.20	–3.80 ± 0.22	0.6	N/A	Immunity proteins
NM_000600	Interleukin 6	–1.67 ± 0.06	–2.70 ± 0.34	–2.46 ± 0.17	0.9	N/A	Immunity proteins
NM_000584	Interleukin 8	–1.36 ± 0.04	–2.50 ± 0.19	–1.98 ± 0.17	0.6	?	Immunity proteins
NM_003641	Interferon-induced transmembrane protein 1	–1.03 ± 0.02	–1.71 ± 0.37	–2.93 ± 0.29	0.6	N/A	Immunity proteins
NM_024626	Immune costimulatory protein B7-H4	–1.10 ± 0.14	–2.59 ± 0.42	–4.20 ± 0.33	2.2	N/A	Immunity proteins
NM_152854	CD40	–2.51 ± 0.41	–1.50 ± 0.51	–2.90 ± 0.15	1.2	N/A	Immunity proteins
NM_015515	Keratin 23	–1.60 ± 0.15	–3.19 ± 0.06	–4.24 ± 0.32	0.6	N/A	Structural proteins, cell adhesion molecules, and cytoskeleton
NM_018286	Hypothetical protein FLJ10970	–1.69 ± 0.22	–2.49 ± 0.45	–3.46 ± 0.21	1.1	N/A	Others
NM_024626	Immune costimulatory protein B7-H4	–1.10 ± 0.14	–2.59 ± 0.42	–4.20 ± 0.33	2.2	N/A	Others
NM_002964	S100 calcium-binding protein A8	–1.42 ± 0.22	–2.73 ± 0.29	–5.73 ± 0.28	0.6	N/A	Others
NM_183373	Hypothetical protein FLJ21175	–1.26 ± 0.13	–1.97 ± 0.12	–3.08 ± 0.29	0.6	N/A	Others
NM_182487	Olfactomedin-like 2A	–1.77 ± 0.21	–2.52 ± 0.39	–2.78 ± 0.30	0.6	?	Others
NM_030792	Hypothetical protein PP1665	–1.14 ± 0.20	–2.14 ± 0.05	–2.86 ± 0.14	0.6	N/A	Others
NM_006403	Enhancer of filamentation 1	–3.05 ± 0.12	–3.57 ± 0.16	–4.14 ± 0.55	0.6	?	Others
NM_002965	S100 calcium-binding protein A9	–1.23 ± 0.35	–1.95 ± 0.50	–3.42 ± 0.51	0.9	N/A	Others
NM_018192	Leprecan-like 1	–1.59 ± 0.45	–5.45 ± 0.39	–5.69 ± 0.62	1.5	N/A	Others
CR599608	Full-length cDNA clone CS0DJ006YH17 of T cells	–2.26 ± 0.19	–2.08 ± 0.07	–2.65 ± 0.15	3.3	N/A	Others
NM_014746	Ring finger protein 144	–1.38 ± 0.06	–2.68 ± 0.35	–2.80 ± 0.50	4.6	N/A	Others
AK075399	cDNA PSEC0089 fis	–1.22 ± 0.26	–2.67 ± 0.38	–3.92 ± 0.35	4	N/A	Others
NM_014178	Syntaxin binding protein 6	–1.29 ± 0.28	–4.12 ± 0.24	–3.96 ± 0.19	4.6	N/A	Others
NM_020349	Ankyrin repeat domain 2	–1.78 ± 0.22	–2.73 ± 0.57	–5.47 ± 0.36	2.2	N/A	Others
BC011980	Clone IMAGE:3860421	–1.51 ± 0.58	–2.65 ± 0.87	–1.89 ± 0.48	3.3	N/A	Others
