Gene	Product	Function	Expression
CCNA2	Cyclin A2	Binds CDK2 and CDC2 to promote cell cycle G1-S and G2-M phase transition; aberrantly expressed in acute myeloid and promyelocytic leukemias	Repressed in both HepG2 and A549 cells
CDC34	Cell division defective 34	Modifies CDKN1B, increases the ubiquination and degradation of CDKN1B	Repressed in both HepG2 and A549 cells
ASK/DBF4	activator of S-phase kinase	Binds to and activates kinase activity of CDC7, required for the initiation of DNA replication at the G1 to S transition	Repressed in both HepG2 and A549 cells
AURKA/STK6and AURKB/STK12	Aurora A and Aurora B kinases	Maximally expressed during G2-M phases and may function in cytokinesis, up-regulated in multiple neoplasms	Repressed in both HepG2 and A549 cells
E2F5	E2F transcription factor 5	Oncogenic in primary rodent cells and is amplified in human breast tumors	Repressed in both HepG2 and A549 cells
CDK8	CDK8	Forms a complex with cyclin C that phosphorylates cyclin H (CCNH), plays a role in the regulation of transcription and as component of the RNA polymerase II holoenzyme	Repressed in both HepG2 and A549 cells
PLAGL1 andPLAGL2	Pleomorphic adenoma gene-like transcription factors	Transcription activators, regulate cell proliferation	Repressed in both HepG2 and A549 cells
LIN28B	Homologue of heterochronic protein LIN-28	Putative RNA binding protein. Mutated in hepatocellular carcinoma	Repressed in both HepG2 and A549 cells
DICER1	RNaseIII	RNase processes pre-miRNAs and dsRNA	Repressed in both HepG2 and A549 cells
GMNN	Geminin	Geminin, regulates DNA replication and proliferation, binds to the licensing factor CDT1 and negatively regulates its ubiquitination, up-regulated in breast, colon, rectal, and biliary tract neoplasms	Repressed in both HepG2 and A549 cells
NRAS	Ras GTPase	Signaling molecule, mutated in multiple tumors	Repressed in both HepG2 and A549 cells
HMGA2	Chromatin protein	Regulates proliferation. Chromosomal translocations in multiple tumors	Repressed in both HepG2 and A549 cells
CDC2	Cell division cycle 2, a CDK	Binds B-type cyclins, regulates G2 to M phase transition, promotes cell proliferation	Repressed in HepG2 cells only
CDC25A	Cell division cycle 25A, a protein tyrosine-threonine phosphatase	Binds cyclins and regulates G1-S phase transition, overexpressed in many cancers	Repressed in HepG2 cells only
CCNB1	Cyclin B1	Regulatory subunit of the CCNB1-CDC2 maturation-promoting factor complex that mediates G2-M phase transition, up-regulated in various cancers	Repressed in HepG2 cells only
