Entrez gene identifier	Gene symbol	Fold change	Comparisons	Expression
16006	Igfbp1	32.6	0 h vs. 2 h comparison	Up-regulated
100620	AK033727	14.2	0 h vs. 2 h comparison	Up-regulated
229751	LOC229751	11.9	0 h vs. 2 h comparison	Up-regulated
17750	Mt2	9.2	0 h vs. 2 h comparison	Up-regulated
14262	Fmo3	8.8	0 h vs. 2 h comparison	Up-regulated
56031	Ppie	8.5	0 h vs. 2 h comparison	Up-regulated
12227	Btg2	7.8	0 h vs. 2 h comparison	Up-regulated
22072	Prss2	7.3	0 h vs. 2 h comparison	Up-regulated
11723	Amy2	7.1	0 h vs. 2 h comparison	Up-regulated
69060	Pnlip	7.1	0 h vs. 2 h comparison	Up-regulated
16819	Lcn2	120.7	0 h vs. 16 h comparison	Up-regulated
20209	Saa2	67.3	0 h vs. 16 h comparison	Up-regulated
11808	Apoa4	23.6	0 h vs. 16 h comparison	Up-regulated
19014	Pparbp	18.1	0 h vs. 16 h comparison	Up-regulated
234199	FgI1	12.5	0 h vs. 16 h comparison	Up-regulated
22151	Tubb2	7.9	0 h vs. 16 h comparison	Up-regulated
16006	Igfbp1	4.7	0 h vs. 16 h comparison	Up-regulated
11520	Adfp	4.6	0 h vs. 16 h comparison	Up-regulated
16426	Itih3	3.6	0 h vs. 16 h comparison	Up-regulated
73710	2410129E14Rik	3.4	0 h vs. 16 h comparison	Up-regulated
20209	Saa2	83.4	0 h vs. 40 h comparison	Up-regulated
16819	Lcn2	49.6	0 h vs. 40 h comparison	Up-regulated
11808	Apoa4	21.3	0 h vs. 40 h comparison	Up-regulated
22072	Prss2	14	0 h vs. 40 h comparison	Up-regulated
16592	Fabp5	9.9	0 h vs. 40 h comparison	Up-regulated
66473	Ctrb	9.6	0 h vs. 40 h comparison	Up-regulated
19014	Pparbp	9.2	0 h vs. 40 h comparison	Up-regulated
234199	Fgl1	8.8	0 h vs. 40 h comparison	Up-regulated
	IMAGE = 5648967	8.4	0 h vs. 40 h comparison	Up-regulated
22074	Try4	7.7	0 h vs. 40 h comparison	Up-regulated
14870	Gstp1	-6.2	0 h vs. 2 h comparison	Down-regulated
14869	Gstp2	-5.5	0 h vs. 2 h comparison	Down-regulated
15495	Hsd3b4	-4.3	0 h vs. 2 h comparison	Down-regulated
20341	Selenbp1	-3.1	0 h vs. 2 h comparison	Down-regulated
13107	Cyp2f2	-2.8	0 h vs. 2 h comparison	Down-regulated
105171	Arrdc3	-2.7	0 h vs. 2 h comparison	Down-regulated
17836	Mug1	-2.7	0 h vs. 2 h comparison	Down-regulated
246277	Csad	-2.6	0 h vs. 2 h comparison	Down-regulated
103781	AK033431	-2.5	0 h vs. 2 h comparison	Down-regulated
15492	Hsd3b1	-2.4	0 h vs. 2 h comparison	Down-regulated
12350	Car3	-21	0 h vs. 16 h comparison	Down-regulated
15495	Hsd3b4	-9	0 h vs. 16 h comparison	Down-regulated
12401	Serpina6	-8.1	0 h vs. 16 h comparison	Down-regulated
14859	Gsta3	-5.8	0 h vs. 16 h comparison	Down-regulated
18478	Pah	-5.6	0 h vs. 16 h comparison	Down-regulated
66234	Sc4mol	-5	0 h vs. 16 h comparison	Down-regulated
11522	Adh1	-4.5	0 h vs. 16 h comparison	Down-regulated
110196	Fdps	-4.3	0 h vs. 16 h comparison	Down-regulated
13107	Cyp2f2	-4.2	0 h vs. 16 h comparison	Down-regulated
107869	Cth	-3.9	0 h vs. 16 h comparison	Down-regulated
12350	Car3	-15.5	0 h vs. 40 h comparison	Down-regulated
13107	Cyp2f2	-6.9	0 h vs. 40 h comparison	Down-regulated
76971	2810007J24Rik	-5.6	0 h vs. 40 h comparison	Down-regulated
15495	Hsd3b4	-4.5	0 h vs. 40 h comparison	Down-regulated
17836	Mug1	-4	0 h vs. 40 h comparison	Down-regulated
12633	Cflar	-3.7	0 h vs. 40 h comparison	Down-regulated
14081	Acsl1	-3.6	0 h vs. 40 h comparison	Down-regulated
231691	Sds	-3.6	0 h vs. 40 h comparison	Down-regulated
20341	Selenbp1	-3.4	0 h vs. 40 h comparison	Down-regulated
18703	Pigr	-3.3	0 h vs. 40 h comparison	Down-regulated
