Gene	Symbol	Probe	Fold change †
Pregnancy specific ?-1-glycoprotein 9	PSG9	38180_f_at	11.12
Pregnancy specific ?-1-glycoprotein 7	PSG7	35956_s_at	8.87
Insulin-like growth factor binding protein 2	IGFBP2	1741_s_at	5.06
Insulin-like growth factor binding protein 2	IGFBP2	40422_at	3.81
Fibrillin 2	FBN2	38012_at	4.89
Secreted frizzled-related protein 1	SFRP1	32521_at	3.83
Chemokine (C-C motif) ligand 2	CCL2	875_g_at	3.71
Chemokine (C-C motif) ligand 2	CCL2	34375_at	3.67
Fibroblast growth factor 8	FGF8	1526_i_at	2.82
Tenascin N	TNN	36354_at	2.67
Pregnancy-specific ?-1-glycoprotein 3	PSG3	40857_f_at	2.37
Tumor necrosis factor superfamily, member 12 ‡	TNFSF12	39588_at	2.25
Biglycan	BGN	38126_at	2.22
Wingless-type MMTV integration site family, member 1	WNT1	1853_at	2.18
Cholesteryl ester transfer protein, plasma	CETP	40741_at	2.08
Galanin	GAL1	35879_at	?2.02
H factor (complement)–like 1	HFL1	32249_at	?2.05
Brain-derived neurotrophic factor	BDNF	1088_at	?2.07
Brain-derived neurotrophic factor	BDNF	40023_at	?2.08
Dickkopf homologue 1	DKK1	35977_at	?2.07
Glutathione peroxidase 7	GPX7	36009_at	?2.10
Insulin-like growth factor binding protein 5	IGFBP5	1678_g_at	?2.12
Insulin-like growth factor binding protein 5	IGFBP5	41420_at	?2.28
Insulin-like growth factor binding protein 5	IGFBP5	1601_s_at	?2.66
TGF-?-induced, 68 kDa	TGFBI	1385_at	?2.14
Corneodesmosin	CDSN	39991_at	?2.16
Tissue inhibitor of metalloproteinase 3	TIMP3	1035_g_at	?2.33
Tissue inhibitor of metalloproteinase 3	TIMP3	1034_at	?2.58
A disintegrin and metalloproteinase domain 12‡	ADAM12	38770_at	?2.41
Collagen, type XV, ?1	COL15A1	38427_at	?2.45
Interleukin 7	IL7	1159_at	?2.51
Tumor necrosis factor receptor superfamily, 25‡	TNFRSF25	1210_s_at	?2.72
Secreted and transmembrane 1‡	SECTM1	41045_at	?2.88
IFN-stimulated protein, 15 kDa	ISG15	38432_at	?3.02
Bone morphogenetic protein 6	BMP6	1733_at	?3.27
Chitinase 3-like 1	CHI3L1	36197_at	?4.68
Serine proteinase inhibitor, clade B, member 2	SERPINB2	37185_at	?11.68
