UniGene ID	Entrez gene	Gene symbol	Entrez definition	EGR-1 (16 h)	Controlvirus (16 h)	EGR-1 (24 h)	Control virus (24 h)	EGR-1 (48 h)	Control virus (48 h)
Hs.159223	4665	NAB2	NGFI-A -binding protein 2 (EGR-1-binding protein 2)	4.5	?0.3	4.1	0	3.8	?0.4
Hs.107474	4664	NAB1	NGFI-A -binding protein 1 (EGR-1-binding protein 1)	2.9	0.2	3,1	0.1	3	0.8
Hs.25292	3726	JUNB	Jun B proto-oncogene	2.6	?0.2	2.8	?0.2	3.4	0.2
Hs.2780	3727	JUND	Jun D proto-oncogene	1.9	0.4	1.7	?0.1	1.2	0.7
Hs.24395	9547	CXCL14	Chemokine (C-X-C motif) ligand 14	3.8	0	8	0.2	11.9	0.2
Hs.446641	7076	TIMP-1	Tissue inhibitor of metalloproteinase-1 (erythroid-potentiating activity)	3	0	3.5	0.2	3.3	0.4
Hs.245188	7078	TIMP-3	Tissue inhibitor of metalloproteinase-3 (Sorsby fundus dystrophy)	1.3	?0.3	2.8	0.3	4.7	1.4
Hs.347713	2321	FLT1	fms-related tyrosine kinase 1	1.3	0.2	1.5	0.6	1.4	0.5
Hs.12337	3791	KDR	Kinase insert domain receptor	?0.7	0.2	?0.7	0.4	?2.6	0.8
Hs.77274	5328	PLAU	Plasminogen activator, urokinase	?2.1	?0.6	?1.3	?0.7	?0.8	?0.9
Hs.106070	1028	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	3.2	?0.3	3.8	0.2	5.8	0.4
Hs.110571	4616	GADD45B	Growth arrest– and DNA damage–inducible, ?	0.1	?1.9	1.3	?1.9	4.1	?3.3
Hs.1103	7040	TGF-B1	Transforming growth factor-?1 (Camurati-Engelmann disease)	1.9	0	1	1.1	2	?0.3
Hs.1183	1844	DUSP2	Dual-specificity phosphatase 2	4.3	0	6	0	5.8	?0.4
Hs.112058	10572	SIVA	CD27-binding (Siva) protein	1.8	0.2	2.6	?0.6	3.9	?0.1
Hs.293225	162989	DEDD2	Death effector domain containing 2	1.8	0.3	2.4	0.3	2.8	0.5
Hs.110675	348	APOE	Apolipoprotein E	7.4	?0.2	8.5	0	9.8	?0.3
Hs.208229	84634	GPR54	G protein–coupled receptor 54	7.9	?0.9	8.1	?0.8	8.4	0.2
