Genesa	Description	Accession number	Expression	Ratio (PLF/LacZ)
tzfp	Testis zinc-finger protein	NM_014383	Up	> X 20
pnkp	Polynucleotide kinase 30-phosphatase	NM_007254	Up	> X 20
mapk4	Mitogen-activated protein kinase 4	XM_008806	Up	> X 20
oas3	20–50&#3;Oligoadenylate synthetase 3	NM_006187	Up	X 10– X 20
osmr	Oncostatin m receptor	NM_003999	Up	X 10– X 20
fezl	Zygin I, isoform 1	NM_005103	Up	X 10– X 20
tssc3	Tumor-suppressing subtransferable candidate 3	NM_003311	Up	X 10– X 20
lmo6	Linn domain-only 6	NML006150	Up	X 10– X 20
nfsl	Nfsl nitrogen fixation 1	NM_021100	Up	X 5– X 10
cir	Ebfl-interacting corepressor	NM_004882	Up	X 5– X 10
btebl	Basic transcription element-binding protein 1	NM_001206	Up	X 5– X 10
netl	P65 netl proto-oncogene protein	S82401	Down	< X 0.05
cacng7	Calcium channel gamma subunit 7	AF2S8387	Down	X 0.05– X 0.1
rgs6	Regulator of g-protein signalling 6	NM_004296	Down	X 0.05– X 0.1
pbxl	Pre-B-cell leukemia transcription factor 1	NM_002585	Down	X 0.1– X 0.2
calbl	Calbindinl	NM_004929	Down	X 0.1– X 0.2
arhgdig	rho gdp dissociation inhibitor gamma	NM_001176	Down	X 0.1– X 0.2
chrna 10	Cholinergic receptor, alpha polypeptide 10	NM_020402	Down	X 0.1– X 0.2
hgc6.2	Hgc6.2 protein	NM_014356	Down	X 0.1– X 0.2
dc20	Dc20	AF311338	Down	X 0.1– X 0.2
serpinhl	Serine proteinase inhibitor, clade h, member 1	NM_004353	Down	X 0.1– X 0.2
