Gene	AFFY_ID	CX3CR1pos	CX3CR1neg	CD4	Doublenegative
E2-2	1416723_at	2178	126	388	462
Ly-49Q	1425888_at	1519	52	155	311
Ly6c	1421571_a_at	1929	168	200	587
Spib	1460407_at	1577	60	577	704
CD209d	1426183_a_at	1336			179
CD209e	1420582_at	950			187
Cyp7b1	1421074_at	838			28
Lefty1	1417638_at	503
Ptprf	1420843_at	378
Blnk	1451780_at	334			78
CD62L	1419480_at	1040	313	99	292
Ccr1	1419609_at	274			52
Siglech	1457786_at	114		71	56
Bst2	1424921_at	660	235	90	232
Il7r	1448575_at	559	106	228	259
Kdr	1449379_at	717			94
Runx2	1424704_at	419		79	142
Atp1b1	1451152_a_at	206			68
Snag1	1416359_at	1071	164	250	189
Hpse	1433930_at	1787	232	468	452
Igk-C	1427455_x_at	935	248	252	185
