SHORT_NAME	DESCRIPTION	AverageRatio3	AverageRatio3	AverageRatio3
ADIR	ATP-dependant interferon responsive	1.59	1.84	1.65
AP3M2	adaptor-related protein complex 3, mu 2 subunit	1.49	1.49	1.93
ARIH2	ariadne homolog 2 (Drosophila)	1.31	1.37	1.44
ASNS	asparagine synthetase	1.76	2.60	1.99
C7orf10	chromosome 7 open reading frame 10	1.44	1.30	1.61
CCNE1	cyclin E1	1.50	1.32	1.52
CDC5L	CDC5 cell division cycle 5-like (S. pombe)	2.32	1.76	2.19
CLIC4	chloride intracellular channel 4	1.79	2.09	1.88
CYR61	cysteine-rich, angiogenic inducer, 61	1.89	2.07	3.68
CYR61	cysteine-rich, angiogenic inducer, 61	1.95	2.14	3.76
EIF5	eukaryotic translation initiation factor 5	1.64	1.89	1.88
ETV5	ets variant gene 5 (ets-related molecule)	1.50	1.70	1.61
GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	1.64	1.38	1.33
HMGB3	high-mobility group box 3	1.83	1.62	1.60
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	1.54	2.23	2.43
HSPC125	HSPC125 protein	1.76	1.43	1.48
KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	1.42	1.36	1.77
MGC4171	hypothetical protein MGC4171	1.33	1.54	1.43
MSX1	msh homeo box homolog 1 (Drosophila)	1.70	1.53	1.50
NEUROD6	neurogenic differentiation 6	2.09	1.67	2.32
NOL5A	nucleolar protein 5A (56kDa with KKE/D repeat)	1.83	1.91	1.73
NOL5A	nucleolar protein 5A (56kDa with KKE/D repeat)	1.86	2.44	2.18
PSA	phosphoserine aminotransferase	2.08	2.22	1.98
SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	1.81	1.98	1.70
TNC	tenascin C (hexabrachion)	1.38	1.75	2.23
