Gene Symbol	Description	Accession no.	XH2228+CYGB	XH2887+CYGB	XHCC1569+CYGB
RASSF1A	Ras association domain family 1	NM_007182	1.15	0.81	0.91
3-OST-2	Heparan sulfate(glucosamine)3-O-sulfotrasferase2	NM_006043	1	1	1
3-OST-3	Heparan sulfate(glucosamine)3-O-sulfotrasferase3B1	NM_006041	0.8	0.7	0.82
CDKN2A	Cyclin-dependent kinase inhibitor 2A	NM_000077	1	1	0.9
SOCS1	Suppressor of cytokine signaling 1	NM_003745	1.33	0.9	1.39
SOCS3	Suppressor of cytokine signaling 3	NM_003955	0.6	1.25	1.1
CDH1	Cadherin1	NM_004360	0.73	0.59	0.72
CDH13	Cadherin13	NM_001257	1	1	1
APC	Adenomatosis polyposis coli	NM_000038	1.41	0.62	1.01
DAPK	Death-associated protein kinase 1	NM_004938	0.4 	1	1
TCF21	Transcription factor 21	NM_198392	1	1	1
PYCARD	PYD and CARD domain containing	NM_013258	0.72	1	0.47 
CDKN2B	Cyclin-dependent kinase inhibitor 2B	NM_004936	1	1.06	1.31
PTPN6	Protein tyrosine phosphatase, nonreceptor type 6	NM_002831	0.8	1.28	0.79
RUNX3	Runt-related transcription factor 3	NM_004350	0.75	0.84	0.7
TMEFF2	Transmembrane protein with EGF-like and two follistatin-like domain 2	NM_016192	1	1	1
TIMP3	TIMP metallopeptidase inhibitor 3	NM_000362	1	1	1
RRAD	Ras-related associatiated with diabetes	NM_004165	0.6	1.34	1
TNFRSF10C	Tumor necrosis factor receptor superfamily, member 10c	NM_003841	1.64	0.91	1.19
TNFRSF10D	Tumor necrosis factor receptor superfamily, member 10d	NM_003840	1	1	1
RARB	Retinoic acid receptor, ?	NM_000965	0.95	1.3	0.58
SYK	Spleen tyrosine kinase	NM_003177	1.43	1	1
CYGB	Cytoglobin	NM_134268	8.83 	10.33 	13.08 
GSTP1	Glutathione S-transferase pi	NM_000852	0.65	0.93	0.59
APAF1	Apoptotic peptidase activating factor 1	NM_001160	1.14	1.39	0.86
DNMT1	DNA (cytosine-5-)-methyltransferase 1	NM_001379	0.37 	0.58	0.93
RPRM	Reprimo	NM_019845	0.61	1	1
TCF2	Transcription factor 2	NM_006481	1.28	0.86	1
MGMT	O-6-methylguanine-DNA-methyltransferase	NM_002412	0.76	0.87	1.79
IGFRB3	Insulin-like growth factor binding protein 3	NM_000598	1.2	1.31	0.73
CADM1	Cell adehesion molecule 1	NM_014333	0.87	0.81	0.85
MLNR	Motlin receptor	NM_001507	1	0.81	1
ITM2B	Integral membrane protein 2B	NM_021999	1	1.13	1
ANGPTL4	Angiopoietin-like 4	NM_139314	0.86	1.58	0.94
COL1A1	Collagen, type I, ? 1	NM_000088	0.31 	0.25 	0.42 
PRPF40	PRP40 pre-mRNA processing factor 40 homologue A (S. cerevisiae)	XM_371575	0.35 	0.38 	0.36 
HDAC1	Histone deacetylase 1	NM_004964	1.25	0.87	0.85
IL6	Interleukin 6 (IFN, ? 2)	NM_000600	1	1.71	1.46
HIF1A	Hypoxia-inducible factor 1, ? subunit	NM_001530	1.1	1.39	0.81
UCP2	Uncoupling protein 2 (mitochondrial proton carrier)	NM_003355	0.3 	0.43 	0.4 
VMT	Vimentin	NM_003380	0.67	0.6	0.62
SNAIL1	Snail homologue 1 (Drosophila)	NM_005985	1	1.42	1.09
WNT4	Wingless-type mouse mammary tumor virus integration site family, member 4	NM_030761	1.53	1	1
