Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
49111_at	NA	MRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	NCI-H929	5.3
ABAT	16p13.2	4-aminobutyrate aminotransferase	U266	8.0
ADAM19	5q32-q33	a disintegrin and metalloproteinase domain 19 (meltrin beta)	NCI-H929	7.3
ADAMDEC1	8p21.2	ADAM-like, decysin 1	NCI-H929	15.4
AGRN	1p36.33	agrin	NCI-H929	9.0
AIRE	21q22.3	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	NCI-H929	13.0
AKAP12	6q24-q25	A kinase (PRKA) anchor protein (gravin) 12	NCI-H929	6.4
ALCAM	3q13.1	activated leukocyte cell adhesion molecule	NCI-H929	34.4
ALDH2	12q24.2	aldehyde dehydrogenase 2 family (mitochondrial)	NCI-H929	6.9
APOBEC3F	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	MM1	5.8
APOBEC3G	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	MM1, NCI-H929	9.1, 13.4
APOC1	19q13.2	apolipoprotein C-I	NCI-H929	10.1
APOE	19q13.2	apolipoprotein E	U266, NCI-H929	35.0, 58.5
ARL7	2q37.2	ADP-ribosylation factor-like 7	MM1	7.3
ARNT2	15q24	aryl-hydrocarbon receptor nuclear translocator 2	NCI-H929	10.1
ATF7IP2	16p13.2	activating transcription factor 7 interacting protein 2	MM1	7.4
ATP13A2	1p36	ATPase type 13A2	MM1	12.9
BCL6	3q27	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NCI-H929	21.4
BF	6p21.3	B-factor, properdin	U266	10.8
BIRC3	11q22	baculoviral IAP repeat-containing 3	MM1, NCI-H929	4.7, 4.6
BLK	8p23-p22	B lymphoid tyrosine kinase	U266	30.9
BMP2K	4q21.21	BMP2 inducible kinase	MM1	11.6
BTN2A2	6p22.1	butyrophilin, subfamily 2, member A2	NCI-H929	4.3
BUB1	2q14	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	MM1	5.6
C10orf3	10q23.33	chromosome 10 open reading frame 3	MM1	4.6
C19orf36	19p13.3	chromosome 19 open reading frame 36	U266, NCI-H929	5.8, 18.2
