Symbol	Gene Name	combined p value	Expression
Anxa7	Annexin A7	0.00E+00	Up-regulated transcripts
Atp6v0c	ATPase, H+ transporting, V0 subunit C	0.00E+00	Up-regulated transcripts
Bzw1	Basic leucine zipper and W2 domains 1	0.00E+00	Up-regulated transcripts
Eif2s2	Eukaryotic translation initiation factor 2, subunit 2 (beta)	0.00E+00	Up-regulated transcripts
Mod1	Malic enzyme, supernatant	0.00E+00	Up-regulated transcripts
Pitpn	Phosphatidylinositol transfer protein	0.00E+00	Up-regulated transcripts
Tgfb1i4	Transforming growth factor beta 1 induced transcript 4	0.00E+00	Up-regulated transcripts
Ywhag	3-monooxgenase/tryptophan 5-monooxgenase activation protein, gamma polypeptide	0.00E+00	Up-regulated transcripts
Mcl1	Myeloid cell leukemia sequence 1	3.33E-16	Up-regulated transcripts
Ipo7	Importin 7	1.11E-15	Up-regulated transcripts
Ppm1a	Protein phosphatase 1A, magnesium dependent, alpha isoform	2.11E-15	Up-regulated transcripts
Ptp4a2	Protein tyrosine phosphatase 4a2	2.89E-15	Up-regulated transcripts
Star	Steroidogenic acute regulatory protein	1.23E-14	Up-regulated transcripts
Rdx	Radixin	1.74E-14	Up-regulated transcripts
Hs3st1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1	2.43E-14	Up-regulated transcripts
Ghitm	Growth hormone inducible transmembrane protein	2.62E-14	Up-regulated transcripts
Serpinb6a	Serine (or cysteine) proteinase inhibitor, clade B, member 6a	1.33E-13	Up-regulated transcripts
Pvr	Poliovirus receptor	3.32E-13	Up-regulated transcripts
Snapc1	Small nuclear RNA activating complex, polypeptide 1	3.46E-13	Up-regulated transcripts
Cltc	Clathrin, heavy polypeptide (Hc)	3.90E-13	Up-regulated transcripts
Nr5a1	Nuclear receptor subfamily 5, group A, member 1	5.45E-13	Up-regulated transcripts
Esd	Esterase D/formylglutathione hydrolase	1.23E-12	Up-regulated transcripts
Hspd1	Heat shock protein 1 (chaperonin)	1.35E-12	Up-regulated transcripts
Pitrm1	Pitrilysin metalloprotease 1	1.56E-12	Up-regulated transcripts
Morf4l2	Mortality factor 4 like 2	2.21E-12	Up-regulated transcripts
Pcsk5	Proprotein convertase subtilisin/kexin type 5	2.60E-12	Up-regulated transcripts
Scarb1	Scavenger receptor class B, member 1	3.45E-12	Up-regulated transcripts
Rtn4	Reticulon 4	5.24E-12	Up-regulated transcripts
Psmc2	Proteasome (prosome, macropain) 26S subunit, ATPase 2	6.46E-12	Up-regulated transcripts
Akr1a4	Aldo-keto reductase family 1, member A4 (aldehyde reductase)	9.62E-12	Up-regulated transcripts
Acsl4	Acyl-CoA synthetase long-chain family member 4	1.31E-11	Up-regulated transcripts
Calu	Calumenin	1.38E-11	Up-regulated transcripts
Sfmbt1	Scm-like with four mbt domains 1	1.75E-11	Up-regulated transcripts
Pdcd6ip	Programmed cell death 6 interacting protein	3.89E-11	Up-regulated transcripts
Sars1	Seryl-aminoacyl-tRNA synthetase 1	3.94E-11	Up-regulated transcripts
Pttg1ip	Pituitary tumor-transforming 1 interacting protein	7.97E-11	Up-regulated transcripts
Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	1.01E-10	Up-regulated transcripts
Prkcd	Protein kinase C, delta	1.24E-10	Up-regulated transcripts
Serpinb6c	Serine (or cysteine) proteinase inhibitor, clade B, member 6c	1.36E-10	Up-regulated transcripts
Atp6v1e1	ATPase, H+ transporting, V1 subunit E isoform 1	1.46E-10	Up-regulated transcripts
Fads1	Fatty acid desaturase 1	1.59E-10	Up-regulated transcripts
Lrp10	Low-density lipoprotein receptor-related protein 10	1.61E-10	Up-regulated transcripts
Asah1	N-acylsphingosine amidohydrolase 1	1.77E-10	Up-regulated transcripts
Ssh2	Heat shock protein 1, alpha	2.00E-10	Up-regulated transcripts
Ostf1	Osteoclast stimulating factor 1	2.11E-10	Up-regulated transcripts
Tex292	Testis expressed gene 292	2.71E-10	Up-regulated transcripts
Ctsb	Cathepsin B	3.29E-10	Up-regulated transcripts
Ndufb5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5	3.31E-10	Up-regulated transcripts
Myo1e	Myosin IE	3.47E-10	Up-regulated transcripts
Myo10	Myosin X	5.17E-10	Up-regulated transcripts
Gnpnat1	Glucosamine-phosphate N-acetyltransferase 1	5.45E-10	Up-regulated transcripts
Pcyox1	Prenylcysteine oxidase 1	8.66E-10	Up-regulated transcripts
Golga4	Golgi autoantigen, golgin subfamily a, 4	1.31E-09	Up-regulated transcripts
Atp6v1h	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	1.31E-09	Up-regulated transcripts
Tex2	Testis expressed gene 2	1.83E-09	Up-regulated transcripts
Klf4	Kruppel-like factor 4 (gut)	1.96E-09	Up-regulated transcripts
Pnpla2	Patatin-like phospholipase domain containing 2	2.05E-09	Up-regulated transcripts
Ctsl	Cathepsin L	2.20E-09	Up-regulated transcripts
Psmb7	Proteasome (prosome, macropain) subunit, beta type 7	2.54E-09	Up-regulated transcripts
Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	2.79E-09	Up-regulated transcripts
Cpeb4	Cytoplasmic polyadenylation element binding protein 4	2.98E-09	Up-regulated transcripts
Ppap2b	Phosphatidic acid phosphatase type 2B	3.50E-09	Up-regulated transcripts
Ctsz	Cathepsin Z	3.82E-09	Up-regulated transcripts
Clk1	CDC-like kinase 1	3.93E-09	Up-regulated transcripts
Pak1ip1	PAK1 interacting protein 1	4.41E-09	Up-regulated transcripts
Vapa	Vesicle-associated membrane protein, associated protein A	6.25E-09	Up-regulated transcripts
Uqcrb	Ubiquinol-cytochrome c reductase binding protein	6.59E-09	Up-regulated transcripts
Scd2	Stearoyl-Coenzyme A desaturase 2	6.88E-09	Up-regulated transcripts
Zwint	ZW10 interactor	7.75E-09	Up-regulated transcripts
Ftl1	Ferritin light chain 1	8.39E-09	Up-regulated transcripts
Ucp2	Uncoupling protein 2, mitochondrial	9.09E-09	Up-regulated transcripts
Abhd2	Abhydrolase domain containing 2	9.21E-09	Up-regulated transcripts
Tfrc	Transferrin receptor	1.09E-08	Up-regulated transcripts
Rabl3	RAB, member of RAS oncogene family-like 3	1.09E-08	Up-regulated transcripts
Supt5h	Suppressor of Ty 5 homolog (S. cerevisiae)	1.16E-08	Up-regulated transcripts
Neu1	Neuraminidase 1	1.25E-08	Up-regulated transcripts
Ifrg15	Interferon alpha responsive gene	1.27E-08	Up-regulated transcripts
Drctnnb1a	Down-regulated by Ctnnb1, a	1.39E-08	Up-regulated transcripts
Man2a1	Mannosidase 2, alpha 1	1.57E-08	Up-regulated transcripts
Pyp	Pyrophosphatase	1.73E-08	Up-regulated transcripts
Slc25a30	Solute carrier family 25, member 30	2.01E-08	Up-regulated transcripts
Alas1	Aminolevulinic acid synthase 1	2.06E-08	Up-regulated transcripts
