Probe	Symbol	Description	PAM Recurrent Score	Nonrecurrent Score	SAM Score	Fold Change
207078_at	MED6	Mediator of RNA polymerase II transcription, subunit 6 homologue (yeast)	0.1513	0.0706	4.3346	2.0134
216247_at	RPS20	Ribosomal protein S20	0.1298	?0.0606	4.6127	1.7392
215597_x_at	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	0.1008	?0.047	4.495	1.6697
218221_at	ARNT	Aryl hydrocarbon receptor nuclear translocator	0.0865	?0.0404	5.0695	1.498
207971_s_at	KIAA0582		0.0518	?0.0242	3.9931	1.7469
202890_at	MAP7	Microtubule-associated protein 7	0.0246	?0.0115	4.0726	1.593
204712_at	WIF1	WNT inhibitory factor 1	0.007	?0.0032	4.0079	1.6129
201088_at	KPNA2	Karyopherin ?2 (RAG cohort 1, importin ?1)	?0.2943	0.1373	?4.1004	0.2438
209803_s_at	PHLDA2	Pleckstrin homology-like domain, family A, member 2	?0.2621	0.1223	?4.1166	0.3162
204026_s_at	ZWINT	ZW10 interactor	?0.2543	0.1187	?4.0063	0.2377
221505_at	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	?0.2307	0.1077	?3.9218	0.2688
202673_at	DPM1	Dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	?0.2262	0.1056	?4.2673	0.4208
222231_s_at	PRO1855		?0.2229	0.104	?4.4370	0.4575
201726_at	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)–like 1 (Hu antigen R)	?0.196	0.0915	?3.9630	0.3919
218474_s_at	KCTD5	Potassium channel tetramerization domain containing 5	?0.1723	0.0804	?4.1733	0.4735
205381_at	LRRC17	Leucine-rich repeat containing 17	?0.1686	0.0787	?3.4661	0.2472
205436_s_at	H2AFX	H2A histone family, member X	?0.1681	0.0785	?3.8173	0.3566
201698_s_at	SFRS9	Splicing factor, arginine/serine-rich 9	?0.1514	0.0706	?4.4666	0.5692
222077_s_at	RACGAP1	Rac GTPase-activating protein 1	?0.1475	0.0688	?3.6721	0.3089
203324_s_at	CAV2	Caveolin 2	?0.1466	0.0684	?3.6064	0.2951
209025_s_at	SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	?0.1458	0.068	?3.8775	0.4286
201528_at	RPA1	Replication protein A1, 70 kDa	?0.1307	0.061	?3.8468	0.4596
221493_at	TSPYL1	TSPY-like 1	?0.1208	0.0564	?3.5656	0.38
201760_s_at	WSB2	WD repeat and SOCS box-containing 2	?0.1109	0.0517	?3.5264	0.7506
209357_at	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxyl-terminal domain, 2	?0.1104	0.0515	?3.4687	0.3005
208652_at	PPP2CA	Protein phosphatase 2 (formerly 2A), catalytic subunit, ? isoform	?0.1086	0.0507	?3.8396	0.478
202483_s_at	RANBP1	RAN-binding protein 1	?0.108	0.0504	?3.6861	0.4471
201317_s_at	PSMA2	Proteasome (prosome, macropain) subunit, ? type, 2	?0.1069	0.0499	?3.9249	0.5264
202362_at	RAP1A	RAP1A, member of RAS oncogene family	?0.1065	0.0497	?3.8037	0.4907
201225_s_at	SRRM1	Serine/arginine repetitive matrix 1	?0.0955	0.0446	?3.6170	0.4707
212563_at	BOP1	Block of proliferation 1	?0.0905	0.0422	?4.0417	0.5373
219492_at	CHIC2	Cysteine-rich hydrophobic domain 2	?0.0887	0.0414	?3.5563	0.4294
209974_s_at	BUB3	Budding uninhibited by benzimidazoles 3 homologue (yeast)	?0.085	0.0397	?3.6481	0.4414
201277_s_at	HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B	?0.0835	0.039	?3.7468	0.5025
202705_at	CCNB2	Cyclin B2	?0.0795	0.0371	?3.4869	0.3802
