Gene	Description	Molecular Function	Biological Process	Expression
CDCA8	Cell division cycle associated 8	Unknown	Cytokinesis	Higher expression in sensitive lines
PPAT	Phosphoribosyl pyrophosphate amidotransferase	Magnesium ion binding	Nucleoside metabolism	Higher expression in sensitive lines
APRIN	Androgen-induced proliferation inhibitor	DNA binding	Cell proliferation, negative regulation of	Higher expression in sensitive lines
KCNJ14	Potassium inwardly-rectifying channel, subfamily J, member 14	Inward rectifier potassium channel	Ion transport	Higher expression in sensitive lines
BUB1	Budding uninhibited by benzimidazoles 1 homologue (yeast)	ATP binding	Cell cycle	Higher expression in sensitive lines
MYO7A	Myosin VIIA	ATP binding	Perception	Higher expression in sensitive lines
EBNA1BP2	EBNA1 binding protein 2	Unknown	Ribosome biogenesis	Higher expression in sensitive lines
DUSP4	Dual-specificity phosphatase 4	Hydrolase activity	Cell cycle regulation	Higher expression in sensitive lines
GNAT1	Guanine nucleotide binding protein (G protein)	GTP binding	Signal transduction	Higher expression in sensitive lines
PHOX2B	Paired-like homeobox 2b	Transcription factor activity	Regulation of transcription	Higher expression in sensitive lines
TRIM29	Tripartite motif containing 29	Transcription factor activity	Transcription from RNA polymerase II promoter	Higher expression in sensitive lines
CRSP6	Cofactor required for Sp1 transcriptional activation, subunit 6, 77 kDa	RNA polymerase II transcription mediator activity	Androgen receptor signaling pathway	Higher expression in sensitive lines
USP47	Ubiquitin-specific protease 47	Ubiquitin thiolesterase activity	Ubiquitin cycle	Higher expression in sensitive lines
PRPSAP1		Phosphoribosyl pyrophosphate synthetase-associated protein 1	Nucleotide biosynthesis	Lower expression in sensitive lines
RASA2	RAS p21 protein activator 2	Ras GTPase activator activity	Intracellular signaling cascade	Lower expression in sensitive lines
RBP1	Retinol binding protein 1, cellular	Retinol binding	Vitamin A metabolism	Lower expression in sensitive lines
CD36	CD36 antigen (collagen type I receptor, thrombospondin receptor)	Protein binding	Cell adhesion	Lower expression in sensitive lines
DLG5	Discs, large homologue 5 (Drosophila)	Protein binding	Cell proliferation, negative regulation of	Lower expression in sensitive lines
VSNL1	Visinin-like 1	Calcium ion binding	Unknown	Lower expression in sensitive lines
NEFL	Neurofilament, light polypeptide, 68 kDa	Protein binding	Unknown	Lower expression in sensitive lines
BAI3	Brain-specific angiogenesis inhibitor 3	Receptor activity	Signal transduction	Lower expression in sensitive lines
PNKP	Polynucleotide kinase 3?-phosphatase	Hydrolase activity	DNA repair	Lower expression in sensitive lines
LSM4	LSM4 homologue	RNA binding	RNA splicing	Lower expression in sensitive lines
SIX4	Sine oculis homeobox homologue 4	Transcription factor activity	Transcription regulation	Lower expression in sensitive lines
PSEN2	Presenilin 2 (Alzheimer disease 4)	Protein binding	Apoptotic program	Lower expression in sensitive lines
CDK11	Cell division cycle 2-like 6 (CDK8-like)	Protein tyrosine kinase activity	Protein amino acid phosphorylation	Lower expression in sensitive lines
PLG	Plasminogen	Peptidase activity	Blood coagulation	Lower expression in sensitive lines
TNFSF9	Tumor necrosis factor (ligand) superfamily, member 9	Tumor necrosis factor receptor binding	Apoptosis	Lower expression in sensitive lines
SAS	Sarcoma amplified sequence	Unknown	Cell proliferation, positive regulation of	Lower expression in sensitive lines
TCF19	Transcription factor 19 (SC1)	Transcription factor activity	Cell proliferation	Lower expression in sensitive lines
CDY1	Chromodomain protein, Y-linked, 1	Chromatin binding	Spermatogenesis	Lower expression in sensitive lines
SETMAR	SET domain and mariner transposase fusion gene	Zinc ion binding	DNA transposition	Lower expression in sensitive lines
TFF2	Trefoil factor 2 (spasmolytic protein 1)	Unknown	Digestion	Lower expression in sensitive lines
RHOB	Ras homologue gene family, member B	Protein binding	Cell cycle, negative regulation of	Lower expression in sensitive lines
OR5I1	Olfactory receptor, family 5, subfamily I, member 1	Receptor activity	Signal transduction	Lower expression in sensitive lines
CREB5	Cyclic AMP–responsive element binding protein 5	DNA binding	Transcription, positive regulation of	Lower expression in sensitive lines
RELB	V-rel reticuloendotheliosis viral oncogene homologue B	Protein binding	Transcription regulation	Lower expression in sensitive lines
