Gene symbol	Gene name	MDA468 inductiona	DU99 inductiona	MDA468 bDU99	CpG island (#)c
CAV1	Caveolin 1	3.5	1.1	0.2	Y (148)
CDC25A		4.6	1.2	0.8	Y (110)
CLC	Cardiotrophin-like cytokine	2.5	1.3	1	Y (105)
COPEB	Core promoter element binding protein	6.4	1	0.9	Y (132)
CTNNA1	-Catenin	3.2	1	0.7	Y (104)
DKK1	Dickkopf homolog 1	10.2	1	0.9	Y (64)
DTR	Diptheria toxin receptor	22	1.1	1.9	Y (64)
DUSP1	Dual specificity phosphatase 1	5.6	1	1.1	Y (194)
EPHA2	Ephrin receptor	3.3	1.4	0.6	Y (118)
ETV5	Ets variant gene 5	5	1	1	Y (139)
F3	Coagulation factor III	4.3	1.2	0.3	Y (102)
FOSL1	Fos-like antigen 1	15.4	1	1.3	Y (154)
FYN	Fyn oncogene	12.7	0.9	1.1	Y (95)
GADD45A	Growth arrest and DNA damage 45A	6	0.9	3.8	Y (150)
GJB3	Connexin 31	3.3	1.2	0.6	Y (26)
INHBA	Inhibin beta A	7.3	1.2	2	Y (26)
IRS2	Insulin receptor substrate 2	4.2	0.8	2.3	Y (548)
KRT17	Keratin 17	3.1	1.1	0.3	N
KRTHB1	Keratin 1	3.3	1.1	1	N (34)
MAFF	v-maf	4.5	0.8	2.6	Y (139,62)
MYO1B	Myosin 1B	3.1	1	0.6	N
PLAB	Prostate differentiation factor	46	1.3	0.4	Y (20,74)
PTPRG	Protein tyrosine phosphatase, receptor type G	5.7	0.6	1.5	Y (266)
PTRF	Polymerase 1 and transcript release factor	3.9	1	0.6	Y (156,97)
SERPINB8	Serine protease inhibitor B8	4.9	1.1	1.1	Y (48)
SLC3A2	Solute carrier family 3	3.7	1.1	1.3	Y (47,81)
SLC7A5	Solute carrier family 5	3	1.2	0.4	Y (105)
SLC9A1	Solute carrier family 9	5.4	1	0.5	Y (40)
SMURF2	E3 ubiquitin ligase	3.4	1	1.3	Y (114)
SPHK1	Sphingosine kinase 1	3.4	1	0.5	Y (376)
STK17A	Serine/threonine kinase 17A	2.6	1	0.5	Y (80)
THBS1	Thrombospondin 1	3	1.2	0.2	Y (109)
TNFRSF10B	TNF receptor 10B	2.7	1	0.3	Y (109)
TUBB	Tubulin beta	3.6	0.8	2.2	Y (108)
UPP1	Uridine phosphorylase	11	1.1	1.9	Y (31,104)
ZYX	Zyxin	3.4	1.2	0.9	Y (156)
