Official Symbol	Accession number and gene name	fold change in SPN vs. normal pancreas	p value
WIF1	NM_007191       WNT inhibitory factor 1	56.92	1.22E-08
EDN3	NM_000114       Endothelin 3	52.2	9.98E-09
HEY1	NM_012258       Hairy/enhancer-of-split related with YRPW motif 1	47.27	3.44E-07
RGS13	NM_002927       Regulator of G-protein signaling 13	43.01	3.23E-06
TBX3	NM_016569       T-box 3 (ulnar mammary syndrome)	35.09	3.38E-08
RIMS3	NM_014747       Regulating synaptic membrane exocytosis 3	33.36	1.94E-07
SP5	NM_001003845    Sp5 transcription factor	31.56	3.00E-07
SLC7A8	NM_182728       Solute carrier family 7  member 8	29.12	2.87E-07
RIS1	NM_015444       Transmembrane protein 158	25.55	1.79E-06
ENPP2	NM_006209       Ectonucleotide pyrophosphatase/phosphodiesterase 2	24.92	0.000352
HSDL1	NM_031463       Hydroxysteroid dehydrogenase like 1	24.2	1.17E-06
TSPAN5	NM_005723       Tetraspanin 5	24.19	2.84E-06
SMPX	NM_014332       Small muscle protein, X-linked	23.32	0.00023
SCML1	NM_006746       Sex comb on midleg-like 1 (Drosophila)	22.91	1.44E-05
CADPS	NM_003716       Ca2+-dependent secretion activator	21.64	2.03E-07
SLC40A1	NM_014585       Solute carrier family 40, member 1	21.48	2.95E-08
C20orf103	NM_012261       Chromosome 20 open reading frame 103	18.68	8.59E-06
RASL11B	NM_023940       RAS-like, family 11, member B	18.67	6.94E-07
FZD10	NM_007197       Frizzled homolog 10 (Drosophila)	18.42	6.52E-05
CRLS1	NM_001127458   cardiolipin synthase 1	18.32	7.82E-06
OSBPL6	NM_145739       Oxysterol binding protein-like 6	17.43	1.35E-06
ENPP3	NM_005021       Ectonucleotide pyrophosphatase/phosphodiesterase 3	17.39	0.000267
NPTX2	NM_002523       Neuronal pentraxin II	15.37	3.65E-05
PCDH7	NM_032457       Protocadherin 7	14.72	5.49E-06
TNFSF7	NM_001252       CD70 molecule	14.38	3.79E-06
