Gene description	Unigene	Gene symbol	PTX alone/control Fold change	P-value	SP+PTX/PTX alone Fold change	P-value	SP alone/control Fold change	P-value
Interleukin-6 (interferon, beta 2)	Hs.512234	IL6	3.57	<0.001	0.3	<0.001	NSa	NSb
Transgelin	Hs.503998	TAGLN	1.79	<0.001	0.47	<0.001	NS	NS
Retinoic acid induced 3	Hs.546325	RAI3	1.73	<0.001	0.67	<0.001	NS	NS
Keratin 14	Hs.355214	KRT14	1.71	<0.001	0.66	<0.001	NS	NS
HGP binding protein 17	Hs.1690	HBP17	1.67	<0.001	0.5	<0.001	NS	NS
Laminin alpha 3	Hs.436367	LAMA3	1.52	<0.001	0.56	<0.001	NS	NS
Flotillin 1	Hs.179986	FLOT1	1.48	<0.001	0.78	<0.001	NS	NS
Histone 2, H2BE	Hs.2178	HIST2H2BE	1.45	<0.001	0.75	<0.001	NS	NS
Myeloma overexpressed gene	Hs.523848	MYEOV	1.42	<0.001	0.64	<0.001	NS	NS
Kinesin 2 60/70 kDa	Hs.20107	KNS2	1.41	<0.001	0.68	<0.001	NS	NS
Metallothionein 1F	Hs.513626	MT1F	1.36	<0.001	0.8	<0.001	NS	NS
Transducin-like enhancer of split 1	Hs.197320	TLE1	1.36	<0.001	0.75	<0.001	NS	NS
Epithelial membrane protein 1	Hs.436298	EMP1	1.34	<0.001	0.74	<0.001	NS	NS
Cannabinoid receptor 2	Hs.73037	CNR2	1.32	<0.001	0.76	<0.001	NS	NS
Intercellular adhesion molecule 2	Hs.431436	ICAM2	0.61	<0.001	1.34	<0.001	NS	NS
Homeobox A4	Hs.77637	HOXA4	0.68	<0.001	1.42	<0.001	NS	NS
Actin binding LIM protein 1	Hs.438236	ABLIM1	0.7	<0.001	1.41	<0.001	NS	<0.001
Telomeric repeat binding protein	Hs.442707	TERF1	0.72	<0.001	1.49	<0.001	NS	NS
Delta sleep inducing peptide	Hs.522074	DSIPI	0.76	<0.001	1.38	<0.001	NS	NS
Calcium and integrin binding 1	Hs.135471	CIB1	0.79	<0.001	1.45	<0.001	NS	NS
Annexin A3	Hs.480042	ANXA3	1.52	<0.001	0.54	<0.001	0.63	<0.001
Serum-inducing kinase	Hs.398157	SNK	1.43	<0.001	0.43	<0.001	0.62	<0.001
Procollagen-lysine oxoglutarate dioxygenase	Hs.477866	PLOD2	1.34	<0.001	0.6	<0.001	0.79	<0.001
