Gene symbol	Description (NCBI gene)	N-fold	P	Functional Category
SLC1A3	Solute carrier family 1 (glial high-affinity glutamate transporter), member 3	6.8†	<.001	Antioxidative
SESN1	Sestrin 1	4.9	0.002	Antioxidative
ADORA3	Adenosine A3 receptor	4.3	0.009	Antioxidative
GCLC	Glutamate-cysteine ligase, catalytic subunit	2.6	0.012	Antioxidative
GLO1	Glyoxalase I	2.3	0.026	Antioxidative
AKR1B1	Aldo-keto reductase family 1, member B1 (aldose reductase)	2.3	0.026	Antioxidative
FPR1	Formyl peptide receptor 1	3	0.004	Migration/chemotaxis
KIAA0551	Traf2 and NCK interacting kinase	2.9	0.024	Migration/chemotaxis
AQP9	Aquaporin-9	2.5†	0.012	Migration/chemotaxis
MTSS1	Metastasis suppressor 1	2.4	<.001	Migration/chemotaxis
MERTK	c-mer proto-oncogene tyrosine kinase	4.9	0.004	Phagocytosis
FLJ10462	Hypothetical protein FLJ10462 (WIPI49)	4.5†	0.003	Phagocytosis
MFGE8	Milk fat globule-EGF factor 8 protein	4.0†	0.008	Phagocytosis
C1QA	Complement component 1, q subcomponent, alpha polypeptide	2.5	0.012	Phagocytosis
MRC1	Mannose receptor, C type 1	2.4	0.027	Phagocytosis
FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	2.3	0.039	Phagocytosis
CD1D	CD1D antigen, d polypeptide	2.7	0.001	Genes with known anti-inflammatory functions
LILRB1	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	2.3	0.046	Genes with known anti-inflammatory functions
IL1R2	Interleukin 1 receptor, type II	28.4†	0.009	Genes with known anti-inflammatory functions
CD163	CD163 antigen	4.5	0.001	Genes with known anti-inflammatory functions
DSIPI	Delta sleep inducing peptide, immunoreactor	4.1†	0.009	Genes with known anti-inflammatory functions
FCAR	Fc fragment of IgA, receptor for	3.4†	0.012	Genes with known anti-inflammatory functions
IL10	Interleukin 10	2.3	0.019	Genes with known anti-inflammatory functions
