AffyID	AverageRatio SCARKO/Contr	Gene Symbol
1419604_at	4.28	Zbp1
1422308_a_at	4.01	Lgals7
1450779_at	3.94	Fabp7
1448852_at	3.46	Rgn
1451949_at	3.42	---
1428359_s_at	2.79	1810010M01Rik
1426911_at	2.44	Dsc2
1427537_at	2.25	---
1439476_at	2.18	Dsg2
1450194_a_at	2.18	Myb
1418713_at	2.02	Pcbd
1418922_at	2.01	Necl1-pending
1452284_at	1.89	Ptprz1
1423407_a_at	1.85	Fbln2
1421151_a_at	1.80	Epha2
1416718_at	1.79	Bcan
1449450_at	1.78	Ptges
1439042_at	1.77	Adcyap1r1
1449943_at	1.76	Lfng
1449545_at	1.76	Fgf18
1451924_a_at	1.75	Edn1
1421671_at	1.66	Hsd17b3
1436713_s_at	1.65	Gtl2
1423851_a_at	1.65	9430059P22Rik
1418932_at	1.64	Nfil3
1450276_a_at	1.62	Scin
1418933_at	1.61	Slc1a6
1425092_at	1.60	Cdh10
1455844_at	1.59	Cables1
1421299_a_at	1.59	Lef1
1436212_at	1.58	AI661017
1449374_at	1.58	Pipox
1427019_at	1.57	Ptprz1
1426951_at	1.57	Crim1
1432329_a_at	1.56	Matk
1448752_at	1.54	Car2
1422477_at	1.53	Cables1
1434606_at	1.53	Erbb3
1454862_at	1.52	C820004H04Rik
1448696_at	1.52	Heph
1424133_at	1.51	6530411B15Rik
1418572_x_at	1.51	Tnfrsf12a
1427040_at	1.51	Kdt1
1437434_a_at	1.51	5031439A09Rik
1418571_at	1.49	Tnfrsf12a
1417814_at	1.48	Pla2g5
1417282_at	1.48	Mmp23
1451418_a_at	1.48	Ssb4-pending
1416635_at	1.48	0610010C24Rik
1448871_at	1.47	Mapk13
1448818_at	1.47	Wnt5a
1418365_at	1.47	Ctsh
1417281_a_at	1.47	Mmp23
1424376_at	1.46	Cdc42ep1
1436965_at	1.46	Emilin5
1419152_at	1.46	2810417H13Rik
1419080_at	1.46	Gdnf
1449131_s_at	1.46	Cd1d1
1423824_at	1.45	5031439A09Rik
1426368_at	1.45	Rin2
1437308_s_at	1.45	F2r
1450852_s_at	1.45	F2r
1451860_a_at	1.44	Trim30
1448845_at	1.44	AI851155
1448026_at	1.43	---
1417952_at	1.43	Cyp2j6
1425245_a_at	1.43	Rgs11
1454897_at	1.43	6330509M05Rik
1451348_at	1.42	R75183
1415904_at	1.42	Lpl
1426594_at	1.42	6030440G05Rik
1422919_at	1.40	Hrasls
1416023_at	1.40	Fabp3
1416039_x_at	1.40	Cyr61
1448895_a_at	1.40	Catna2
1427321_s_at	1.39	Cxadr
1426331_a_at	1.39	6030440G05Rik
1451596_a_at	1.39	Sphk1
1448213_at	1.39	Anxa1
1438980_x_at	1.38	4732466D17Rik
1420643_at	1.38	Lfng
1420401_a_at	1.38	Ramp3
1450085_at	1.38	Angptl2
1448694_at	1.38	Jun
1418049_at	1.38	Ltbp3
1431056_a_at	1.38	Lpl
1426263_at	1.37	Tsll2-pending
1417409_at	1.37	Jun
1422293_a_at	1.37	4933402K10Rik
1423488_at	1.37	Mmd
1460258_at	1.36	Lect1
1424373_at	1.36	1200004E24Rik
1424900_at	1.36	Slc29a4
1420637_at	1.36	Prps2
1416598_at	1.36	Gli5
1433671_at	1.36	A130022J15Rik
1455731_at	1.35	Slc29a3
1417605_s_at	1.35	Camk1
1417061_at	1.34	Slc40a1
1428083_at	1.34	2310043N10Rik
1450767_at	1.34	Nedd9
1420955_at	1.34	Vsnl1
1450380_at	1.34	Epdm2-pending
1452492_a_at	1.33	Slc37a2
1423489_at	1.33	Mmd
1448566_at	1.33	Slc40a1
1435537_at	1.32	Ptprd
1422818_at	1.32	Nedd9
1417667_a_at	1.32	Pter
1422788_at	1.32	Eeg1-pending
1421020_at	1.31	Ranbp17
1416629_at	1.31	Slc1a7
1426633_s_at	1.31	---
1422520_at	1.31	Nef3
1425567_a_at	1.31	Anxa5
1452381_at	1.31	---
1438169_a_at	1.31	6030440G05Rik
1448433_a_at	1.31	Pcolce
1421002_at	1.31	Angptl2
1437132_x_at	1.30	Nedd9
1450810_at	1.30	Fshr
1455090_at	1.30	Angptl2
1416700_at	1.30	Arhe
1426632_at	1.29	---
1416008_at	1.29	Satb1
1417611_at	1.29	Pr1
1423825_at	1.29	5031439A09Rik
1438251_x_at	1.29	Prss11
1416749_at	1.29	Prss11
1450063_at	1.29	Fmn2
1423062_at	1.29	Igfbp3
1418252_at	1.29	Padi2
1449314_at	1.29	Zfpm2
1424433_at	1.28	2310050L06Rik
1453283_at	1.27	Pgm1
1435259_s_at	1.27	---
1452714_at	1.27	1200003E16Rik
1420872_at	1.27	Gucy1b3
1423753_at	1.27	Bambi
1449370_at	1.27	Sox4
1429052_at	1.27	1110002J03Rik
1438133_a_at	1.27	Cyr61
1416505_at	1.27	Nr4a1
1448660_at	1.27	Arhgdig
1417781_at	1.27	2900019C14Rik
1418492_at	1.27	Prdc-pending
1436791_at	1.27	Wnt5a
1416759_at	1.26	Nical
1451604_a_at	1.26	Acvrl1
1419302_at	1.26	Heyl
1427405_s_at	1.26	D6Ertd32e
1424989_at	1.26	D730049H07Rik
1422631_at	1.26	Ahr
1417435_at	1.26	Large
1452123_s_at	1.25	6030440G05Rik
1451031_at	1.25	Sfrp4
1450652_at	1.25	Ctsk
1422852_at	1.25	Kip2-pending
1424596_s_at	1.25	Lmcd1
1417883_at	1.25	Gstt2
1448318_at	1.25	Adfp
1424594_at	1.25	Lgals7
1449011_at	1.25	Slc12a7
1427357_at	1.25	Cda
1451461_a_at	1.24	Aldo3
1427048_at	1.24	Smo
1428669_at	1.23	Bmyc
1416554_at	1.23	Pdlim1
1416531_at	1.23	Gsto1
1425213_at	1.23	6430514L14Rik
1437155_a_at	1.23	2310058J06Rik
1417817_a_at	1.23	2310058J06Rik
1427683_at	1.23	Egr2
1423450_a_at	1.23	Hs3st1
1423418_at	1.22	Fdps
1448117_at	1.22	Kitl
1427931_s_at	1.22	Pdxk
1449109_at	1.22	Socs2
1418203_at	1.22	Pmaip1
1416953_at	1.22	Ctgf
1417801_a_at	1.22	Ppfibp2
1448276_at	1.22	Tm4sf7
1418507_s_at	1.22	D130043N08Rik
1417772_at	1.22	Grhpr
1448645_at	1.22	Msl31
1415850_at	1.22	Rasa3
1428316_a_at	1.22	4833415N24Rik
1454678_s_at	1.22	A130022J15Rik
1415810_at	1.22	Np95
1417818_at	1.22	---
1448323_a_at	1.22	Bgn
1451469_at	1.22	B430108F07Rik
1452456_at	1.21	Nrip2
1432474_a_at	1.21	2010001C09Rik
1423266_at	1.20	2810405K02Rik
1419249_at	1.20	Pftk1
1424130_a_at	1.20	2310075E07Rik
1431469_a_at	1.20	4930415K17Rik
1418476_at	1.20	Crlf1
1424990_at	1.20	D730049H07Rik
1416716_at	1.20	Efs
1426206_at	1.20	Robo4
1416599_at	1.20	Gli5
1423214_at	1.20	Plxnc1
1434210_s_at	1.20	Lrig1
1418257_at	1.20	Slc12a7
1449893_a_at	1.20	Lrig1
1433538_at	1.20	AI504298
1437165_a_at	1.20	Pcolce
1448740_at	1.20	Rangnrf-pending
1425532_a_at	1.20	Bin1
1426558_x_at	1.20	---
1426670_at	1.20	Agrn
1453572_a_at	1.20	Plp2
1418445_at	1.20	Slc16a2
1417071_s_at	1.20	Cyp4v3
1448382_at	1.19	1300002P22Rik
1418665_at	1.19	Impa2
1448721_at	1.19	D1Ertd622e
1419173_at	1.19	Acy1
1451099_at	1.19	Mbc2
1418863_at	1.19	---
1418004_a_at	1.19	1810009M01Rik
1452283_at	1.19	AW123240
1418294_at	1.19	Epb4.1l4b
1450026_a_at	1.19	B3gnt1
1448737_at	1.19	Tm4sf2
1452209_at	1.19	Pkp4
1418092_s_at	1.19	Trip10
1456733_x_at	1.18	Serpinh1
1417125_at	1.18	Ahcy
1435431_at	1.18	2310047M15Rik
1426453_at	1.18	Pitrm1
1426309_at	1.18	Asb9
1428069_at	1.18	2310021G01Rik
1416805_at	1.18	1110032E23Rik
1426907_s_at	1.18	---
1450905_at	1.18	Plxnc1
1425627_x_at	1.18	Gstm1
1417870_x_at	1.18	Ctsz
1420915_at	1.18	Stat1
1425747_at	1.18	BC016533
1415728_at	1.18	Pabpn1
1448883_at	1.18	Lgmn
1452304_a_at	1.18	Arhgef5
1417316_at	1.18	Them2
1423381_at	1.18	4921521F21Rik
1423909_at	1.18	0610011I04Rik
1427633_a_at	1.18	Pappa
1452309_at	1.18	4933421H10Rik
1460196_at	1.18	Cbr1
1421321_a_at	1.18	Net1
1417155_at	1.18	Nmyc1
1417562_at	1.18	Eif4ebp1
1427049_s_at	1.18	Smo
1424692_at	1.18	2810055F11Rik
1426750_at	1.17	Flnb
1415964_at	1.17	Scd1
1437679_a_at	1.17	Glrx2
1423310_at	1.17	Tpbg
1426529_a_at	1.17	Tagln2
1436833_x_at	1.17	Ttll1
1450626_at	1.17	Manba
1450878_at	1.17	2210417O06Rik
1460592_at	1.17	Epb4.1l1
1419812_s_at	1.17	D11Ertd99e
1417427_at	1.17	1500026D16Rik
1415818_at	1.17	Anxa6
1460330_at	1.17	Anxa3
1450843_a_at	1.17	Serpinh1
1455871_s_at	1.17	1300011C24Rik
1426724_at	1.17	Cnn3
1429159_at	1.17	4631408O11Rik
1460180_at	1.17	Hexb
1416138_at	1.17	Anxa7
1423538_at	1.17	Ntan1
1424746_at	1.17	---
1437889_x_at	1.17	Bgn
1417910_at	1.17	Ccna2
1416405_at	1.17	Bgn
1419363_a_at	1.17	Mrpl35
1450138_a_at	1.17	Serpinb6a
1418546_a_at	1.16	1700095N21Rik
1425911_a_at	1.16	Fgfr1
1439381_x_at	1.16	AI504298
1416701_at	1.15	Arhe
1434403_at	1.15	Spred2
1428619_at	1.15	2310005N03Rik
1434005_at	1.15	2600014B10Rik
1417311_at	1.15	Crip2
1460351_at	1.15	S100a11
1460561_x_at	1.15	Sepw1
1420498_a_at	1.15	Dab2
1430307_a_at	1.15	Mod1
1424987_at	1.15	5430435G22Rik
1451475_at	1.15	---
1418448_at	1.15	Rras
1416076_at	1.15	Ccnb1
1428029_a_at	1.15	C530002L11Rik
1424175_at	1.15	Tef
