Gene	Description	Molecular Function	Biological Process	Expression
CAMK1	Calcium/calmodulin-dependent protein kinase I	Protein serine/threonine kinase activity	Signal transduction	Increased expression after bleomycin
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Cyclin-dependent protein kinase inhibitor activity	Cell cycle arrest	Increased expression after bleomycin
XPC	Xeroderma pigmentosum, complementation group C	Damaged DNA binding	Nucleotide excision repair	Increased expression after bleomycin
H2AFZ	H2A histone family, member Z	Histone	Unknown	Increased expression after bleomycin
POLH	Polymerase (DNA directed), ?	Damaged DNA binding	DNA repair regulation	Increased expression after bleomycin
FDXR	Ferredoxin reductase	Ferredoxin-NADP(+) reductase	Electron transport	Increased expression after bleomycin
RGS16	Regulator of G-protein signaling 16	GTPase activator	Signal transduction	Increased expression after bleomycin
FRDA	Frataxin	Inositol/phosphatidylinositol kinase	Electron transport	Increased expression after bleomycin
TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7	Tumor necrosis factor receptor binding	Apoptosis	Increased expression after bleomycin
TNFSF9	Tumor necrosis factor (ligand) superfamily, member 9	Tumor necrosis factor receptor binding	Apoptosis	Increased expression after bleomycin
UBR1	Ubiquitin protein ligase E3 component n-recognin 1	Ligase activity	Ubiquitin cycle	Increased expression after bleomycin
BBC3	BCL2-binding component 3	Protein binding	Apoptosis	Increased expression after bleomycin
CD37	CD37 antigen	Unknown	N-linked glycosylation	Increased expression after bleomycin
ANKFY1	Ankyrin repeat and FYVE domain containing 1	Protein binding	Endocytosis	Increased expression after bleomycin
CX3CL1	Chemokine (C-C motif) ligand 22	Chemokine activity	Immune response	Increased expression after bleomycin
PPM1D	Protein phosphatase 1D magnesium-dependent, ? isoform	Catalytic activity	Cell proliferation, negative regulation of	Increased expression after bleomycin
PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, ?	1-Phosphatidylinositol-4-phosphate kinase	Signal transduction	Decreased expression after bleomycin
ACSL1	Acyl-CoA synthetase long-chain family member 1	Ligase activity	Lipid metabolism	Decreased expression after bleomycin
TPX2	TPX2, microtubule-associated protein homologue (Xenopus laevis)	ATP binding	Cell proliferation	Decreased expression after bleomycin
BST2	Bone marrow stromal cell antigen 2	Unknown	Cell proliferation	Decreased expression after bleomycin
PPP3CB	Protein phosphatase 3 (formerly 2B), catalytic subunit	Calcium ion binding	Cell cycle regulation	Decreased expression after bleomycin
CSNK2A1	Casein kinase 2, ?1 polypeptide	Protein serine/threonine kinase activity	Amino acid phosphorylation	Decreased expression after bleomycin
CD53	CD53 antigen	Unknown	Signal transduction	Decreased expression after bleomycin
CENPA	Centromere protein A, 17 kDa	DNA binding	Chromosome organization and biogenesis	Decreased expression after bleomycin
CCNB2	Cyclin B2	Unknown	Cell cycle regulation	Decreased expression after bleomycin
ZNF410	Zinc finger protein 410	DNA binding	Transcription regulation	Decreased expression after bleomycin
DCTN2	Dynactin 2 (p50)	Motor activity	Cell proliferation	Decreased expression after bleomycin
TLP19	Endoplasmic reticulum thioredoxin superfamily member, 18 kDa	Electron transporter activity	Electron transport	Decreased expression after bleomycin
LTA4H	Leukotriene A4 hydrolase	Epoxide hydrolase activity	Inflammatory response	Decreased expression after bleomycin
CCNA2	Cyclin A2	Unknown	Cytokinesis	Decreased expression after bleomycin
TUBA6	Tubulin ?6	GTP binding	Microtubule organization	Decreased expression after bleomycin
CECR5	Cat eye syndrome chromosome region, candidate 5	Hydrolase activity	Metabolism	Decreased expression after bleomycin
FKBP4	FK506 binding protein 4, 59 kDa	Isomerase activity	Protein processing	Decreased expression after bleomycin
KNTC2	Kinetochore associated 2	Unknown	Mitotic sister chromatid segregation	Decreased expression after bleomycin
LAPTM4A	Lysosomal-associated protein transmembrane 4?	Unknown	Transport	Decreased expression after bleomycin
TM9SF1	Transmembrane 9 superfamily member 1	Unknown	Transport	Decreased expression after bleomycin
MORF4L2	Mortality factor 4 like 2	Unknown	Cell growth regulation	Decreased expression after bleomycin
ELAVL1	ELAV (embryonic lethal, abnormal vision,Drosophila)–like 1	mRNA binding, 3? untranslated region	RNA catabolism	Decreased expression after bleomycin
MRPS17	Mitochondrial ribosomal protein S17	Nucleotide binding	Protein processing	Decreased expression after bleomycin
PLK1	Polo-like kinase 1 (Drosophila)	Transferase activity	Mitosis	Decreased expression after bleomycin
CDC25B	Cell division cycle 25B	Hydrolase activity	Cell cycle	Decreased expression after bleomycin
RAC1	Ras-related C3 botulinum toxin substrate 1	GTP binding	Protein transport	Decreased expression after bleomycin
SSR2	Signal sequence receptor, ? (translocon-associated protein ?)	Signal sequence receptor	Cotranslational protein membrane targeting	Decreased expression after bleomycin
TM9SF2	Transmembrane 9 superfamily member 2	Transporter activity	Transport	Decreased expression after bleomycin
SF1	Splicing factor 1	RNA binding	Transcription regulation	Decreased expression after bleomycin
SIAH2	Seven in absentia homologue 2 (Drosophila)	Ligase activity	Apoptosis	Decreased expression after bleomycin
XBP1	X-box binding protein 1	Transcription factor activity	Immune response	Decreased expression after bleomycin
EIF4G2	Eukaryotic translation initiation factor 4?, 2	RNA binding	Cell cycle arrest	Decreased expression after bleomycin
ADAMTS9	A disintegrin-like and metalloprotease (reprolysin type)	Metalloendopeptidase activity	Glycoprotein degradation	Decreased expression after bleomycin
NEDD8	Neural precursor cell expressed, developmentally down-regulated 8	Ubiquitin-conjugating enzyme activity	Proteolysis and peptidolysis	Decreased expression after bleomycin
UBE2G1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homologue,Caenorhabditis elegans)	Ubiquitin-conjugating enzyme activity	Ubiquitin cycle	Decreased expression after bleomycin
TIMM10	Translocase of inner mitochondrial membrane 10 homologue (yeast)	Unknown	Protein transport	Decreased expression after bleomycin
