HGNC ID	Name	Fold differenceMK/EB
PF4	Platelet factor 4	111.3
SELP	P-selectin	71.0
PPBP	Platelet basic protein	62.7
GP9	Platelet glycoprotein IX	48.6
PECAM1	Platelet endothelial cell adhesion molecule	47.3
ITGB3	Platelet membrane glycoprotein IIIa	43.3
MYCT1	Myc target 1	39.2
ITGA2B	Platelet membrane glycoprotein IIb	31.5
TMEM133	AD031 protein	31.1
CD9	CD9 antigen	23.9
GP1BA	Platelet glycoprotein Ib alpha	23.1
TMEM40	transmembrane protein 40	19.8
LST1	Leukocyte specific transcript 1 protein (B144 protein)	19.7
TSPAN15	Tetraspan NET-7	19.0
FCER1G	High affinity immunoglobulin epsilon receptor gamma-subunit	16.0
GJA4	Gap junction alpha-4	15.1
PLXDC2	Plexin domain containing 2	13.1
LAT2	WBSCR5 protein isoform 1	13.1
SLC2A6	Solute carrier family 2, facilitated glucose transporter, member 9	12.7
CD84	CD84 antigen	12.3
c6orf25	G6B protein	10.4
CAV1	Caveolin-1	10.3
VSIG2	V-set and immunoglobulin domain containing 2	10.1
C6orf21	G6F protein	9.2
C1orf78	C1orf78	8.8
HLA-DRB5	HLA class II histocompatibility antigen, DR-1 beta chain precursor	8.8
XYLT2	xylosyltransferase II	8.6
MEST	mesoderm specific transcript	8.6
EPHNB1	Ephrin-B1	8.2
LAT	Linker for activation of T cells	8.0
ARP8A1	Potential phospholipid-transporting ATPase IA	7.8
PTPRCAP	Protein tyrosine phosphatase receptor type C-associated protein	7.5
SLCO3A1	Solute carrier family 21 member 11	7.3
ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3	7.2
SUCNR1	G protein-coupled receptor 91	7.2
TM45A	Dermal papilla derived protein 7	7.0
SLC44A1	CDW92 antigen	6.6
AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	6.6
ITGA6	Integrin alpha-6 precursor	6.5
FCER1A	High affinity immunoglobulin epsilon receptor alpha-subunit precursor	6.3
HG2A	CD74 antigen	6.3
HA2Q	MHC class II DP3-alpha	6.0
CD40	Tumor necrosis factor receptor superfamily member 5, CD40L receptor	6.0
MICA	MHC class I antigen B8	5.6
ANPEP	Aminopeptidase N (Myeloid plasma membrane glycoprotein CD13)	5.6
CCL5	Small inducible cytokine A5 precursor	5.6
CAV2	Caveolin-2	5.5
C3orf52	TPA-induced transmembrane protein	5.5
HLA-DMA	MHC class II antigen DMA	5.5
SLC16A3	Monocarboxylate transporter 4	4.8
HLA-G	MHC class I antigen A3	4.8
HLA-DPB1	HLA class II histocompatibility antigen, DP(W4) beta chain	4.8
CD69	CD69 antigen	4.7
CXCR1	C-X-C chemokine receptor type 4	4.7
CATSPER1	sperm-associated cation channel 1	4.6
SLC16A3	Monocarboxylate transporter 4	4.5
IFITM3	Interferon-induced transmembrane protein 3	4.5
HLA-E	HLA class I histocompatibility antigen, E alpha chain	4.4
SIA10	alpha2,3-sialyltransferase VI	4.4
NINJ2	Ninjurin 2	4.3
PCDH20	protocadherin 20	4.3
NPDC1	Neural proliferation differentiation and control protein-1	4.1
TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A	4.0
GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14	3.9
STOM	Erythrocyte band 7 integral membrane	3.9
HTPAP	HTPAP protein	3.8
NP_037531.1	Cell death inducing protein	3.8
SLC24A4	Sodium/potassium/calcium exchanger 3	3.8
NDUFA5	NADH-ubiquinone oxidoreductase 13 kDa-B subunit	3.8
TEX264	Putative secreted protein ZSIG11	3.7
SLC22A18	Tumor suppressing subtransferable candidate 5	3.7
LY6G5C	G5C protein	3.7
SYNJ2BP	Synaptojanin 2 binding protein	3.5
SCAMP2	Secretory carrier-associated membrane protein 2	3.5
PNKD	myofibrillogenesis regulator 1	3.4
TNFRSF14	Tumor necrosis factor receptor superfamily member 14	3.4
IFITM2	Interferon-induced transmembrane protein 2	3.4
RTN4R	Reticulon 4	3.4
ATP13A2	Probable cation-transporting ATPase 1	3.3
