Gene symbol	GeneBank reference	MSI status	Expression values (mean +/- standard error)	P
CTNNB1	NM_001904	MSS/MSI-L	0.141 +/- 0.033	0.003
CTNNB1	NM_001904	MSI-H	0.466 +/- 0.077	0.003
DVL2	NM_004422	MSS/MSI-L	0.025 +/- 0.005	0.003
DVL2	NM_004422	MSI-H	0.126 +/- 0.024	0.003
FRAT2	NM_012083	MSS/MSI-L	0.075 +/- 0.016	0.015
FRAT2	NM_012083	MSI-H	0.332 +/- 0.086	0.015
GSK3B	NM_002093	MSS/MSI-L	0.092 +/- 0.026	0.023
GSK3B	NM_002093	MSI-H	0.341 +/- 0.088	0.023
KREMEN2	NM_024507	MSS/MSI-L	0.049 +/- 0.014	0.011
KREMEN2	NM_024507	MSI-H	0.343 +/- 0.108	0.011
PPP2R1B	NM_002716	MSS/MSI-L	0.152 +/- 0.031	0.001
PPP2R1B	NM_002716	MSI-H	0.683 +/- 0.039	0.001
FBXW4	NM_022039	MSS/MSI-L	0.091 +/- 0.018	0.012
FBXW4	NM_022039	MSI-H	0.344 +/- 0.078	0.012
TLE2	NM_003260	MSS/MSI-L	0.055 +/- 0.011	0.02
TLE2	NM_003260	MSI-H	0.189 +/- 0.046	0.02
WIF1	NM_007191	MSS/MSI-L	0.066 +/- 0.012	0.045
WIF1	NM_007191	MSI-H	0.230 +/- 0.057	0.045
CSNK1D	NM_001893	MSS/MSI-L	0.206 +/- 0.044	0.004
CSNK1D	NM_001893	MSI-H	0.652 +/- 0.108	0.004
TLE3	NM_005078	MSS/MSI-L	0.030 +/- 0.004	0.007
TLE3	NM_005078	MSI-H	0.081 +/- 0.014	0.007
CTNNBIP1	NM_020248	MSS/MSI-L	0.173 +/- 0.035	0.007
CTNNBIP1	NM_020248	MSI-H	0.509 +/- 0.088	0.007
CXXC4	NM_025212	MSS/MSI-L	0.071 +/- 0.012	0.02
CXXC4	NM_025212	MSI-H	0.190 +/- 0.041	0.02
