symbol	CCN  tpm	HES3  tpm	HES4  tpm
ABL1	59	10	34
ACTB	436	5	15
ACTR1B	20	5	10
ACVR1B	20	15	5
ACVR2A	0	0	0
ADM	20	29	15
ADORA2A	20	10	5
ADRA2A	20	5	15
ADRBK1	59	19	15
AEBP2	20	44	5
AES	20	10	5
AFF1	20	15	49
AGRIN	0	0	0
AKAP13	20	5	5
AKT1	139	5	5
ANP32A	40	15	10
AP2A2	20	15	5
APBA2	40	10	5
APBB1	40	29	54
APBB2	20	5	5
APC	20	5	5
APEX1	20	443	5
APLP1	139	19	5
APLP2	40	5	15
APP	158	5	15
APPBP1	79	5	5
ARID1A	119	5	78
ARID3A	59	5	19
ARID4B	20	19	10
ARNT2	40	5	10
ASXL1	20	5	5
ATF2	20	19	19
ATF3	20	5	10
ATF4	257	19	273
ATF5	99	15	10
ATF7	20	5	10
ATF7IP	20	5	5
ATM	20	10	29
ATN1	20	34	24
ATP2B4	20	5	5
ATP2C1	40	10	5
ATRX	40	5	5
ATXN3	40	5	5
BASP1	20	44	63
BAZ2A	40	83	5
BCKDHA	20	58	73
BCL10	20	10	34
BCL9L	20	19	5
BCLAF1	20	44	5
BCOR	79	10	24
BCR	79	5	5
BHLHB2	59	19	5
BIRC2	99	44	34
BIRC4	40	5	19
BMP7	40	5	24
BMPR1A	20	19	34
BMPR2	20	10	5
BPTF	0	0	0
BRD7	20	44	39
BRD8	40	24	5
BRF2	20	15	10
BTAF1	20	5	5
BTBD14B	40	5	5
BTF3	376	15	10
BTG1	20	15	5
BTG2	20	15	5
BTRC	20	10	15
CALR	455	273	122
CAMK2D	40	5	5
CAMKK2	40	5	5
CARM1	20	24	5
CASK	20	5	5
CASP3	20	49	102
CAV1	20	5	15
CBFB	20	5	5
CBX1	139	5	5
CBX3	20	219	5
CBX5	79	15	5
CCNA2	20	44	58
CCNB1	40	5	5
CCND1	139	10	19
CCND2	297	5	15
CCNDBP1	40	29	34
CCNH	20	5	24
CCNK	59	5	5
CCNT2	20	15	19
CD44	20	5	5
CDC2	158	5	5
CDC25B	40	15	5
CDC42	20	39	5
CDC5L	20	19	19
CDCA4	59	10	5
CDK2	40	29	29
CDK3	59	5	5
CDK7	20	44	5
CDK8	40	15	5
CDK9	20	44	24
CDKN1A	139	5	15
CDKN1B	40	15	5
CDKN1C	20	15	5
CDR2	59	24	24
CEBPB	40	19	19
CEBPZ	20	15	10
CENPF	40	5	10
CHAF1A	20	10	5
CHD1	20	19	5
CHD2	20	24	29
CHD3	20	5	5
CHD4	396	239	54
CHES1	40	5	5
CIAO1	0	0	0
CITED2	59	161	102
CNBP	0	0	0
CNN1	99	19	34
CNOT7	59	78	5
COPS5	20	93	5
CRABP2	20	317	5
CREB1	20	5	5
CREB3L4	40	19	15
CREBBP	20	5	19
CREBL2	20	5	24
CREM	20	15	5
CRK	455	34	88
CRKL	20	5	10
CRSP2	20	15	5
