Function	Accession	Description	TE-2	TE-9	TE-13	KYSE170
Apoptosis, inflammatory response	AA418021	ICEBERG caspase-1 inhibitor (ICEBERG)	2.18	1.04	4.18	2.06
Apoptosis	R44417	baculoviral IAP repeat-containing 2 (BIRC2)	2.23	2.28	1.57	2.96
Blood coagulation, cell growth	AA284669	plasminogen activator, urokinase (PLAU)	2.64	2.48	1.11	3.23
Carbohydrate metabolism	AA775378	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase (MGAT1)	2.06	8.18	0.45	3.06
Cell adhesion, immune response	AA458965	natural killer cell transcript 4 (NK4)	7.03	8.53	1.03	2.28
DNA metabolism	R60343	5 nucleotidase (CD73) (NT5)	2.21	0.54	4.45	4.26
Electron transport	AA418907	cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 1 (CYP1A1)	7.19	2.19	0.41	2.67
Electron transport	R33030	glucose regulated protein, 58 kDa (GRP58)	2.8	2.11	1.51	3.22
Electron transport	AA430497	protein disulphide isomerase related protein (calcium-binding protein, intestinal-related) (ERP70)	9.78	2.92	1.11	2.94
Inflammatory response	R80217	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2) (COX-2)	2.16	3.17	4.16	1.29
Protein amino-acid phosphorylation	AA447574	protein kinase C, zeta (PRKCZ)	2	10.04	0.92	3.7
Protein amino-acid phosphorylation	N94921	receptor tyrosine kinase-like orphan receptor 2 (ROR2)	2.05	0.95	5.06	2.3
Protein amino-acid phosphorylation	H74007	serum/glucocorticoid regulated kinase (SGK)	4.04	2.2	2.51	1
Regulation of transcription, DNA-dependent	AA293192	putative nucleic acid binding protein RY-1 (RY1)	2.17	2.32	1	2.37
Transport	AA400973	lipocalin 2 (oncogene 24p3) (LCN2)	3.01	2.33	1.31	5.47
tRNA processing	AA156571	alanyl-tRNA synthetase (AARS)	3.81	2.29	0.66	2.39
Unclassified	T67069	GTP binding protein 2 (GTPBP2)	2.77	2.42	1.1	2.96
Unclassified	N90081	tripartite motif protein TRIM8 (TRIM8)	2.28	2.35	0.99	6.68
Unclassified	AA453410	tumour necrosis factor receptor superfamily, member 10b (TNFRSF10B)	2.08	19.12	0.92	3.03
