Probe Set ID	Gene symbol	Ratio of medians	95% Low	95% High
204487_s_at	KCNQ1	85.5	49.2	148.6
206294_at	HSD3B2	41.1	16.1	104.7
204621_s_at	NR4A2	26.9	11.5	63
214630_at	CYP11B2	26.2	11.9	57.9
214321_at	NOV	24.4	10.8	55.3
209613_s_at	ADH1B	21.6	10.9	42.8
216248_s_at	NR4A2	19.2	8.5	43.6
204501_at	NOV	19.1	9.6	38.2
211959_at	IGFBP5	18.2	11.3	29.5
203523_at	LSP1	17.9	10.5	30.5
208606_s_at	WNT4	17.3	8.3	36.1
213764_s_at	MFAP5	15.7	4.3	56.6
204622_x_at	NR4A2	15.5	7.8	31.1
209496_at	RARRES2	14.3	6.7	30.2
202768_at	FOSB	14	4.8	41.2
217767_at	C3	13.7	7.2	26.2
211217_s_at	KCNQ1	13.6	6.4	29.1
202994_s_at	FBLN1	13.2	6.9	25.3
203131_at	PDGFRA	13	7.9	21.6
205969_at	AADAC	12.2	5.4	27.8
203798_s_at	VSNL1	12	6	23.8
203424_s_at	IGFBP5	11.1	6.6	18.5
204457_s_at	GAS1	11	5.3	22.9
213994_s_at	SPON1	10.8	3.9	30
211896_s_at	DCN	10.8	6.2	18.8
