Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
235004_at	RBM24	221662	RNA binding motif protein 24	1.61	0.74	0.86	0.000
205132_at	ACTC1	70	actin, alpha, cardiac muscle 1	1.19	0.68	0.82	0.000
214121_x_at	PDLIM7	9260	PDZ and LIM domain 7 (enigma)	2.54	0.65	0.81	0.000
240244_at	Not known	Not known	Not known	0.96	0.65	0.81	0.000
226103_at	NEXN	91624	nexilin (F actin binding protein)	1.64	0.65	0.81	0.000
205177_at	TNNI1	7135	troponin I type 1 (skeletal, slow)	1.09	0.64	0.80	0.000
219106_s_at	KBTBD10	10324	kelch repeat and BTB (POZ) domain containing 10	0.93	0.63	0.79	0.000
205485_at	RYR1	6261	ryanodine receptor 1 (skeletal)	1.41	0.60	0.78	0.000
205054_at	NEB	4703	nebulin	1.06	0.60	0.78	0.000
202222_s_at	DES	1674	desmin	1.32	0.58	0.76	0.000
219772_s_at	SMPX	23676	small muscle protein, X-linked	1.03	0.58	0.76	0.000
205163_at	MYLPF	29895	fast skeletal myosin light chain 2	0.82	0.57	0.75	0.000
210088_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	1.23	0.56	0.75	0.000
210395_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	1.21	0.56	0.75	0.000
1552309_a_at	NEXN	91624	nexilin (F actin binding protein)	1.58	0.55	0.74	0.000
203861_s_at	ACTN2	88	actinin, alpha 2	1.18	0.55	0.74	0.000
212654_at	TPM2	7169	tropomyosin 2 (beta)	1.20	0.55	0.74	0.000
226096_at	FNDC5	252995	fibronectin type III domain containing 5	1.24	0.55	0.74	0.000
205940_at	MYH3	4621	myosin, heavy chain 3, skeletal muscle, embryonic	0.73	0.54	0.73	0.000
203862_s_at	ACTN2	88	actinin, alpha 2	1.23	0.54	0.73	0.000
231051_at	Not known	Not known	Not known	0.95	0.53	0.73	0.000
222827_s_at	KBTBD10	10324	kelch repeat and BTB (POZ) domain containing 10	0.96	0.53	0.73	0.000
216054_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	1.19	0.53	0.73	0.000
214357_at	C1orf105	92346	chromosome 1 open reading frame 105	0.97	0.53	0.73	0.000
212361_s_at	ATP2A2	488	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	2.20	0.52	0.72	0.000
215389_s_at	TNNT2	7139	troponin T type 2 (cardiac)	1.02	0.51	0.72	0.000
209888_s_at	MYL1	4632	myosin, light chain 1, alkali; skeletal, fast	0.68	0.51	0.72	0.000
205388_at	TNNC2	7125	troponin C type 2 (fast)	0.73	0.51	0.71	0.000
235503_at	ASB5	140458	ankyrin repeat and SOCS box-containing 5	0.88	0.50	0.71	0.000
1554579_a_at	MYO18B	84700	myosin XVIIIB	1.76	0.50	0.71	0.000
206117_at	TPM1	7168	tropomyosin 1 (alpha)	1.10	0.50	0.71	0.000
1554640_at	PALM2	114299	paralemmin 2	1.48	0.50	0.71	0.000
218678_at	NES	10763	nestin	1.69	0.50	0.70	0.000
226884_at	LRRN1	57633	leucine rich repeat neuronal 1	0.99	0.49	0.70	0.000
217274_x_at	MYL4	4635	myosin, light chain 4, alkali; atrial, embryonic	1.91	0.48	0.69	0.000
206393_at	TNNI2	7136	troponin I type 2 (skeletal, fast)	0.89	0.48	0.69	0.000
229567_at	FIT1	161247	fat-inducing transcript 1	1.77	0.48	0.69	0.000
208195_at	TTN	7273	titin	0.78	0.48	0.69	0.000
225878_at	KIF1B	23095	kinesin family member 1B	2.38	0.47	0.69	0.000
214027_x_at	DES	1674	desmin	1.75	0.47	0.69	0.000
230030_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2	1.19	0.47	0.69	0.000
203863_at	ACTN2	88	actinin, alpha 2	1.20	0.47	0.69	0.000
206216_at	SRPK3	26576	SFRS protein kinase 3	1.59	0.47	0.69	0.000
202756_s_at	GPC1	2817	glypican 1	1.79	0.47	0.69	0.000
235261_at	UNC45B	146862	unc-45 homolog B (C. elegans)	0.79	0.47	0.68	0.000
226097_at	FNDC5	252995	fibronectin type III domain containing 5	1.80	0.47	0.68	0.000
226968_at	KIF1B	23095	kinesin family member 1B	2.57	0.46	0.68	0.000
203864_s_at	ACTN2	88	actinin, alpha 2	1.31	0.46	0.68	0.000
213543_at	SGCD	6444	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	1.65	0.46	0.68	0.000
1552767_a_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2	1.15	0.46	0.68	0.000
228416_at	ACVR2A	92	activin A receptor, type IIA	1.56	0.45	0.67	0.000
1554803_s_at	TRIM72	493829	tripartite motif-containing 72	1.97	0.45	0.67	0.000
206633_at	CHRNA1	1134	cholinergic receptor, nicotinic, alpha 1 (muscle)	1.14	0.45	0.67	0.000
220359_s_at	ARPP-21	10777	cyclic AMP-regulated phosphoprotein, 21 kD	0.92	0.45	0.67	0.000
41037_at	TEAD4	7004	TEA domain family member 4	1.56	0.44	0.66	0.000
224663_s_at	CFL2	1073	cofilin 2 (muscle)	2.19	0.44	0.66	0.000
225894_at	SYNPO2	171024	synaptopodin 2	1.22	0.44	0.66	0.000
230852_at	STAC3	246329	SH3 and cysteine rich domain 3	1.93	0.43	0.66	0.000
230730_at	SGCD	6444	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	1.38	0.43	0.66	0.000
