Probesets	Symbol	Title
1415837_at	Klk1	kallikrein 1
1415900_a_at	Kit	kit oncogene
1415938_at	Spink3	serine peptidase inhibitor, Kazal type 3
1416023_at	Fabp3	fatty acid binding protein 3, muscle and heart
1416066_at	Cd9	CD9 antigen
1416069_at	Pfkp	phosphofructokinase, platelet
1416236_a_at	Eva1	epithelial V-like antigen 1
1416237_at	Eva1	epithelial V-like antigen 1
1416239_at	Ass1	argininosuccinate synthetase 1
1416380_at	Mov10	Moloney leukemia virus 10
1416576_at	Socs3	suppressor of cytokine signaling 3
1416715_at	Gjb3	gap junction membrane channel protein beta 3
1416749_at	Htra1	HtrA serine peptidase 1
1417185_at	Ly6a	lymphocyte antigen 6 complex, locus A
1417273_at	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4
1417297_at	Itpr3	inositol 1,4,5-triphosphate receptor 3
1417332_at	Rfx2	regulatory factor X, 2 (influences HLA class II expression)
1417394_at	Klf4	Kruppel-like factor 4 (gut)
1417395_at	Klf4	Kruppel-like factor 4 (gut)
1417501_at	Fbxo6b	F-box only protein 6b
1417760_at	Nr0b1	nuclear receptor subfamily 0, group B, member 1
1417785_at	Pla1a	phospholipase A1 member A
1417801_a_at	Ppfibp2	protein tyrosine phosphatase, receptor-type, F interacting protein, binding p...
1417814_at	Pla2g5	phospholipase A2, group V
1417896_at	Tjp3	tight junction protein 3
1418073_at	Acot9	acyl-CoA thioesterase 9
1418091_at	Tcfcp2l1	transcription factor CP2-like 1
1418114_at	Rbpsuh	recombining binding protein suppressor of hairless (Drosophila)
1418133_at	Bcl3	B-cell leukemia/lymphoma 3
1418147_at	Tcfap2c	transcription factor AP-2, gamma
1418215_at	Mep1b	meprin 1 beta
1418252_at	Padi2; LOC638935	peptidyl arginine deiminase, type II; similar to peptidyl arginine deiminase,...
1418283_at	Cldn4	claudin 4
1418362_at	Zfp42	zinc finger protein 42
1418394_a_at	Cd97	CD97 antigen
1418453_a_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide
1418460_at	Sh3d19	SH3 domain protein D19
1418461_at	Sh3d19	SH3 domain protein D19
1418588_at	Nrsn1	neurensin 1
1419147_at	Rec8L1	REC8-like 1 (yeast)
1419241_a_at	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dy...
1419350_at	Hook2	hook homolog 2 (Drosophila)
1419656_at	Slc25a36	solute carrier family 25, member 36
1419694_at	St8sia1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
1419695_at	St8sia1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
1419959_s_at	C330003B14Rik	RIKEN cDNA C330003B14 gene
1420425_at	Prdm1	PR domain containing 1, with ZNF domain
1420517_at	2310010I16Rik	RIKEN cDNA 2310010I16 gene
1420852_a_at	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
1421217_a_at	Lgals9	lectin, galactose binding, soluble 9
1421255_a_at	Cabp1	calcium binding protein 1
1421410_a_at	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2
1421411_at	Pstpip2	proline-serine-threonine phosphatase-interacting protein 2
1421835_at	Mtap7	microtubule-associated protein 7
1421836_at	---	---
1422142_at	Nphs1	nephrosis 1 homolog, nephrin (human)
1422264_s_at	Klf9	Kruppel-like factor 9
1422438_at	Ephx1	epoxide hydrolase 1, microsomal
1422458_at	Tcl1	T-cell lymphoma breakpoint 1
1422476_at	Ifi30	interferon gamma inducible protein 30
1422523_at	Si	silver
1422573_at	Ampd3	AMP deaminase 3
1422986_at	Esrrb	estrogen related receptor, beta
1423122_at	Avpi1	arginine vasopressin-induced 1
1423276_at	Ildr1	immunoglobulin-like domain containing receptor 1
1423413_at	Ndrg1	N-myc downstream regulated gene 1
1423508_at	Myst4	MYST histone acetyltransferase monocytic leukemia 4
1423523_at	Aass	aminoadipate-semialdehyde synthase
1423786_at	8430410A17Rik	RIKEN cDNA 8430410A17 gene
1423933_a_at	1600029D21Rik	RIKEN cDNA 1600029D21 gene
1423938_at	Llgl2	lethal giant larvae homolog 2 (Drosophila)
1424067_at	Icam1	intercellular adhesion molecule
1424163_at	Rmnd5b	required for meiotic nuclear division 5 homolog B (S. cerevisiae)
1424351_at	Wfdc2	WAP four-disulfide core domain 2
1424396_a_at	Asrgl1	asparaginase like 1
1425538_x_at	Ceacam1	CEA-related cell adhesion molecule 1
1425619_s_at	Dsg2	desmoglein 2
1425750_a_at	Jak3	Janus kinase 3
1426153_a_at	Dsg2	desmoglein 2
1426337_a_at	Tead4	TEA domain family member 4
1426511_at	Susd2	sushi domain containing 2
1426808_at	Lgals3	lectin, galactose binding, soluble 3
1427072_at	Stard8	START domain containing 8
1427238_at	Fbxo15	F-box protein 15
1427318_s_at	Dysf; Fer1l3	dysferlin; fer-1-like 3, myoferlin (C. elegans)
1427477_at	Tmprss13	transmembrane protease, serine 13
1427574_s_at	Sh3d19	SH3 domain protein D19
1427630_x_at	Ceacam1	CEA-related cell adhesion molecule 1
1428680_at	Cds1	CDP-diacylglycerol synthase 1
1429366_at	Lrrc34	leucine rich repeat containing 34
1429377_at	2410004A20Rik	RIKEN cDNA 2410004A20 gene
1429388_at	Nanog	Nanog homeobox
1429833_at	Ly6g6e	lymphocyte antigen 6 complex, locus G6E
1429953_at	2210011C24Rik	RIKEN cDNA 2210011C24 gene
1430086_at	Chrna9	cholinergic receptor, nicotinic, alpha polypeptide 9
1430208_at	Krt42	keratin 42
1430238_at	Got1l1	glutamic-oxaloacetic transaminase 1-like 1
1430634_a_at	Pfkp	phosphofructokinase, platelet
1431352_s_at	Pvt1	plasmacytoma variant translocation 1
1431416_a_at	Jam2	junction adhesion molecule 2
1431417_at	Jam2	junction adhesion molecule 2
1431786_s_at	1190003J15Rik	RIKEN cDNA 1190003J15 gene
1431865_a_at	4933405K07Rik	RIKEN cDNA 4933405K07 gene
1431979_at	4930444M15Rik	RIKEN cDNA 4930444M15 gene
1432075_a_at	Tekt1	tektin 1
1432227_at	Suv39h1	suppressor of variegation 3-9 homolog 1 (Drosophila)
1432229_a_at	Cdyl2	chromodomain protein, Y chromosome-like 2
1432466_a_at	Apoe	apolipoprotein E
1432503_a_at	Pdcl2	phosducin-like 2
1433596_at	Dnajc6	DnaJ (Hsp40) homolog, subfamily C, member 6
1433769_at	Als2cl	ALS2 C-terminal like
1433783_at	Ldb3	LIM domain binding 3
1434025_at	---	---
1434307_at	Tmem64	transmembrane protein 64
1434851_s_at	Crb3	crumbs homolog 3 (Drosophila)
1434873_a_at	Centb1	centaurin, beta 1
1434905_at	BC064011	cDNA sequence BC064011
1434917_at	Cobl	cordon-bleu
1435154_at	LOC245128	similar to solute carrier family 7 (cationic amino acid transporter, y+ syste...
1435374_at	---	Transcribed locus
1435386_at	Vwf	Von Willebrand factor homolog
1435545_at	BC032203	cDNA sequence BC032203
1436194_at	C330008K14Rik	RIKEN cDNA C330008K14 gene
1436291_a_at	Dpys	dihydropyrimidinase
1436336_at	Ptrh1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)
1436392_s_at	Tcfap2c	transcription factor AP-2, gamma
1436763_a_at	Klf9	Kruppel-like factor 9
1436905_x_at	Laptm5	lysosomal-associated protein transmembrane 5
1436926_at	Esrrb	estrogen related receptor, beta
1436952_at	Klf9	Kruppel-like factor 9
1437085_at	D630039A03Rik	RIKEN cDNA D630039A03 gene
1437100_x_at	Pim3	proviral integration site 3
1437218_at	Fn1	Fibronectin 1
1437250_at	Mreg	melanoregulin
1437435_at	1700061G19Rik; LOC669384	RIKEN cDNA 1700061G19 gene; similar to gonadotropin-regulated long chain acyl...
1437479_x_at	Tbx3	T-box 3
1437813_at	Aim1l	absent in melanoma 1-like
1437870_at	Slco4c1	solute carrier organic anion transporter family, member 4C1
1437874_s_at	Hexb	hexosaminidase B
1438704_at	Trim63	tripartite motif-containing 63
1438842_at	Mtch2	mitochondrial carrier homolog 2 (C. elegans)
1438872_at	BC050188	cDNA sequence BC050188
1439036_a_at	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide
1439476_at	Dsg2	desmoglein 2
1439648_at	Anln	anillin, actin binding protein (scraps homolog, Drosophila)
1439816_at	LOC433270	Hypothetical gene supported by AK087915
1440319_at	Gm817	gene model 817, (NCBI)
1441045_at	---	---
1441793_at	Rnf39	ring finger protein 39
1441921_x_at	Esrrb	estrogen related receptor, beta
1442588_at	---	Mus musculus, clone IMAGE:1533345, mRNA
1444292_at	D7Ertd143e	DNA segment, Chr 7, ERATO Doi 143, expressed
1444390_at	Prdm14; LOC637693	PR domain containing 14; similar to PR domain containing 14
1444559_at	Phtf2	Putative homeodomain transcription factor 2
1444837_at	---	---
1445128_at	---	CDNA clone IMAGE:30463708
1447166_at	E230002P03Rik	RIKEN cDNA E230002P03 gene
1447173_at	---	PREDICTED: Mus musculus hypothetical protein LOC624743 (LOC624743), mRNA
1447934_at	9630033F20Rik	RIKEN cDNA 9630033F20 gene
1448029_at	Tbx3	T-box 3
1448107_x_at	Klk1	kallikrein 1
1448265_x_at	Eva1	epithelial V-like antigen 1
1448371_at	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle
1448499_a_at	Ephx2	epoxide hydrolase 2, cytoplasmic
1448562_at	Upp1	uridine phosphorylase 1
1448713_at	Stat4	signal transducer and activator of transcription 4
1448871_at	Mapk13	mitogen activated protein kinase 13
1448890_at	Klf2	Kruppel-like factor 2 (lung)
1448977_at	Tcfap2c	transcription factor AP-2, gamma
1449084_s_at	Sh3d19	SH3 domain protein D19
1449163_at	Sigirr	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
1449204_at	Gjb5	gap junction membrane channel protein beta 5
1449231_at	Zfp296	zinc finger protein 296
1449253_at	Smc1b	structural maintenace of chromosomes 1B
1449254_at	Spp1	secreted phosphoprotein 1
1449344_s_at	2210409E12Rik	RIKEN cDNA 2210409E12 gene
1449455_at	Hck	hemopoietic cell kinase
1449590_a_at	Mras	muscle and microspikes RAS
1449626_s_at	Acbd4	acyl-Coenzyme A binding domain containing 4
1449740_s_at	Dsg2	desmoglein 2
1449848_at	Gna14	guanine nucleotide binding protein, alpha 14
1449887_at	2310010I16Rik	RIKEN cDNA 2310010I16 gene
1450026_a_at	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
1450251_a_at	Lnx1	ligand of numb-protein X 1
1450626_at	Manba	mannosidase, beta A, lysosomal
1450947_at	2610528J11Rik	RIKEN cDNA 2610528J11 gene
1450989_at	Tdgf1	teratocarcinoma-derived growth factor
1451021_a_at	Klf5	Kruppel-like factor 5
1451069_at	Pim3	proviral integration site 3
1451260_at	Aldh1b1	aldehyde dehydrogenase 1 family, member B1
1451320_at	3110043J09Rik	RIKEN cDNA 3110043J09 gene
