Clone name 	 Cytogenetic position 	 Gain/loss, no. patients† 	 Amplification/homozygous loss, no. patients‡ 	Gene§	Expression
RP3-510D11 	1p36.22	12	2	H6PD	Gain
RP3-510D11 	1p36.22	12	2	LOC440558	Gain
RP5-888M10 	1p36.21	11	2	VPS13D	Gain
RP5-1177E19 	1p36.21	9	2	PRDM2	Gain
RP11-233K4  	6p25.3	18	2	IRF4||	Gain
RP11-498D18 	7p22.2	12	2	CARMA1||	Gain
RP11-498D18 	7p22.2	12	2	GNA12	Gain
RP5-911H5  	7q21.2	22	2	ANKIB1	Gain
RP11-736C20 	7q21.2	23	2	CALCR	Gain
RP11-148A10 	7q22.2	26	2	LHFPL3	Gain
RP11-77E2  	7q22.3	25	2	DLD	Gain
RP11-77E2  	7q22.3	25	2	LAMB1	Gain
RP11-77E2  	7q22.3	25	2	LAMB4	Gain
RP11-573B16  	7q31.1	25	2	—	Gain
RP11-9C22  	7q31.33	25	2	SND1	Gain
RP11-66F23  	7q31.33	24	2	NYD-SP18	Gain
RP11-66F23  	7q31.33	24	2	CALU	Gain
RP11-66F23  	7q31.33	24	2	OPN1SW	Gain
RP11-66F23  	7q31.33	24	2	DKFZP434G156	Gain
RP11-66F23  	7q31.33	24	2	FLNC	Gain
RP11-66F23  	7q31.33	24	2	ATP6V1F	Gain
RP11-66F23  	7q31.33	24	2	LOC375616	Gain
RP11-35B6  	7q31.33	24	2	KIAA0828	Gain
RP11-35B6  	7q31.33	24	2	FAM40B	Gain
RP11-233L24  	7q33	21	2	—	Gain
RP4-659J6  	7q33	24	2	ZC3HDC1	Gain
RP4-659J6  	7q33	24	2	KIAA1718	Gain
RP11-188A12 	7q33	20	2	—	Gain
RP11-796I2  	7q35	17	2	PRKAG2	Gain
RP11-796I2  	7q35	17	2	LOC441301	Gain
RP11-796I2  	7q35	17	2	GALNTL5	Gain
RP11-476H24 	7q36.2	18	2	DPP6	Gain
RP11-691F21  	7q36.3	18	2	LOC285889	Gain
RP11-452C13 	7q36.3	16	2	PTPRN2	Gain
RP11-1127D7 	14q32.2	21	2	FLJ25773¶	Gain
RP11-1127D7 	14q32.2	21	2	RPL3P4¶	Gain
RP11-1127D7 	14q32.2	21	2	BCL11B||¶	Gain
RP1-101M23 	6q21	12	2	PRDM1	Loss
RP11-149I2  	9p21.3	14	2	MTAP	Loss
RP1-101M23 	6q21	12	2	CDKN2A||	Loss
RP11-149I2  	9p21.3	14	2	CDKN2B||	Loss
RP11-149I2  	9p21.3	14	2	NSGX	Loss
RP11-214L15  	9p21.3	7	2	—	Loss
RP11-468C2  	9p21.3	5	2	—	Loss
RP11-461N23 	13q32.1	24	2	GPR18 PHGDHL	Loss
