Gene symbol	False discovery rate	Fold Change
DTR	6.95E?8	8
DKK1	6.95E?8	6.6
ATF3	6.95E?8	6.6
GADD45B	2.37E?6	6.1
GADD45A	1.85E?6	5
ENC1	8.31E?6	4.9
PMAIP1	7.40E?7	4.8
IGFBP3	2.10E?4	2.6
CDKN1A	1.31E?3	2.1
BTG2	4.05E?3	1.9
TAX1BP2	4.63E?1	1.6
LRDD	5.74E?1	1.4
BBC3	4.74E?1	1.4
PIG8	2.26E?1	1.3
PCNA	2.09E?1	1.3
TNFRSF10B	1.95E?1	1.3
PTGES	2.41E?1	1.3
PIGPC1	5.75E?1	1.2
GAMT	8.11E?1	1.1
PIG4 (GSAA)	8.98E?1	1.1
PIG11	9.98E?1	1
PIG7	9.08E?1	?1.0
PIG3	5.34E?1	?1.2
LGALS7	8.19E?1	?1.3
PRODH	6.24E?1	?1.5
BAX	2.41E?1	?1.6
MGC21654	1.15E?1	?1.8
PIG5	1.10E?1	?1.8
APAF1	8.80E?1	?1.9
MDM2	2.91E?1	?3.0
PTEN	6.04E?4	?3.1
