Unigene	Gene name	Description	Map	Avg tumor/avg mucosa	P	Avg tumor/avg Mucosa0	P	Avg tumor/avg Mucosa1	P	Avg Mucosa1/avg Mucosa0	P
Hs.7957	ADAR	Adenosine deaminase, RNA-specific	1q21.1-q21.2	1.416	0.0035	1.99	2.0e?07	1.008	0.9166	1.974	8.5e?06
Hs.512765	AXIN1	Axin 1	16p13.3	1.278	0.0286	1.592	0.0005	1.025	0.7954	1.553	0.0055
Hs.226434	BTRC	?-transducin repeat containing	10q24.32	0.936	0.1678	0.917	0.1788	0.953	0.3871	0.962	0.57
Hs.371468	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	11q13	1.389	0.0078	1.817	4.1e?05	1.063	0.5896	1.71	0.0007
Hs.318381	CSNK1A1	Casein kinase 1, ?1	5q32	1.691	0.0418	3.79	7.0e?07	0.754	0.0779	5.024	4.0e?07
Hs.446484	CSNK2A1	Casein kinase 2, ?1 polypeptide	20p13	0.942	0.5369	0.91	0.4733	0.975	0.8021	0.933	0.5936
Hs.196083	CTBP1	COOH-terminal binding protein 1	4p16	0.458	0.0046	0.19	<1.0e?07	1.099	0.5894	0.173	<1.0e?07
Hs.196083	CTBP1	COOH-terminal binding protein 1	4p16	0.951	0.5244	0.867	0.1698	1.044	0.6293	0.83	0.0466
Hs.410086	CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3p21	1.249	0.0624	1.618	0.0605	1.349	0.0364	2.422	0.0005
Hs.410086	CTNNB1	Catenin (cadherin-associated protein), ?1, 88 kDa	3p21	0.93	0.7134	1.156	0.3366	0.668	0.0382	0.857	0.2728
Hs.79306	EIF4E	Eukaryotic translation initiation factor 4E	4q21-q25	1.411	0.0136	2.083	3.5e?06	0.957	0.71	2.177	2.0e?07
Hs.126057	FRAT1	Frequently rearranged in advanced T-cell lymphomas	10q24.2	1.127	0.2322	1.333	0.0146	0.95	0.6045	1.404	0.0197
Hs.94234	FZD1	Frizzled homologue 1 (Drosophila)	7q21	1.403	0.231	3.486	1.6e?05	0.564	0.0026	6.177	1.0e?07
Hs.282359	GSK3B †	Glycogen synthase kinase 3?	3q13.3	2.028	<1.0e?07	2.409	<1.0e?07	1.708	1.1e?06	1.41	0.0086
Hs.290346	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	6q16.1-q16.3	2.894	0.0003	7.27	<1.0e?07	1.263	0.0555	5.755	3.9e?06
Hs.202453	MYC	V-myc myelocytomatosis viral oncogene homologue (avian)	8q24.12-q24.13	2.111	5.1e?05	2.746	3.5e?05	1.622	0.0234	1.693	7.1e?05
Hs.3532	NLK	Nemo-like kinase	17q11.2	0.705	0.0016	0.568	2.5e?05	0.875	0.1784	0.65	0.0028
Hs.106415	PPARD ‡	Peroxisome proliferative activated receptor, ?	6p21.2-p21.1	0.591	0.0002	0.393	<1.0e?07	0.894	0.1565	0.44	4.0e?07
Hs.124942	PR48	Protein phosphatase 2A 48 kDa regulatory subunit	Xp22.33	1.089	0.6622	0.951	0.85	1.246	0.232	0.764	0.3194
Hs.248164	WNT1	Wingless-type mouse mammary tumor virus (MMTV) integration site family, member 1	12q13	0.471	0.0017	0.237	1.0e?07	0.931	0.5552	0.255	1.2e?05
