Probe Set ID	Gene Symbol	Gene Title
205937_at	CGREF1	cell growth regulator with EF-hand domain 1
221336_at	ATOH1	atonal homolog 1 (Drosophila)
208034_s_at	PROZ	protein Z, vitamin K-dependent plasma glycoprotein
209937_at	TM4SF4	transmembrane 4 L six family member 4
220989_s_at, 223587_s_at	AMN	amnionless homolog (mouse)
203658_at	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20
206312_at	GUCY2C	guanylate cyclase 2C (heat stable enterotoxin receptor)
238095_at, 238197_at	GATA5	GATA binding protein 5
203483_at, 219194_at	SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G
210133_at	CCL11	chemokine (C-C motif) ligand 11
204973_at	GJB1	gap junction protein, beta 1, 32kDa
218921_at	SIGIRR	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
206894_at	APOA4	apolipoprotein A-IV
204035_at	SCG2	secretogranin II (chromogranin C)
213921_at	SST	somatostatin
206387_at	CDX2	caudal type homeobox 2
208009_s_at	ARHGEF16	Rho guanine exchange factor (GEF) 16
228463_at	FOXA3	forkhead box A3
206595_at, 231248_at	CST6	Cystatin E/M
206457_s_at	DIO1	deiodinase, iodothyronine, type I
232567_at	ARHGAP8	Rho GTPase activating protein 8
209114_at	TSPAN1	tetraspanin 1
204231_s_at	FAAH	fatty acid amide hydrolase
205799_s_at, 239667_at	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1
207027_at	HGFAC	HGF activator
206100_at, 217557_s_at, 235019_at, 235706_at, 241765_at, 243403_x_at	CPM	carboxypeptidase M
220638_s_at, 223668_at	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c
225252_at	SRXN1	sulfiredoxin 1 homolog (S. cerevisiae)
208584_at, 209877_at	SNCG	synuclein, gamma (breast cancer-specific protein 1)
231021_at, 231480_at, 238177_at	SLC6A19	solute carrier family 6 (neutral amino acid transporter), member 19
225822_at	TMEM125	transmembrane protein 125
205929_at	GPA33	glycoprotein A33 (transmembrane)
1553808_a_at	NKX2-3	NK2 transcription factor related, locus 3 (Drosophila)
224411_at, 231009_at	PLA2G12B	phospholipase A2, group XIIB
207080_s_at, 211253_x_at	PYY	peptide YY
--	TMEM16J
231751_at	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8
215420_at, 229358_at	IHH	Indian hedgehog homolog (Drosophila)
202005_at, 216905_s_at, 216906_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)
205612_at	MMRN1	multimerin 1
201645_at, 216005_at	TNC	Tenascin C
209869_at	ADRA2A	adrenergic, alpha-2A-, receptor
226856_at	MUSTN1	musculoskeletal, embryonic nuclear protein 1
205364_at	ACOX2	acyl-Coenzyme A oxidase 2, branched chain
219970_at, 236548_at	GIPC2	GIPC PDZ domain containing family, member 2
236496_at	DEGS2	degenerative spermatocyte homolog 2, lipid desaturase (Drosophila)
207601_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1
220435_at	SLC30A10	solute carrier family 30, member 10
205108_s_at, 223579_s_at	APOB	apolipoprotein B (including Ag(x) antigen)
204541_at, 230316_at, 240024_at	SEC14L2	SEC14-like 2 (S. cerevisiae)
239087_at	ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B
1559977_a_at, 232245_at	SLC25A34	solute carrier family 25, member 34
206385_s_at, 207950_s_at, 209442_x_at, 239726_at	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)
207003_at	GUCA2A	guanylate cyclase activator 2A (guanylin)
218211_s_at	MLPH	melanophilin
224215_s_at, 227938_s_at	DLL1	delta-like 1 (Drosophila)
243669_s_at	PRAP1	proline-rich acidic protein 1
206430_at	CDX1	caudal type homeobox 1
210677_at	SOAT2	sterol O-acyltransferase 2
206080_at	PLCH2	phospholipase C, eta 2
221059_s_at, 224583_at	COTL1	coactosin-like 1 (Dictyostelium)
205670_at	GAL3ST1	galactose-3-O-sulfotransferase 1
218207_s_at, 222557_at	STMN3	stathmin-like 3
209872_s_at, 209873_s_at	PKP3	plakophilin 3
1558654_at, 212686_at, 233911_s_at	PPM1H	protein phosphatase 1H (PP2C domain containing)
218928_s_at, 234754_at	SLC37A1	solute carrier family 37 (glycerol-3-phosphate transporter), member 1
207140_at, 211618_s_at	ALPI	alkaline phosphatase, intestinal
207037_at, 238846_at	TNFRSF11A	tumor necrosis factor receptor superfamily, member 11a, NFKB activator
213797_at, 242625_at	RSAD2	radical S-adenosyl methionine domain containing 2
1555499_a_at, 244261_at	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)
205600_x_at, 205601_s_at	HOXB5	homeobox B5
203953_s_at, 203954_x_at	CLDN3	claudin 3
214636_at	CALCB	calcitonin-related polypeptide beta
1554375_a_at, 206340_at, 243800_at	NR1H4	nuclear receptor subfamily 1, group H, member 4
207491_at, 232428_at	MOGAT2	monoacylglycerol O-acyltransferase 2
203365_s_at, 243883_at	MMP15	matrix metallopeptidase 15 (membrane-inserted)
1569337_at, 232378_at	SLC5A9	solute carrier family 5 (sodium/glucose cotransporter), member 9
219959_at	MOCOS	molybdenum cofactor sulfurase
1554943_at, 1554945_x_at, 205506_at, 228912_at	VIL1	Villin 1
