Chemokine 	 IgG 	 FasL 	 Induction 
CCL1	-	+/-	1.8
CCL2	-	-	NI
CCL3	+++	+++	NI
CCL4	++	++	NI
CCL5	+/-	+++	4.7
CCL7	-	+/-	2
CCL8	+/-	+	1.6
CCL11	-	-	NI
CCL13	+/-	+	NI
CCL15	+/-	+/-	NI
CCL16	-	-	NI
CCL17	-	+/-	3.2
CCL18	-	-	NI
CCL19	++	++	NI
CCL20	+/-	+/-	NI
CCL22	+++	+++	NI
CCL23	++	++	NI
CCL24	+/-	+/-	NI
CCL25	-	-	NI
CCL26	+/-	+/-	NI
CCL27	+	++	1.7
CCL28	-	-	NI
CXCL1	+/-	+	1.5
CXCL1,2,3	-	+	3.1
CXCL5	-	-	NI
CXCL6	+/-	+/-	NI
CXCL7	+	+/-	NI
CXCL8	+	++	2.4
CXCL9	+/-	+/-	NI
CXCL11	+/-	+	2.1
CXCL12	-	+/-	2
CXCL13	+	+	NI
XCL1	+	++	NI
CX3CL1	+	+	NI 
