Gene	Affymetrix U133 probe set	R
FKSG2	208588_at	0.126
ZNF703	222760_at	0.458
SPFH2	221542_s_at	0.675
PROSC	209385_s_at	0.714
GPR124	65718_at	?0.028
BRF2	218955_at	0.65
RAB11FIP1	225177_at	0.678
GOT1L1	NA	NA
ADRB3	206812_at	0.057
EIF4EBP1	221539_at	0.578
ASH2L	209517_s_at	0.706
STAR	204548_at	?0.060
LSM1	203534_at	0.671
BAG4	228189_at	0.709
DDHD2	212690_at	0.808
PPAPDC1B	226384_at	0.744
WHSC1L1	222544_s_at	0.889
LETM2	NA	NA
FGFR1	210973_s_at	0.603
TACC1	242290_at	0.139
PLEKHA2	238082_at	0.149
HTRA4	NA	NA
TM2D2	224413_s_at	0.644
ADAM9	202381_at	0.53
ADAM32	217090_at	0.062
ADAM18	207597_at	0.088
ADAM2	207664_at	0.015
INDO	210029_at	?0.115
