Grp1 Mean	Grp1 SEM	Grp2 Mean	Grp2 SEM	Ratio	Direction	p-value	Gene Identifier	Other ID	Gene Name	UG Cluster	LocusLink	Gene ID
4.048677	0.063431	12.657733	0.164879	390.47	Up	1.06E-06	S79910	214639_s_at	Homeobox A1	Hs.67397	3198	HOXA1
4.059343	0.107958	11.901833	0.032716	229.52	Up	2.56E-07	BF593636	228642_at	Homeobox A2	Hs.445239	3199	HOXA2
4.24799	0.151853	11.801	0.074321	187.79	Up	1.50E-06	CA448125	1557051_s_at	Homeobox A2	Hs.445239	3199	HOXA2
5.686663	0.04632	12.395867	0.295085	104.63	Up	2.33E-05	NM_003240	206012_at	Pyrroline-5-carboxylate reductase family, member 2	Hs.520187	29920	PYCR2
4.226513	0.073223	10.906233	0.135245	102.52	Up	1.68E-06	N21390	225639_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
4.38523	0.092118	10.8109	0.176683	85.96	Up	5.51E-06	AC_003999	216899_s_at	-	-	-	-
5.223613	0.029665	11.605233	0.164958	83.38	Up	2.84E-06	AB014486	204362_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
4.14735	0.084625	10.361533	0.008409	74.24	Up	2.10E-07	AK026415	213385_at	Chimerin (chimaerin) 2	Hs.151880	1124	CHN2
4.210127	0.065904	10.09293	0.122172	59.01	Up	1.85E-06	AB014486	204361_s_at	Src kinase associated phosphoprotein 2	Hs.200770	8935	SKAP2
7.567327	0.064744	13.381533	0.091036	56.27	Up	8.16E-07	NM_000783	206424_at	Cytochrome P450, family 26, subfamily A, polypeptide 1	Hs.150595	1592	CYP26A1
3.7035	0.167021	9.49911	0.105327	55.55	Up	8.02E-06	CA448125	1557050_at	Homeobox A2	Hs.445239	3199	HOXA2
3.291377	0.02945	8.932993	0.157487	49.92	Up	3.88E-06	BF223214	244867_at	Transcribed locus	Hs.265194	-	-
4.529343	0.123196	9.946773	0.190679	42.74	Up	1.83E-05	NM_005328	206432_at	Hyaluronan synthase 2	Hs.571528	3037	HAS2
4.61681	0.107545	9.596317	0.16017	31.55	Up	1.34E-05	AI374739	230372_at	Transcribed locus	Hs.159226	-	-
4.52639	0.169268	9.394497	0.128196	29.2	Up	2.14E-05	NM_000965	205080_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
4.773953	0.082587	9.5234	0.212431	26.9	Up	3.13E-05	NM_016152	208530_s_at	Retinoic acid receptor, beta	Hs.536687	5915	RARB
3.72485	0.095817	8.258257	0.041607	23.16	Up	1.69E-06	U73304	213436_at	cannabinoid receptor 1 (brain)	-	1268	-
6.762933	0.089558	11.225133	0.120574	22.04	Up	7.64E-06	NM_016651	219179_at	Dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	Hs.48950	51339	DACT1
3.8764	0.11511	8.267843	0.043242	20.99	Up	3.67E-06	BG261252	226420_at	Ecotropic viral integration site 1	Hs.554762	2122	EVI1
3.740723	0.057767	8.109597	0.316922	20.66	Up	0.000171117	NM_019102	213844_at	Homeobox A5	Hs.533357	3202	HOXA5
4.965767	0.152432	9.245763	0.329928	19.43	Up	0.000297515	AW903934	232668_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
4.27943	0.140955	8.534247	0.306969	19.09	Up	0.000228643	NM_002398	204069_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	Hs.526754	4211	MEIS1
3.861627	0.059977	8.099907	0.147379	18.87	Up	1.18E-05	W60810	223282_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
4.507917	0.048405	8.654393	0.159483	17.71	Up	1.55E-05	AF039698	223283_s_at	Teashirt family zinc finger 1	Hs.284217	10194	TSHZ1
6.410633	0.183795	10.554733	0.10323	17.68	Up	3.95E-05	AA912476	229073_at	Hypothetical protein LOC145786	Hs.599998	145786	LOC145786
5.05895	0.060591	9.071673	0.571737	16.14	Up	0.002216474	NM_001395	205777_at	Dual specificity phosphatase 9	Hs.144879	1852	DUSP9
8.674827	0.097995	4.807373	0.154113	14.6	Down	2.94E-05	NM_003385	203798_s_at	Visinin-like 1	Hs.444212	7447	VSNL1
5.669877	0.095388	9.51163	0.277919	14.34	Up	0.000197554	NM_021822	204205_at	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	Hs.441124	200316	APOBEC3F
4.15993	0.091628	7.904617	0.060475	13.4	Up	4.41E-06	AW015083	238850_at	Hypothetical LOC645323	Hs.12827	645323	LOC645323
5.722127	0.074812	9.302903	0.174903	11.97	Up	4.69E-05	NM_007197	219764_at	Frizzled homolog 10 (Drosophila)	Hs.31664	11211	FZD10
4.025233	0.125311	7.577663	0.16036	11.73	Up	6.32E-05	AI796169	209602_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
5.658457	0.118012	9.209887	0.463356	11.72	Up	0.001754069	BF673779	230137_at	Transmembrane protein 155	Hs.27524	132332	TMEM155
3.851323	0.128315	7.395477	0.383396	11.67	Up	0.000933557	AA464844	230272_at	Hypothetical LOC645323	Hs.12827	645323	LOC645323
4.012717	0.057567	7.53937	0.259424	11.52	Up	0.000186307	NM_004981	208359_s_at	Potassium inwardly-rectifying channel, subfamily J, member 4	Hs.32505	3761	KCNJ4
4.891843	0.047822	8.30009	0.141135	10.62	Up	2.16E-05	L29126	211419_s_at	chimerin (chimaerin) 2	-	1124	-
7.876377	0.046898	11.274333	0.153235	10.54	Up	2.92E-05	AI796169	209604_s_at	GATA binding protein 3	Hs.524134	2625	GATA3
5.478053	0.046122	8.778373	0.243655	9.85	Up	0.000184262	BE672313	221959_at	Chromosome 8 open reading frame 72	Hs.154652	90362	C8orf72
4.048603	0.138387	7.331477	0.063437	9.73	Up	2.74E-05	AI539118	238763_at	RNA binding motif protein 20	Hs.116630	282996	RBM20
3.765323	0.015683	7.04493	0.218262	9.71	Up	0.000115469	AW137982	235521_at	Homeobox A5	Hs.533357	3202	HOXA5
4.383507	0.061918	7.562653	0.282691	9.06	Up	0.000390155	AL832770	1559477_s_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	-	4211	-
