Gene ID	Fold Change	q-value (%)	Accession	Unigene	Symbol	Function	Gene Name
204475_at	5.37	0.32	NM_002421	Hs.83169	MMP1	Proteolysis	matrix metalloproteinase 1 (interstitial collagenase)
201508_at	2.6	0.32	NM_001552	Hs.1516	IGFBP4	Signaling	insulin-like growth factor binding protein 4
223062_s_at	2.6	0.32	NM_021154	Hs.286049	PSA	Other/Unknown	phosphoserine aminotransferase
201849_at	2.32	0.32	NM_004052	Hs.79428	BNIP3	Apoptosis	BCL2/adenovirus E1B 19kDa interacting protein 3
204420_at	2.21	0.32	NM_005438	Hs.283565	FOSL1	Tx Factor	FOS-like antigen 1
224610_at	2.17	0.32	AL530869	Hs.433345	NA	0 Other/Unknown	Homo sapiens, clone IMAGE:3457003, mRNA, mRNA sequence
224579_at	2.17	0.32	AK024263	Hs.193063	NA	0 Other/Unknown	Homo sapiens cDNA FLJ14201 fis, clone NT2RP3002955, mRNA sequence
201848_s_at	2.15	0.32	NM_004052	Hs.79428	BNIP3	Apoptosis	BCL2/adenovirus E1B 19kDa interacting protein 3
213506_at	2.13	0.32	NM_005242	Hs.154299	F2RL1	Signaling	coagulation factor II (thrombin) receptor-like 1
225167_at	2.06	0.54	BF000162	Hs.183639	FLJ10210	Other/Unknown	hypothetical protein FLJ10210
225806_at	2.05	0.54	NM_032876	Hs.64552	JUB	Other/Unknown	likely ortholog of mouse ajuba
221580_s_at	2.01	0.32	NM_024116	Hs.301732	MGC5306	Other/Unknown	hypothetical protein MGC5306
212281_s_at	1.99	0.32	L19183	Hs.199695	MAC30	Other/Unknown	hypothetical protein MAC30
209191_at	1.99	0.32	NM_032525	Hs.274398	TUBB-5	Cytoskeleton	tubulin beta-5
208394_x_at	1.95	0.54	NM_007036	Hs.41716	ESM1	Development	endothelial cell-specific molecule 1
212838_at	1.94	0.78	AB023227	Hs.23860	KIAA1010	Other/Unknown	KIAA1010 protein
209386_at	1.9	0.78	NM_014220	Hs.351316	TM4SF1	metabolism	transmembrane 4 superfamily member 1
209387_s_at	1.88	0.78	NM_014220	Hs.351316	TM4SF1	metabolism	transmembrane 4 superfamily member 1
210026_s_at	1.87	0.78	NM_014550	Hs.57973	CARD10	Apoptosis	caspase recruitment domain family, member 10
225687_at	1.86	0.78	NM_030919	Hs.70704	C20orf129	Other/Unknown	chromosome 20 open reading frame 129
202628_s_at	1.86	0.68	NM_000602	Hs.82085	SERPINE1	Proteolysis	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
220892_s_at	1.83	0.78	NM_021154	Hs.286049	PSA	Other/Unknown	phosphoserine aminotransferase
215034_s_at	1.82	0.78	AI189753	Hs.409060	NA	0 Tumor	EST, Weakly similar to A42926 L6 surface protein - human [H.sapiens]
221923_s_at	1.8	0.78	NM_002520	Hs.355719	NPM1	Other/Unknown	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
202627_s_at	1.79	0.68	NM_000602	Hs.82085	SERPINE1	Proteolysis	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
234994_at	1.79	1.49	AA088177	Hs.172870	KIAA1913	Other/Unknown	KIAA1913 protein
204319_s_at	1.78	1.17	NM_002925	Hs.82280	RGS10	Signaling	regulator of G-protein signalling 10
222557_at	1.77	2.13	NM_015894	Hs.285753	STMN3	Development	stathmin-like 3
202431_s_at	1.76	1.44	NM_002467	Hs.79070	MYC	Tx Factor	v-myc myelocytomatosis viral oncogene homolog (avian)
209081_s_at	1.76	1.17	NM_016214	Hs.78409	COL18A1	ECM-Adhesion	collagen, type XVIII, alpha 1
200005_at	1.75	1.44	NM_003753	Hs.55682	EIF3S7	Translation	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa
202686_s_at	1.74	1.44	NM_001699	Hs.83341	AXL	Signaling	AXL receptor tyrosine kinase
224583_at	1.73	2.37	NM_021149	Hs.289092	COTL1	Cytoskeleton	coactosin-like 1 (Dictyostelium)
201037_at	1.73	1.25	NM_002627	Hs.99910	PFKP	Other/Unknown	phosphofructokinase, platelet
206429_at	1.7	1.44	NM_005242	Hs.154299	F2RL1	Signaling	coagulation factor II (thrombin) receptor-like 1
201195_s_at	1.69	2.13	NM_003486	Hs.184601	SLC7A5	Transporter/Channel	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
216194_s_at	1.68	1.44	NM_001281	Hs.31053	CKAP1	Cytoskeleton	cytoskeleton-associated protein 1
203910_at	1.68	1.63	NM_004815	Hs.70983	PARG1	Signaling	PTPL1-associated RhoGAP 1
208079_s_at	1.67	1.44	NM_003158	Hs.250822	STK6	Signaling	serine/threonine kinase 6
206018_at	1.66	2.2	NM_005249	Hs.2714	FOXG1B	Tx Factor	forkhead box G1B
212282_at	1.66	1.44	L19183	Hs.199695	MAC30	Other/Unknown	hypothetical protein MAC30
204318_s_at	1.66	2.2	NM_016426	Hs.122552	GTSE1	Cell Cycle	G-2 and S-phase expressed 1
225168_at	1.66	1.49	BF000162	Hs.183639	FLJ10210	Other/Unknown	hypothetical protein FLJ10210
218258_at	1.63	1.49	NM_015972	Hs.106127	RPAC2	Tx Factor	likely ortholog of mouse RNA polymerase 1-3 (16 kDa subunit)
202580_x_at	1.63	2.37	NM_021953	Hs.239	FOXM1	Tx Factor	forkhead box M1
218611_at	1.62	2.13	NM_016545	Hs.15725	IER5	Other/Unknown	immediate early response 5
209464_at	1.62	2.2	NM_004217	Hs.180655	STK12	Signaling	serine/threonine kinase 12
201324_at	1.61	2.2	NM_001423	Hs.79368	EMP1	Development	epithelial membrane protein 1
202083_s_at	1.61	2.37	NM_003003	Hs.75232	SEC14L1	Vesicles	SEC14-like 1 (S. cerevisiae)
232914_s_at	1.6	3.03	NM_017695	Hs.92254	SYTL2	Other/Unknown	synaptotagmin-like 2
222774_s_at	1.6	2.64	NM_018092	Hs.6823	NETO2	migration	neuropilin (NRP) and tolloid (TLL)-like 2
218813_s_at	1.59	2.2	NM_020145	Hs.30002	SH3GLB2	Signaling	SH3-domain GRB2-like endophilin B2
205891_at	1.58	2.2	NM_000676	Hs.45743	ADORA2B	Signaling	adenosine A2b receptor
221059_s_at	1.56	2.52	NM_021615	Hs.157439	CHST6	Tumor	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6
230264_s_at	1.56	3.03	NM_003916	Hs.40368	AP1S2	Vesicles	adaptor-related protein complex 1, sigma 2 subunit
201289_at	1.55	3.03	NM_001554	Hs.8867	CYR61	Development	cysteine-rich, angiogenic inducer, 61
37028_at	1.55	2.64	NM_014330	Hs.76556	PPP1R15A	Signaling	protein phosphatase 1, regulatory (inhibitor) subunit 15A
212646_at	1.54	2.64	D42043	Hs.79123	KIAA0084	Other/Unknown	KIAA0084 protein
218001_at	1.54	2.52	NM_016034	Hs.20776	MRPS2	Protein Synthesis	mitochondrial ribosomal protein S2
208752_x_at	1.54	2.52	NM_004537	Hs.302649	NAP1L1	RNA/DNA	nucleosome assembly protein 1-like 1
224521_s_at	1.53	2.64	NM_032358	Hs.59791	MGC13183	Other/Unknown	hypothetical protein MGC13183
231973_s_at	1.52	3.03	NM_022662	Hs.40137	ANAPC1	Cell Cycle	anaphase-promoting complex 1 (meiotic checkpoint regulator)
201325_s_at	1.51	2.64	NM_001423	Hs.79368	EMP1	Development	epithelial membrane protein 1
205084_at	0.66	3.03	NM_018844	Hs.27135	BAP29	Immunity	B-cell receptor-associated protein BAP29
214459_x_at	0.66	2.52	NM_002117	Hs.274485	HUMMHCW1A	Immunity	Cw1 antigen
205830_at	0.66	3.03	NM_004362	Hs.86368	CLGN	Other/Unknown	calmegin
222240_s_at	0.66	2.52	NM_016368	Hs.405873	ISYNA1	Other/Unknown	myo-inositol 1-phosphate synthase A1
200665_s_at	0.65	2.2	NM_003118	Hs.111779	SPARC	ECM-Adhesion	secreted protein, acidic, cysteine-rich (osteonectin)
212171_x_at	0.65	2.64	NM_003376	Hs.73793	VEGF	Signaling	vascular endothelial growth factor
