Probeset	Gene symbol	Description	Relative expression	P value
41854_AT	MYB	v-myb	-1.239	<0.001
40435_AT	SLC25A6	ADP/ATP translocase	2.982	<0.001
32647_AT	VTI1B	Vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.592	<0.001
1920_S_AT	CCNG1	Cyclin G1	-1.259	<0.001
39969_AT	HIST1H4C	Histone H4	1.849	<0.001
37610_AT	-	Hypothetical protein FLJ10803	-1.246	<0.001
2053_AT	CDH2	Cadherin 2, type 1, N-cadherin (neuronal)	-0.893	0.001
32750_R_AT	FLNA	Filamin A (actin binding protein 280)	2.765	0.001
41452_AT	ZFP95	Zinc finger protein 95 homolog (mouse)	1.333	0.001
32170_G_AT	FBXO21	F-box only protein 21	-0.928	0.001
41178_AT	RPL11	Ribosomal protein L11	3.023	0.001
40521_AT	RAB2L	RAB2, member RAS oncogene family-like	-0.974	0.001
35726_AT	S100A2	S100 calcium binding protein A2	1.276	0.001
34699_AT	CD2AP	CD2-associated protein	-0.751	0.002
32551_AT	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.984	0.002
38241_AT	BTN3A3	Butyrophilin, subfamily 3, member A3	-0.934	0.002
40460_S_AT	ACOX1	Acyl-Coenzyme A oxidase 1, variant 2	-0.996	0.002
37943_AT	ZFYVE26	Zinc finger, FYVE domain containing 26	-0.978	0.002
32391_G_AT	FMO3	Flavin containing monooxygenase 3	1.396	0.002
37531_AT	TBC1D5	TBC1 domain family, member 5	-0.983	0.003
603_AT	NR2C1	Nuclear receptor subfamily 2, group C, member 1	-0.778	0.003
31987_AT	-	Clone RP11-444M10 on chromosome 1	0.975	0.003
920_AT	NKTR	Cyclophilin-Related Protein	-0.747	0.003
1652_AT	PIM-2	Pim-2 oncogene	-1.032	0.003
35961_AT	-	cDNA DKFZp586O1318	-0.831	0.003
38406_F_AT	PTGDS	Prostaglandin D2 synthase	1.564	0.003
31774_AT	CLDN11	Claudin 11	1.118	0.003
36000_AT	CREBL1	cAMP responsive element binding protein-like 1	1.177	0.003
1130_AT	MAP2K1/MEK1	Mitogen-activated protein kinase kinase 1	3.493	0.003
38108_AT	PPT2	Palmitoyl-protein thioesterase 2, variant 2	-0.972	0.004
36773_F_AT	HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	-0.789	0.004
34650_AT	PDE3A	Phosphodiesterase 3A, cGMP-inhibited	0.873	0.005
37950_AT	PREP	Prolyl endopeptidase	-1.311	0.005
40014_AT	SEMA6C	Sema domain, (semaphorin) 6C	1.985	0.005
32658_AT	SACM2L	SAC2 suppressor of actin mutations 2-like (yeast)	-2.859	0.005
33077_AT	-	Clone 24533	1.335	0.005
34620_AT	PAX5	Paired box gene 5	1.037	0.005
32440_AT	RPL17	Ribosomal protein L17	2.792	0.005
41260_AT	DDX17	DEAD/H box polypeptide 17 (72kD)	-0.85	0.005
37775_AT	6-Sep	Septin 6	-0.952	0.005
34581_S_AT	EPB41	Erythrocyte membrane protein band 4.1	0.845	0.006
1913_AT	CCNG2	Cyclin G2	-1.54	0.006
40751_AT	-	Clone MGC:26973	1.008	0.006
35809_G_AT	SFRS6	Splicing factor, arginine/serine-rich 6	-2.094	0.006
37791_AT	-	Clone RP3-454N4	0.797	0.006
36692_AT	MTMR8	Myotubularin related protein 8	-0.808	0.006
34035_AT	SLC10A1	Solute carrier family 10, member 1	0.962	0.006
41732_AT	-	Clone 016b10 My016 protein	2.537	0.007
37369_S_AT	NFATC4	Nuclear factor of activated T-cells	-0.954	0.007
38545_AT	INHBB	Inhibin, beta B (activin AB beta polypeptide)	0.89	0.007
32297_S_AT	KLRC2	Killer cell lectin-like receptor subfamily C, member 2	1.197	0.007
34199_AT	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	-0.754	0.007
39997_AT	PFC	Properdin P factor, complement	1.537	0.007
1189_AT	CDK8	Cyclin-dependent kinase 8 (CDK8)	-0.857	0.007
33215_G_AT	MRPS12	Mitochondrial ribosomal protein S12	3.088	0.007
34613_AT	KIAA1086	KIAA1086 protein	1.001	0.007
34490_F_AT	FSCN2	Fascin homolog 2, actin-bundling protein, retinal	-0.785	0.007
1352_AT	IL8RA	Interleukin 8 receptor, alpha	1.24	0.007
36983_F_AT	HP	Haptoglobin	0.877	0.008
31315_AT	IGLJ3	Immunoglobulin lambda joining 3 splicing factor	-0.747	0.008
36124_AT	MPST	Mercaptopyruvate sulfurtransferase	2.97	0.008
32618_AT	BLVRA	Biliverdin reductase A	-0.764	0.008
32038_S_AT	SRP46	Splicing factor, arginine/serine-rich, 46kD	-0.748	0.008
2017_S_AT	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	-0.897	0.008
41705_AT	RFNG	Radical fringe homolog	1.408	0.008
33089_S_AT	EFNA2	Ephrin-A2	1.125	0.008
