GenBank no.	Gene name	Ratio
NM_001897	Hs chondroitin sulfate proteoglycan 4 (CSPG4, NG2, MCSP)	-13.8
NM_001719	Hs bone morphogenetic protein 7 (osteogenic protein 1) (BMP7)	-9.7
NM_177978	Hs chordin (CHRD)	-5.2
NM_000597	Hs insulin-like growth factor binding protein 2, 36kDa (IGFBP2)	-9.6
NM_000612	Hs insulin-like growth factor 2 (somatomedin A) (IGF2)	-4.6
NM_002961	Hs S100 calcium binding protein A4 (S100A4)	-4.5
NM_003087	Hs synuclein, gamma (breast cancer-specific protein 1) (SNCG)	-4.5
NM_17436	Hs alpha 1,4-galactosyltransferase (globotriaosylceramide synthase) (A4GALT)	-4.4
NM_006500	Hs melanoma cell adhesion molecule (MCAM)	-3.6
NM_00212482	Hs fibronectin 1 (FN1)	-2.8
NM_001001522	Hs transgelin (TAGLN)	-2.2
NM_002969	Hs mitogen-activated protein kinase 12 (MAPK12)	-2.2
NM_080833	Hs WNT1 inducible signaling pathway protein 1 (WISP1)	-2.1
NM_032211	Hs lysyl oxidase (LOX)	-2.1
NM_001444	Hs fatty acid binding protein 5 (psoriasis-associated) (FABP5)	-2.1
NM_003256	Hs TIMP metallopeptidase inhibitor 4 (TIMP4)	-2.1
NM_00182983	Hs hepsin (transmembrane protease, serine 1) (HPN)	-2.1
NM_032611	Hs protein tyrosine phosphatase type IVA, member 3 (PTP4A3)	-2
NM_003226	Hs trefoil factor 3 (intestinal) (TFF3)	2
NM_006006	Hs zinc finger and BTB domain containing 16 (ZBTB16)	2
NM_001150	Hs alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150) (ANPEP)	2.1
NM_002737	Hs protein kinase C, alpha (PRKCA)	2.2
NM_000584	Hs interleukin 8 (IL8)	2.2
NM_00594	Hs tumor necrosis factor (TNF superfamily, member 2) (TNF)	2.3
NM_002166	Hs inhibitor of DNA binding 2, dominant negative helix-loop-helix protein (ID2)	2.4
NM_002662	Hs phospholipase D1, phosphatidylcholine-specific (PLD1)	2.5
NM_005564	Hs lipocalin 2 (oncogene 24p3) (LCN2)	2.9
NM_002982	Hs chemokine (C-C motif) ligand 2 (CCL2)	8.7
