Genes	Gene Symbol	Expression (log fold change MCF10CA1a vs MCF10A)	Chromosome location	Function
Collagen type VI, ?1	COL6A1	1.54	12q13.13	Extracellular matrix
Fibrillin 1	FBN1	2.07	15q21.1	Extracellular matrix
Mucin 1	MUC1	3.35	1q21.3	Extracellular matrix
Matrix metalloproteinase-2	MMP2	3.62	16q12.2	Extracellular matrix
Fibronectin 1	FN1	3.96	2q35	Extracellular matrix
Keratin 7	KRT7	5.59	21q22.3	Extracellular matrix
Retinoblastoma 1	RB1	1.14	13q14.2	Oncogenes and tumor suppressors
Cyclin-dependent kinase inhibitor	CDKNB1	1.18	12p13.1	Oncogenes and tumor suppressors
Cyclin D3	CCND3	1.36	6p21.1	Oncogenes and tumor suppressors
Interleukin-7	IL7	1.13	8q21.12	Cytokines
Interleukin-18	IL18	1.67	11q23.1	Cytokines
