Accession	UnigeneID	Symbol	Name	Regulation
X12548	Hs.75589	ACP2	Acid phosphatase 2, lysosomal	Up-Regulated
M15798	Hs.75692	ASNS	Asparagine synthetase	Up-Regulated
L19871	Hs.460	ATF3	Activating transcription factor 3	Up-Regulated
D90209	Hs.181243	ATF4	Activating transcription factor 4 (tax-responsive enhancer element B67)	Up-Regulated
AA903720	Hs.175941	BAP29	B-cell receptor-associated protein BAP29	Up-Regulated
U82987	Hs.87246	BBC3	Bcl-2 binding component 3	Up-Regulated
L77566	Hs.154879	DGSI	DiGeorge syndrome critical region gene DGSI	Up-Regulated
D78011	Hs.10755	DPYS	Dihydropyrimidinase	Up-Regulated
L35240	Hs.102948	ENIGMA	Enigma (LIM domain protein)	Up-Regulated
L42176	Hs.8302	FHL2	Four and a half LIM domains 2	Up-Regulated
AI141417	Hs.22983	FLJ10873	UDP-glucose glycoprotein glucosyltransferase 2	Up-Regulated
M60974	Hs.80409	GADD45A	Growth arrest and DNA-damage-inducible, alpha	Up-Regulated
W24533	Hs.81875	GRB10	Growth factor receptor-bound protein 10	Up-Regulated
M76766	Hs.258561	GTF2B	General transcription factor IIB	Up-Regulated
AI188076	Hs.21432	HSSEXGENE	SEX gene	Up-Regulated
X51346	Hs.2780	JUND	Jun D proto-oncogene	Up-Regulated
AI339572	Hs.84728	KLF5	Kruppel-like factor 5 (intestinal)	Up-Regulated
AF064491	Hs.26002	LDB1	LIM domain binding 1	Up-Regulated
R73352	Hs.6418	LOC51210	Seven transmembrane domain orphan receptor	Up-Regulated
AA001074	Hs.175043	LOC56939	Ancient conserved domain protein 4	Up-Regulated
AA053137	Hs.42390	LZ16	Nasopharyngeal carcinoma susceptibility protein	Up-Regulated
M88338	Hs.148101	MSE55	Serum constituent protein	Up-Regulated
X16396	Hs.154672	MTHFD2	Methylene tetrahydrofolate dehydrogenase (NAD dependent), methenyltetrahydrofolate cyclohydrolase	Up-Regulated
AI088622	Hs.173611	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2 (49 kD) (NADH-coenzyme Q reductase)	Up-Regulated
X78687	Hs.118721	NEU1	Sialidase 1 (lysosomal sialidase)	Up-Regulated
X77366	Hs.83469	NFE2L1	Nuclear factor (erythroid-derived 2)-like 1	Up-Regulated
U26173	Hs.79334	NFIL3	Nuclear factor, interleukin 3 regulated	Up-Regulated
AF002020	Hs.76918	NPC1	Niemann-Pick disease, type C1	Up-Regulated
U63717	Hs.95821	OSTF1	Osteoclast stimulating factor 1	Up-Regulated
X92720	Hs.75812	PCK2	Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	Up-Regulated
AA187017	Hs.12592	PER3	Period (Drosophila) homolog 3	Up-Regulated
L33243	Hs.75813	PKD1	Polycystic kidney disease 1 (autosomal dominant)	Up-Regulated
N30179	Hs.116577	PLAB	Prostate differentiation factor	Up-Regulated
U45974	Hs.25156	PPI5PIV	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase homolog; phosphatidylinositol polyphosphate 5-phosphatase type IV	Up-Regulated
AA916890	Hs.234433	PRO1068	Hypothetical protein PRO1068	Up-Regulated
AI217748	Hs.31176	SIRT1	sir2-like 1	Up-Regulated
J03569	Hs.79748	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	Up-Regulated
U41806	Hs.182248	SQSTM1	Sequestosome 1	Up-Regulated
AF055460	Hs.155223	STC2	Stanniocalcin 2	Up-Regulated
AA824262	Hs.100932	TCF17	Transcription factor 17	Up-Regulated
AA497031	Hs.8657	TIG	TIG	Up-Regulated
AI086087	Hs.33085	WDR3	WD repeat domain 3	Up-Regulated
X55543	Hs.149923	XBP1	X-box binding protein 1	Up-Regulated
AA191449				Up-Regulated
AA287219				Up-Regulated
AA306102				Up-Regulated
AA313152				Up-Regulated
AA327291				Up-Regulated
AA502764				Up-Regulated
AA522445				Up-Regulated
AA522530				Up-Regulated
AA533633				Up-Regulated
AA553741				Up-Regulated
AA625142				Up-Regulated
AA665097				Up-Regulated
AA749253				Up-Regulated
AA758394				Up-Regulated
AA770463				Up-Regulated
AA809070				Up-Regulated
AA814726				Up-Regulated
AA903403				Up-Regulated
AA972966				Up-Regulated
AF052170				Up-Regulated
AI015419				Up-Regulated
AI028202				Up-Regulated
AI033599				Up-Regulated
AI094692				Up-Regulated
AI097058				Up-Regulated
AI199919				Up-Regulated
AI204513				Up-Regulated
AI206046				Up-Regulated
AI264627				Up-Regulated
AI268231				Up-Regulated
AI285914				Up-Regulated
AI298955				Up-Regulated
AI338503				Up-Regulated
N29345				Up-Regulated
N53497				Up-Regulated
R41696				Up-Regulated
W68568				Up-Regulated
Y10936				Up-Regulated
