Gene transcript	Gene symbol	Unigene	Probeset ID	p-value	FC±	Adjustedp<0.05
keratin 7	KRT7	Hs.356123	209016_s_at	7.51E-11	19.8	yes
IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	Hs.173255	201892_s_at	4.71E-09	2.8	yes
OGT(O -Glc-NAc transferase)-interacting protein 106 Kda	OIP106	Hs.279518	214924_s_at	7.45E-09	3.9	yes
junction plakoglobin	JUP	Hs.179526	201015_s_at	8.31E-09	2.8	yes
keratin 8	KRT8	Hs.439683	209008_x_at	9.21E-09	5.4	yes
protein tyrosine phosphatase, receptor type, F	PTPRF	Hs.75216	200635_s_at	1.07E-08	2.9	yes
syndecan 1	SDC1	Hs.221589	201286_at	1.51E-08	3.8	yes
high mobility group AT -hook 1	HMGA1	Hs.2785	206074_s_at	3.48E-08	2.2	yes
protein phosphatase 1, regulatory (inhibitor) subunit 14B	PPP1R14B	Hs.14376	212680_x_at	4.98E-08	2.5	yes
agrin	AGRN	Hs.2785	212285_s_at	5.18E-08	2.1	yes
fatty acid binding protein 6, ileal (gastrotropin)	FABP6	Hs.180414	210445_at	6.90E-08	3.5	yes
slingshot 3	SSH-3	Hs.15871	219241_x_at	7.99E-08	2	yes
EST		Hs.172550	216379_x_at	9.99E-08	3.1	yes
syndecan 1	SDC1	Hs.82109	201287_s_at	1.16E-07	4.3	yes
hypoxia -inducible factor prolyl 4 - hydroxylase	PH-4	Hs.271224	222125_s_at	1.33E-07	2	yes
G-rich RNA sequence binding factor 1	GRSF1	Hs.381072	201520_s_at	1.51E-07	3.6	yes
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	Hs.411855	209771_x_at	1.67E-07	3.1	yes
lamin A/C	LMNA	Hs.172690	203411_s_at	1.82E-07	2.2	yes
FAT tumor suppressor homolog 1 (Drosophila)	FAT	Hs.118638	201579_at	1.94E-07	3.2	yes
aminoacylase 1	ACY1	Hs.76719	202740_at	2.11E-07	2.4	yes
nucleostemin	NS	Hs.390667	217850_at	2.18E-07	3.3	yes
CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	Hs.375108	208651_x_at	2.41E-07	2.6	yes
polypyrimidine tract binding protein 1	PTBP1	Hs.14376	212015_x_at	2.44E-07	2.2	yes
solute carrier family 38, member 1	SLC38A1	Hs.432752	218237_s_at	2.65E-07	4.2	yes
solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4	Hs.105894	202826_at	2.84E-07	3.1	yes
heterogeneous nuclear ribonucleoproteinU (scaffold attachment factor A)	HNRPU	Hs.166463	200593_s_at	2.88E-07	2.7	yes
integrin, beta 4	ITGB4	Hs.377028	204990_s_at	2.99E-07	2.9	yes
KIAA0303 protein	KIAA0303		210958_s_at	3.59E-07	1.5	yes
TBC1 domain family, member 3	TBC1D3	Hs.432574	209403_at	3.62E-07	2	yes
yeast Sec31p homolog	KIAA0905	Hs.411855	210616_s_at	3.62E-07	1.9	yes
serine/threonine kinase 24 (STE20 homolog, yeast)	STK24	Hs.155560	208854_s_at	3.85E-07	3.3	yes
phosphofructokinase, liver	PFKL	Hs.408507	201102_s_at	4.86E-07	1.8	yes
protein tyrosine phosphatase, receptor type, F	PTPRF	Hs.75216	200636_s_at	4.91E-07	3	yes
diacylglycerol kinase, alpha 80kDa	DGKA	Hs.18141	203385_at	5.04E-07	2.2	yes
RAP1, GTPase activating protein 1	RAP1GA1	Hs.241567	203911_at	5.41E-07	1.6	yes
ladinin 1	LAD1	Hs.511936	203287_at	6.34E-07	1.9	yes
integrin beta 4 binding protein	ITGB4BP	Hs.374638	210213_s_at	6.77E-07	2.7	yes
N-acylaminoacyl -peptide hydrolase	APEH	Hs.81361	201283_s_at	7.30E-07	3.3	yes
solute carrier family 20 (phosphate transporter), member 1	SLC20A1	Hs.75432	201920_at	7.40E-07	4.3	yes
keratin 19	KRT19	Hs.406013	201650_at	7.95E-07	5.4	yes
vascular endothelial growth factor	VEGF	Hs.355861	210512_s_at	8.56E-07	4.7	yes
elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast) -like 1	ELOVL1	Hs.79625	218028_at	8.85E-07	2.3	yes
