Gene Name	Fold Change	Function
insulin-like growth factor binding protein 6	2.8	Cell proliferation
2.1aldo-ketoreductasefamily 1, member C3	2.8	Cell proliferation
interleukin 15	2.3	Cell proliferation
transforming growth factor, beta receptor II	1.4	Cell proliferation
tissue inhibitor of metalloproteinase 1	1.3	Cell proliferation
peroxiredoxin1	1.3	Cell proliferation
tyrosine 3-monooxygenase activation protein	1.8	Cell Cycle
SMC4 -like 1 (yeast)	1.3	Cell Cycle
cyclin-dependent kinaseinhibitor 1B (p27, Kip1)	1.7	Cell Cycle
cyclinG2	1.7	Cell Cycle
histone deacetylase1	1.5	Cell death & Apoptosis
S100 calcium binding protein A9 (calgranulinB)	2.2	Stress Response
microsomalglutathione S-transferase3	1.5	Stress Response
v-mafoncogenehomolog (avian)	2.7	Transcription factors
delta sleep inducing peptide, immunoreactor	2.4	Transcription factors
thyroid hormone receptor interactor7	1.8	Transcription factors
general transcription factor II, i	1.7	Transcription factors
histonedeacetylase1	1.6	Transcription factors
lysyl oxidase-like 2	2.9	Signal transduction & cell communication
short-chain dehydrogenase/reductase1	2.8	Signal transduction & cell communication
aldo-ketoreductasefamily 1, member C1	2.5	Signal transduction & cell communication
integrin, beta 6	2.3	Signal transduction & cell communication
inositol 1,4,5-triphosphate receptor, type 1	2.2	Signal transduction & cell communication
S100 calcium binding protein A9 (calgranulinB)	2.2	Signal transduction & cell communication
NAD(P)H dehydrogenase, quinone1	1.8	Signal transduction & cell communication
inositol 1,4,5-triphosphate receptor, type 1	1.8	Signal transduction & cell communication
ras-related C3 botulinumtoxin substrate 2	1.6	Signal transduction & cell communication
leupaxin	1.6	Signal transduction & cell communication
RAB13, member RAS oncogenefamily	1.6	Signal transduction & cell communication
sprouty homolog 2 (Drosophila)	1.5	Signal transduction & cell communication
microsomalglutathione S-transferase3	1.5	Signal transduction & cell communication
integrin, beta 5	1.5	Signal transduction & cell communication
transforming growth factor, beta receptor II	1.4	Signal transduction & cell communication
gamma-aminobutyricacid (GABA) B receptor	1.4	Signal transduction & cell communication
CD151 antigen	1.4	Signal transduction & cell communication
secreted protein, acidic, cysteine-rich (osteonectin)	2.6	Ligandbinging & nucleic acid binding
proline-rich protein with nuclear targeting signal	1.9	Ligandbinging & nucleic acid binding
aldo-ketoreductasefamily 1, member B1	1.7	Ligandbinging & nucleic acid binding
eukaryotic translation initiation factor 5	1.7	Ligandbinging & nucleic acid binding
eukaryotic translation initiation factor 4A, isoform2	1.6	Ligandbinging & nucleic acid binding
RAB13, member RAS oncogenefamily	1.6	Ligandbinging & nucleic acid binding
histone deacetylase1	1.6	Ligandbinging & nucleic acid binding
procollagen-lysine, 2-oxoglutarate 5-dioxygenase	1.4	Ligandbinging & nucleic acid binding
